#,Date-Time (PST),Ch: 1 - Temperature   (°C),Host Connected,End of File
1,06/04/2021 10:20:35,28.70,,
2,06/04/2021 10:25:35,27.84,,
3,06/04/2021 10:30:35,27.67,,
4,06/04/2021 10:35:35,27.71,,
5,06/04/2021 10:40:35,27.97,,
6,06/04/2021 10:45:35,28.05,,
7,06/04/2021 10:50:35,28.01,,
8,06/04/2021 10:55:35,28.10,,
9,06/04/2021 11:00:35,28.14,,
10,06/04/2021 11:05:35,28.35,,
11,06/04/2021 11:10:35,28.44,,
12,06/04/2021 11:15:35,28.48,,
13,06/04/2021 11:20:35,28.78,,
14,06/04/2021 11:25:35,28.83,,
15,06/04/2021 11:30:35,28.87,,
16,06/04/2021 11:35:35,29.04,,
17,06/04/2021 11:40:35,29.21,,
18,06/04/2021 11:45:35,29.34,,
19,06/04/2021 11:50:35,29.51,,
20,06/04/2021 11:55:35,29.68,,
21,06/04/2021 12:00:35,29.86,,
22,06/04/2021 12:05:35,30.03,,
23,06/04/2021 12:10:35,30.33,,
24,06/04/2021 12:15:35,30.46,,
25,06/04/2021 12:20:35,30.50,,
26,06/04/2021 12:25:35,30.50,,
27,06/04/2021 12:30:35,30.50,,
28,06/04/2021 12:35:35,30.59,,
29,06/04/2021 12:40:35,30.63,,
30,06/04/2021 12:45:35,30.71,,
31,06/04/2021 12:50:35,30.71,,
32,06/04/2021 12:55:35,30.76,,
33,06/04/2021 13:00:35,30.80,,
34,06/04/2021 13:05:35,30.93,,
35,06/04/2021 13:10:35,30.97,,
36,06/04/2021 13:15:35,31.01,,
37,06/04/2021 13:20:35,30.89,,
38,06/04/2021 13:25:35,30.84,,
39,06/04/2021 13:30:35,31.06,,
40,06/04/2021 13:35:35,30.97,,
41,06/04/2021 13:40:35,31.06,,
42,06/04/2021 13:45:35,31.31,,
43,06/04/2021 13:50:35,31.53,,
44,06/04/2021 13:55:35,31.57,,
45,06/04/2021 14:00:35,31.61,,
46,06/04/2021 14:05:35,31.83,,
47,06/04/2021 14:10:35,32.00,,
48,06/04/2021 14:15:35,32.13,,
49,06/04/2021 14:20:35,32.17,,
50,06/04/2021 14:25:35,32.34,,
51,06/04/2021 14:30:35,32.47,,
52,06/04/2021 14:35:35,32.56,,
53,06/04/2021 14:40:35,32.52,,
54,06/04/2021 14:45:35,32.56,,
55,06/04/2021 14:50:35,32.52,,
56,06/04/2021 14:55:35,32.47,,
57,06/04/2021 15:00:35,32.47,,
58,06/04/2021 15:05:35,32.39,,
59,06/04/2021 15:10:35,32.34,,
60,06/04/2021 15:15:35,32.39,,
61,06/04/2021 15:20:35,32.39,,
62,06/04/2021 15:25:35,32.47,,
63,06/04/2021 15:30:35,32.47,,
64,06/04/2021 15:35:35,32.47,,
65,06/04/2021 15:40:35,32.56,,
66,06/04/2021 15:45:35,32.60,,
67,06/04/2021 15:50:35,32.64,,
68,06/04/2021 15:55:35,32.60,,
69,06/04/2021 16:00:35,32.69,,
70,06/04/2021 16:05:35,32.82,,
71,06/04/2021 16:10:35,32.77,,
72,06/04/2021 16:15:35,32.73,,
73,06/04/2021 16:20:35,32.60,,
74,06/04/2021 16:25:35,32.60,,
75,06/04/2021 16:30:35,32.56,,
76,06/04/2021 16:35:35,32.43,,
77,06/04/2021 16:40:35,32.34,,
78,06/04/2021 16:45:35,32.43,,
79,06/04/2021 16:50:35,32.22,,
80,06/04/2021 16:55:35,32.17,,
81,06/04/2021 17:00:35,32.13,,
82,06/04/2021 17:05:35,32.13,,
83,06/04/2021 17:10:35,31.96,,
84,06/04/2021 17:15:35,31.92,,
85,06/04/2021 17:20:35,31.87,,
86,06/04/2021 17:25:35,31.74,,
87,06/04/2021 17:30:35,31.61,,
88,06/04/2021 17:35:35,31.40,,
89,06/04/2021 17:40:35,31.31,,
90,06/04/2021 17:45:35,31.10,,
91,06/04/2021 17:50:35,30.97,,
92,06/04/2021 17:55:35,30.80,,
93,06/04/2021 18:00:35,30.50,,
94,06/04/2021 18:05:35,30.41,,
95,06/04/2021 18:10:35,30.16,,
96,06/04/2021 18:15:35,29.98,,
97,06/04/2021 18:20:35,29.73,,
98,06/04/2021 18:25:35,29.60,,
99,06/04/2021 18:30:35,29.34,,
100,06/04/2021 18:35:35,29.04,,
101,06/04/2021 18:40:35,28.78,,
102,06/04/2021 18:45:35,28.61,,
103,06/04/2021 18:50:35,28.40,,
104,06/04/2021 18:55:35,28.14,,
105,06/04/2021 19:00:35,27.88,,
106,06/04/2021 19:05:35,27.67,,
107,06/04/2021 19:10:35,27.45,,
108,06/04/2021 19:15:35,27.15,,
109,06/04/2021 19:20:35,26.85,,
110,06/04/2021 19:25:35,26.60,,
111,06/04/2021 19:30:35,26.34,,
112,06/04/2021 19:35:35,26.12,,
113,06/04/2021 19:40:35,25.87,,
114,06/04/2021 19:45:35,25.57,,
115,06/04/2021 19:50:35,25.31,,
116,06/04/2021 19:55:35,25.05,,
117,06/04/2021 20:00:35,24.79,,
118,06/04/2021 20:05:35,24.45,,
119,06/04/2021 20:10:35,24.19,,
120,06/04/2021 20:15:35,23.89,,
121,06/04/2021 20:20:35,23.68,,
122,06/04/2021 20:25:35,23.38,,
123,06/04/2021 20:30:35,23.03,,
124,06/04/2021 20:35:35,22.73,,
125,06/04/2021 20:40:35,22.43,,
126,06/04/2021 20:45:35,22.13,,
127,06/04/2021 20:50:35,21.88,,
128,06/04/2021 20:55:35,21.62,,
129,06/04/2021 21:00:35,21.40,,
130,06/04/2021 21:05:35,21.15,,
131,06/04/2021 21:10:35,20.98,,
132,06/04/2021 21:15:35,20.72,,
133,06/04/2021 21:20:35,20.59,,
134,06/04/2021 21:25:35,20.33,,
135,06/04/2021 21:30:35,20.12,,
136,06/04/2021 21:35:35,19.90,,
137,06/04/2021 21:40:35,19.77,,
138,06/04/2021 21:45:35,19.60,,
139,06/04/2021 21:50:35,19.52,,
140,06/04/2021 21:55:35,19.35,,
141,06/04/2021 22:00:35,19.22,,
142,06/04/2021 22:05:35,19.05,,
143,06/04/2021 22:10:35,18.87,,
144,06/04/2021 22:15:35,18.79,,
145,06/04/2021 22:20:35,18.66,,
146,06/04/2021 22:25:35,18.57,,
147,06/04/2021 22:30:35,18.44,,
148,06/04/2021 22:35:35,18.32,,
149,06/04/2021 22:40:35,18.23,,
150,06/04/2021 22:45:35,18.14,,
151,06/04/2021 22:50:35,17.97,,
152,06/04/2021 22:55:35,17.89,,
153,06/04/2021 23:00:35,17.84,,
154,06/04/2021 23:05:35,17.72,,
155,06/04/2021 23:10:35,17.63,,
156,06/04/2021 23:15:35,17.50,,
157,06/04/2021 23:20:35,17.41,,
158,06/04/2021 23:25:35,17.29,,
159,06/04/2021 23:30:35,17.20,,
160,06/04/2021 23:35:35,17.11,,
161,06/04/2021 23:40:35,17.07,,
162,06/04/2021 23:45:35,16.99,,
163,06/04/2021 23:50:35,16.90,,
164,06/04/2021 23:55:35,16.86,,
165,06/05/2021 00:00:35,16.73,,
166,06/05/2021 00:05:35,16.73,,
167,06/05/2021 00:10:35,16.73,,
168,06/05/2021 00:15:35,16.60,,
169,06/05/2021 00:20:35,16.56,,
170,06/05/2021 00:25:35,16.51,,
171,06/05/2021 00:30:35,16.39,,
172,06/05/2021 00:35:35,16.34,,
173,06/05/2021 00:40:35,16.26,,
174,06/05/2021 00:45:35,16.13,,
175,06/05/2021 00:50:35,16.13,,
176,06/05/2021 00:55:35,16.00,,
177,06/05/2021 01:00:35,15.91,,
178,06/05/2021 01:05:35,15.87,,
179,06/05/2021 01:10:35,15.74,,
180,06/05/2021 01:15:35,15.66,,
181,06/05/2021 01:20:35,15.61,,
182,06/05/2021 01:25:35,15.57,,
183,06/05/2021 01:30:35,15.57,,
184,06/05/2021 01:35:35,15.53,,
185,06/05/2021 01:40:35,15.48,,
186,06/05/2021 01:45:35,15.44,,
187,06/05/2021 01:50:35,15.40,,
188,06/05/2021 01:55:35,15.40,,
189,06/05/2021 02:00:35,15.31,,
190,06/05/2021 02:05:35,15.14,,
191,06/05/2021 02:10:35,15.14,,
192,06/05/2021 02:15:35,15.06,,
193,06/05/2021 02:20:35,15.01,,
194,06/05/2021 02:25:35,15.01,,
195,06/05/2021 02:30:35,14.88,,
196,06/05/2021 02:35:35,14.80,,
197,06/05/2021 02:40:35,14.75,,
198,06/05/2021 02:45:35,14.67,,
199,06/05/2021 02:50:35,14.50,,
200,06/05/2021 02:55:35,14.41,,
201,06/05/2021 03:00:35,14.37,,
202,06/05/2021 03:05:35,14.24,,
203,06/05/2021 03:10:35,14.15,,
204,06/05/2021 03:15:35,14.07,,
205,06/05/2021 03:20:35,14.07,,
206,06/05/2021 03:25:35,14.03,,
207,06/05/2021 03:30:35,14.03,,
208,06/05/2021 03:35:35,14.03,,
209,06/05/2021 03:40:35,13.98,,
210,06/05/2021 03:45:35,13.98,,
211,06/05/2021 03:50:35,13.94,,
212,06/05/2021 03:55:35,13.94,,
213,06/05/2021 04:00:35,13.94,,
214,06/05/2021 04:05:35,13.81,,
215,06/05/2021 04:10:35,13.64,,
216,06/05/2021 04:15:35,13.64,,
217,06/05/2021 04:20:35,13.55,,
218,06/05/2021 04:25:35,13.51,,
219,06/05/2021 04:30:35,13.60,,
220,06/05/2021 04:35:35,13.55,,
221,06/05/2021 04:40:35,13.43,,
222,06/05/2021 04:45:35,13.30,,
223,06/05/2021 04:50:35,13.21,,
224,06/05/2021 04:55:35,13.17,,
225,06/05/2021 05:00:35,13.12,,
226,06/05/2021 05:05:35,13.17,,
227,06/05/2021 05:10:35,13.08,,
228,06/05/2021 05:15:35,13.04,,
229,06/05/2021 05:20:35,13.00,,
230,06/05/2021 05:25:35,13.04,,
231,06/05/2021 05:30:35,12.91,,
232,06/05/2021 05:35:35,13.00,,
233,06/05/2021 05:40:35,13.00,,
234,06/05/2021 05:45:35,13.04,,
235,06/05/2021 05:50:35,13.00,,
236,06/05/2021 05:55:35,13.00,,
237,06/05/2021 06:00:35,13.00,,
238,06/05/2021 06:05:35,12.95,,
239,06/05/2021 06:10:35,12.91,,
240,06/05/2021 06:15:35,13.00,,
241,06/05/2021 06:20:35,13.04,,
242,06/05/2021 06:25:35,13.00,,
243,06/05/2021 06:30:35,13.08,,
244,06/05/2021 06:35:35,13.21,,
245,06/05/2021 06:40:35,13.30,,
246,06/05/2021 06:45:35,13.34,,
247,06/05/2021 06:50:35,13.55,,
248,06/05/2021 06:55:35,13.77,,
249,06/05/2021 07:00:35,13.98,,
250,06/05/2021 07:05:35,14.15,,
251,06/05/2021 07:10:35,14.45,,
252,06/05/2021 07:15:35,14.67,,
253,06/05/2021 07:20:35,14.93,,
254,06/05/2021 07:25:35,15.14,,
255,06/05/2021 07:30:35,15.36,,
256,06/05/2021 07:35:35,15.53,,
257,06/05/2021 07:40:35,15.74,,
258,06/05/2021 07:45:35,15.96,,
259,06/05/2021 07:50:35,16.17,,
260,06/05/2021 07:55:35,16.47,,
261,06/05/2021 08:00:35,16.73,,
262,06/05/2021 08:05:35,17.07,,
263,06/05/2021 08:10:35,17.33,,
264,06/05/2021 08:15:35,17.67,,
265,06/05/2021 08:20:35,17.89,,
266,06/05/2021 08:25:35,18.10,,
267,06/05/2021 08:30:35,18.32,,
268,06/05/2021 08:35:35,18.57,,
269,06/05/2021 08:40:35,18.96,,
270,06/05/2021 08:45:35,19.22,,
271,06/05/2021 08:50:35,19.43,,
272,06/05/2021 08:55:35,19.65,,
273,06/05/2021 09:00:35,19.99,,
274,06/05/2021 09:05:35,20.16,,
275,06/05/2021 09:10:35,20.42,,
276,06/05/2021 09:15:35,20.72,,
277,06/05/2021 09:20:35,20.98,,
278,06/05/2021 09:25:35,21.23,,
279,06/05/2021 09:30:35,21.49,,
280,06/05/2021 09:35:35,21.75,,
281,06/05/2021 09:40:35,21.96,,
282,06/05/2021 09:45:35,22.18,,
283,06/05/2021 09:50:35,22.35,,
284,06/05/2021 09:55:35,22.43,,
285,06/05/2021 10:00:35,22.82,,
286,06/05/2021 10:05:35,23.21,,
287,06/05/2021 10:10:35,23.59,,
288,06/05/2021 10:15:35,24.15,,
289,06/05/2021 10:20:35,24.66,,
290,06/05/2021 10:25:35,24.97,,
291,06/05/2021 10:30:35,24.75,,
292,06/05/2021 10:35:35,24.84,,
293,06/05/2021 10:40:35,24.88,,
294,06/05/2021 10:45:35,25.09,,
295,06/05/2021 10:50:35,25.27,,
296,06/05/2021 10:55:35,25.52,,
297,06/05/2021 11:00:35,25.74,,
298,06/05/2021 11:05:35,25.69,,
299,06/05/2021 11:10:35,25.82,,
300,06/05/2021 11:15:35,25.95,,
301,06/05/2021 11:20:35,25.99,,
302,06/05/2021 11:25:35,26.34,,
303,06/05/2021 11:30:35,26.47,,
304,06/05/2021 11:35:35,26.47,,
305,06/05/2021 11:40:35,26.60,,
306,06/05/2021 11:45:35,26.85,,
307,06/05/2021 11:50:35,26.94,,
308,06/05/2021 11:55:35,27.15,,
309,06/05/2021 12:00:35,27.50,,
310,06/05/2021 12:05:35,27.63,,
311,06/05/2021 12:10:35,27.88,,
312,06/05/2021 12:15:35,28.14,,
313,06/05/2021 12:20:35,28.44,,
314,06/05/2021 12:25:35,28.74,,
315,06/05/2021 12:30:35,28.83,,
316,06/05/2021 12:35:35,29.13,,
317,06/05/2021 12:40:35,29.30,,
318,06/05/2021 12:45:35,29.51,,
319,06/05/2021 12:50:35,29.51,,
320,06/05/2021 12:55:35,29.68,,
321,06/05/2021 13:00:35,29.86,,
322,06/05/2021 13:05:35,29.77,,
323,06/05/2021 13:10:35,29.77,,
324,06/05/2021 13:15:35,30.07,,
325,06/05/2021 13:20:35,30.37,,
326,06/05/2021 13:25:35,30.54,,
327,06/05/2021 13:30:35,30.41,,
328,06/05/2021 13:35:35,30.54,,
329,06/05/2021 13:40:35,30.71,,
330,06/05/2021 13:45:35,30.67,,
331,06/05/2021 13:50:35,30.97,,
332,06/05/2021 13:55:35,30.93,,
333,06/05/2021 14:00:35,30.93,,
334,06/05/2021 14:05:35,30.97,,
335,06/05/2021 14:10:35,31.01,,
336,06/05/2021 14:15:35,31.19,,
337,06/05/2021 14:20:35,31.40,,
338,06/05/2021 14:25:35,31.40,,
339,06/05/2021 14:30:35,31.53,,
340,06/05/2021 14:35:35,31.53,,
341,06/05/2021 14:40:35,31.66,,
342,06/05/2021 14:45:35,31.83,,
343,06/05/2021 14:50:35,31.79,,
344,06/05/2021 14:55:35,31.83,,
345,06/05/2021 15:00:35,31.92,,
346,06/05/2021 15:05:35,31.96,,
347,06/05/2021 15:10:35,32.04,,
348,06/05/2021 15:15:35,32.09,,
349,06/05/2021 15:20:35,32.17,,
350,06/05/2021 15:25:35,32.17,,
351,06/05/2021 15:30:35,32.22,,
352,06/05/2021 15:35:35,32.30,,
353,06/05/2021 15:40:35,32.43,,
354,06/05/2021 15:45:35,32.56,,
355,06/05/2021 15:50:35,32.56,,
356,06/05/2021 15:55:35,32.77,,
357,06/05/2021 16:00:35,32.77,,
358,06/05/2021 16:05:35,32.82,,
359,06/05/2021 16:10:35,32.73,,
360,06/05/2021 16:15:35,32.69,,
361,06/05/2021 16:20:35,32.64,,
362,06/05/2021 16:25:35,32.52,,
363,06/05/2021 16:30:35,32.52,,
364,06/05/2021 16:35:35,32.47,,
365,06/05/2021 16:40:35,32.34,,
366,06/05/2021 16:45:35,32.30,,
367,06/05/2021 16:50:35,32.39,,
368,06/05/2021 16:55:35,32.47,,
369,06/05/2021 17:00:35,32.64,,
370,06/05/2021 17:05:35,32.77,,
371,06/05/2021 17:10:35,32.69,,
372,06/05/2021 17:15:35,32.64,,
373,06/05/2021 17:20:35,32.39,,
374,06/05/2021 17:25:35,32.26,,
375,06/05/2021 17:30:35,32.22,,
376,06/05/2021 17:35:35,32.17,,
377,06/05/2021 17:40:35,31.96,,
378,06/05/2021 17:45:35,31.79,,
379,06/05/2021 17:50:35,31.61,,
380,06/05/2021 17:55:35,31.44,,
381,06/05/2021 18:00:35,31.14,,
382,06/05/2021 18:05:35,30.97,,
383,06/05/2021 18:10:35,30.89,,
384,06/05/2021 18:15:35,30.80,,
385,06/05/2021 18:20:35,30.67,,
386,06/05/2021 18:25:35,30.50,,
387,06/05/2021 18:30:35,30.33,,
388,06/05/2021 18:35:35,30.20,,
389,06/05/2021 18:40:35,30.03,,
390,06/05/2021 18:45:35,29.81,,
391,06/05/2021 18:50:35,29.64,,
392,06/05/2021 18:55:35,29.38,,
393,06/05/2021 19:00:35,29.17,,
394,06/05/2021 19:05:35,28.95,,
395,06/05/2021 19:10:35,28.74,,
396,06/05/2021 19:15:35,28.44,,
397,06/05/2021 19:20:35,28.23,,
398,06/05/2021 19:25:35,27.97,,
399,06/05/2021 19:30:35,27.80,,
400,06/05/2021 19:35:35,27.58,,
401,06/05/2021 19:40:35,27.32,,
402,06/05/2021 19:45:35,27.07,,
403,06/05/2021 19:50:35,26.68,,
404,06/05/2021 19:55:35,26.30,,
405,06/05/2021 20:00:35,26.08,,
406,06/05/2021 20:05:35,25.82,,
407,06/05/2021 20:10:35,25.57,,
408,06/05/2021 20:15:35,25.27,,
409,06/05/2021 20:20:35,24.92,,
410,06/05/2021 20:25:35,24.66,,
411,06/05/2021 20:30:35,24.41,,
412,06/05/2021 20:35:35,24.24,,
413,06/05/2021 20:40:35,24.02,,
414,06/05/2021 20:45:35,23.72,,
415,06/05/2021 20:50:35,23.55,,
416,06/05/2021 20:55:35,23.34,,
417,06/05/2021 21:00:35,23.16,,
418,06/05/2021 21:05:35,22.99,,
419,06/05/2021 21:10:35,22.78,,
420,06/05/2021 21:15:35,22.56,,
421,06/05/2021 21:20:35,22.39,,
422,06/05/2021 21:25:35,22.22,,
423,06/05/2021 21:30:35,22.05,,
424,06/05/2021 21:35:35,21.92,,
425,06/05/2021 21:40:35,21.79,,
426,06/05/2021 21:45:35,21.58,,
427,06/05/2021 21:50:35,21.36,,
428,06/05/2021 21:55:35,21.28,,
429,06/05/2021 22:00:35,21.10,,
430,06/05/2021 22:05:35,20.98,,
431,06/05/2021 22:10:35,20.85,,
432,06/05/2021 22:15:35,20.72,,
433,06/05/2021 22:20:35,20.63,,
434,06/05/2021 22:25:35,20.46,,
435,06/05/2021 22:30:35,20.33,,
436,06/05/2021 22:35:35,20.25,,
437,06/05/2021 22:40:35,20.12,,
438,06/05/2021 22:45:35,19.99,,
439,06/05/2021 22:50:35,19.82,,
440,06/05/2021 22:55:35,19.65,,
441,06/05/2021 23:00:35,19.56,,
442,06/05/2021 23:05:35,19.47,,
443,06/05/2021 23:10:35,19.43,,
444,06/05/2021 23:15:35,19.43,,
445,06/05/2021 23:20:35,19.35,,
446,06/05/2021 23:25:35,19.17,,
447,06/05/2021 23:30:35,19.05,,
448,06/05/2021 23:35:35,18.87,,
449,06/05/2021 23:40:35,18.74,,
450,06/05/2021 23:45:35,18.62,,
451,06/05/2021 23:50:35,18.49,,
452,06/05/2021 23:55:35,18.49,,
453,06/06/2021 00:00:35,18.27,,
454,06/06/2021 00:05:35,18.19,,
455,06/06/2021 00:10:35,18.02,,
456,06/06/2021 00:15:35,18.10,,
457,06/06/2021 00:20:35,18.06,,
458,06/06/2021 00:25:35,17.97,,
459,06/06/2021 00:30:35,17.93,,
460,06/06/2021 00:35:35,17.76,,
461,06/06/2021 00:40:35,17.67,,
462,06/06/2021 00:45:35,17.50,,
463,06/06/2021 00:50:35,17.37,,
464,06/06/2021 00:55:35,17.24,,
465,06/06/2021 01:00:35,17.07,,
466,06/06/2021 01:05:35,16.94,,
467,06/06/2021 01:10:35,16.81,,
468,06/06/2021 01:15:35,16.77,,
469,06/06/2021 01:20:35,16.69,,
470,06/06/2021 01:25:35,16.56,,
471,06/06/2021 01:30:35,16.60,,
472,06/06/2021 01:35:35,16.56,,
473,06/06/2021 01:40:35,16.39,,
474,06/06/2021 01:45:35,16.39,,
475,06/06/2021 01:50:35,16.21,,
476,06/06/2021 01:55:35,16.13,,
477,06/06/2021 02:00:35,16.08,,
478,06/06/2021 02:05:35,16.00,,
479,06/06/2021 02:10:35,15.91,,
480,06/06/2021 02:15:35,15.78,,
481,06/06/2021 02:20:35,15.78,,
482,06/06/2021 02:25:35,15.61,,
483,06/06/2021 02:30:35,15.57,,
484,06/06/2021 02:35:35,15.48,,
485,06/06/2021 02:40:35,15.40,,
486,06/06/2021 02:45:35,15.36,,
487,06/06/2021 02:50:35,15.31,,
488,06/06/2021 02:55:35,15.18,,
489,06/06/2021 03:00:35,15.14,,
490,06/06/2021 03:05:35,15.14,,
491,06/06/2021 03:10:35,15.01,,
492,06/06/2021 03:15:35,14.93,,
493,06/06/2021 03:20:35,14.84,,
494,06/06/2021 03:25:35,14.71,,
495,06/06/2021 03:30:35,14.75,,
496,06/06/2021 03:35:35,14.67,,
497,06/06/2021 03:40:35,14.63,,
498,06/06/2021 03:45:35,14.58,,
499,06/06/2021 03:50:35,14.50,,
500,06/06/2021 03:55:35,14.50,,
501,06/06/2021 04:00:35,14.41,,
502,06/06/2021 04:05:35,14.33,,
503,06/06/2021 04:10:35,14.33,,
504,06/06/2021 04:15:35,14.28,,
505,06/06/2021 04:20:35,14.20,,
506,06/06/2021 04:25:35,14.20,,
507,06/06/2021 04:30:35,14.15,,
508,06/06/2021 04:35:35,14.03,,
509,06/06/2021 04:40:35,13.94,,
510,06/06/2021 04:45:35,13.90,,
511,06/06/2021 04:50:35,13.90,,
512,06/06/2021 04:55:35,13.94,,
513,06/06/2021 05:00:35,13.85,,
514,06/06/2021 05:05:35,13.85,,
515,06/06/2021 05:10:35,13.85,,
516,06/06/2021 05:15:35,13.85,,
517,06/06/2021 05:20:35,13.85,,
518,06/06/2021 05:25:35,13.77,,
519,06/06/2021 05:30:35,13.85,,
520,06/06/2021 05:35:35,13.81,,
521,06/06/2021 05:40:35,13.73,,
522,06/06/2021 05:45:35,13.73,,
523,06/06/2021 05:50:35,13.64,,
524,06/06/2021 05:55:35,13.64,,
525,06/06/2021 06:00:35,13.60,,
526,06/06/2021 06:05:35,13.55,,
527,06/06/2021 06:10:35,13.47,,
528,06/06/2021 06:15:35,13.51,,
529,06/06/2021 06:20:35,13.51,,
530,06/06/2021 06:25:35,13.51,,
531,06/06/2021 06:30:35,13.64,,
532,06/06/2021 06:35:35,13.68,,
533,06/06/2021 06:40:35,13.85,,
534,06/06/2021 06:45:35,13.98,,
535,06/06/2021 06:50:35,14.11,,
536,06/06/2021 06:55:35,14.33,,
537,06/06/2021 07:00:35,14.45,,
538,06/06/2021 07:05:35,14.63,,
539,06/06/2021 07:10:35,14.93,,
540,06/06/2021 07:15:35,15.10,,
541,06/06/2021 07:20:35,15.36,,
542,06/06/2021 07:25:35,15.57,,
543,06/06/2021 07:30:35,15.87,,
544,06/06/2021 07:35:35,16.08,,
545,06/06/2021 07:40:35,16.39,,
546,06/06/2021 07:45:35,16.64,,
547,06/06/2021 07:50:35,16.90,,
548,06/06/2021 07:55:35,17.20,,
549,06/06/2021 08:00:35,17.50,,
550,06/06/2021 08:05:35,17.80,,
551,06/06/2021 08:10:35,18.06,,
552,06/06/2021 08:15:35,18.44,,
553,06/06/2021 08:20:35,18.79,,
554,06/06/2021 08:25:35,19.09,,
555,06/06/2021 08:30:35,19.43,,
556,06/06/2021 08:35:35,19.77,,
557,06/06/2021 08:40:35,20.20,,
558,06/06/2021 08:45:35,20.46,,
559,06/06/2021 08:50:35,20.72,,
560,06/06/2021 08:55:35,21.06,,
561,06/06/2021 09:00:35,21.49,,
562,06/06/2021 09:05:35,21.83,,
563,06/06/2021 09:10:35,22.22,,
564,06/06/2021 09:15:35,22.56,,
565,06/06/2021 09:20:35,22.99,,
566,06/06/2021 09:25:35,23.42,,
567,06/06/2021 09:30:35,23.68,,
568,06/06/2021 09:35:35,23.94,,
569,06/06/2021 09:40:35,24.15,,
570,06/06/2021 09:45:35,24.49,,
571,06/06/2021 09:50:35,24.75,,
572,06/06/2021 09:55:35,25.05,,
573,06/06/2021 10:00:35,25.31,,
574,06/06/2021 10:05:35,25.57,,
575,06/06/2021 10:10:35,25.87,,
576,06/06/2021 10:15:35,26.17,,
577,06/06/2021 10:20:35,26.47,,
578,06/06/2021 10:25:35,26.68,,
579,06/06/2021 10:30:35,26.94,,
580,06/06/2021 10:35:35,27.20,,
581,06/06/2021 10:40:35,27.28,,
582,06/06/2021 10:45:35,27.54,,
583,06/06/2021 10:50:35,27.71,,
584,06/06/2021 10:55:35,27.75,,
585,06/06/2021 11:00:35,28.01,,
586,06/06/2021 11:05:35,28.14,,
587,06/06/2021 11:10:35,28.05,,
588,06/06/2021 11:15:35,28.23,,
589,06/06/2021 11:20:35,28.48,,
590,06/06/2021 11:25:35,28.70,,
591,06/06/2021 11:30:35,28.83,,
592,06/06/2021 11:35:35,29.13,,
593,06/06/2021 11:40:35,29.30,,
594,06/06/2021 11:45:35,29.60,,
595,06/06/2021 11:50:35,29.90,,
596,06/06/2021 11:55:35,29.90,,
597,06/06/2021 12:00:35,30.07,,
598,06/06/2021 12:05:35,30.16,,
599,06/06/2021 12:10:35,30.37,,
600,06/06/2021 12:15:35,30.50,,
601,06/06/2021 12:20:35,30.71,,
602,06/06/2021 12:25:35,30.80,,
603,06/06/2021 12:30:35,31.10,,
604,06/06/2021 12:35:35,31.19,,
605,06/06/2021 12:40:35,31.36,,
606,06/06/2021 12:45:35,31.61,,
607,06/06/2021 12:50:35,31.53,,
608,06/06/2021 12:55:35,31.74,,
609,06/06/2021 13:00:35,31.79,,
610,06/06/2021 13:05:35,31.83,,
611,06/06/2021 13:10:35,31.96,,
612,06/06/2021 13:15:35,32.04,,
613,06/06/2021 13:20:35,32.13,,
614,06/06/2021 13:25:35,32.13,,
615,06/06/2021 13:30:35,32.13,,
616,06/06/2021 13:35:35,32.09,,
617,06/06/2021 13:40:35,32.17,,
618,06/06/2021 13:45:35,32.09,,
619,06/06/2021 13:50:35,32.04,,
620,06/06/2021 13:55:35,32.09,,
621,06/06/2021 14:00:35,32.26,,
622,06/06/2021 14:05:35,32.34,,
623,06/06/2021 14:10:35,32.30,,
624,06/06/2021 14:15:35,32.39,,
625,06/06/2021 14:20:35,32.52,,
626,06/06/2021 14:25:35,32.47,,
627,06/06/2021 14:30:35,32.56,,
628,06/06/2021 14:35:35,32.69,,
629,06/06/2021 14:40:35,32.56,,
630,06/06/2021 14:45:35,32.64,,
631,06/06/2021 14:50:35,32.64,,
632,06/06/2021 14:55:35,32.82,,
633,06/06/2021 15:00:35,32.73,,
634,06/06/2021 15:05:35,32.73,,
635,06/06/2021 15:10:35,32.82,,
636,06/06/2021 15:15:35,32.69,,
637,06/06/2021 15:20:35,32.73,,
638,06/06/2021 15:25:35,32.77,,
639,06/06/2021 15:30:35,32.69,,
640,06/06/2021 15:35:35,32.77,,
641,06/06/2021 15:40:35,32.64,,
642,06/06/2021 15:45:35,32.47,,
643,06/06/2021 15:50:35,32.52,,
644,06/06/2021 15:55:35,32.30,,
645,06/06/2021 16:00:35,32.30,,
646,06/06/2021 16:05:35,32.43,,
647,06/06/2021 16:10:35,32.52,,
648,06/06/2021 16:15:35,32.43,,
649,06/06/2021 16:20:35,32.39,,
650,06/06/2021 16:25:35,32.39,,
651,06/06/2021 16:30:35,32.34,,
652,06/06/2021 16:35:35,32.34,,
653,06/06/2021 16:40:35,32.39,,
654,06/06/2021 16:45:35,32.47,,
655,06/06/2021 16:50:35,32.56,,
656,06/06/2021 16:55:35,32.82,,
657,06/06/2021 17:00:35,33.12,,
658,06/06/2021 17:05:35,33.07,,
659,06/06/2021 17:10:35,33.03,,
660,06/06/2021 17:15:35,32.94,,
661,06/06/2021 17:20:35,32.73,,
