#,Date-Time (PST),Ch: 1 - Temperature   (°C),Host Connected,Stopped,End of File
1,06/07/2022 07:55:34,27.88,,,
2,06/07/2022 08:00:34,24.32,,,
3,06/07/2022 08:05:34,22.56,,,
4,06/07/2022 08:10:34,21.79,,,
5,06/07/2022 08:15:34,21.49,,,
6,06/07/2022 08:20:34,21.53,,,
7,06/07/2022 08:25:34,21.70,,,
8,06/07/2022 08:30:34,21.92,,,
9,06/07/2022 08:35:34,22.22,,,
10,06/07/2022 08:40:34,22.52,,,
11,06/07/2022 08:45:34,22.91,,,
12,06/07/2022 08:50:34,23.38,,,
13,06/07/2022 08:55:34,23.81,,,
14,06/07/2022 09:00:34,24.32,,,
15,06/07/2022 09:05:34,24.79,,,
16,06/07/2022 09:10:34,25.22,,,
17,06/07/2022 09:15:34,25.48,,,
18,06/07/2022 09:20:34,25.61,,,
19,06/07/2022 09:25:34,25.74,,,
20,06/07/2022 09:30:34,25.99,,,
21,06/07/2022 09:35:34,26.30,,,
22,06/07/2022 09:40:34,26.47,,,
23,06/07/2022 09:45:34,26.64,,,
24,06/07/2022 09:50:34,26.90,,,
25,06/07/2022 09:55:34,26.94,,,
26,06/07/2022 10:00:34,27.11,,,
27,06/07/2022 10:05:34,27.41,,,
28,06/07/2022 10:10:34,27.45,,,
29,06/07/2022 10:15:34,27.67,,,
30,06/07/2022 10:20:34,28.10,,,
31,06/07/2022 10:25:34,28.40,,,
32,06/07/2022 10:30:34,28.70,,,
33,06/07/2022 10:35:34,28.61,,,
34,06/07/2022 10:40:34,28.83,,,
35,06/07/2022 10:45:34,29.00,,,
36,06/07/2022 10:50:34,29.21,,,
37,06/07/2022 10:55:34,29.38,,,
38,06/07/2022 11:00:34,29.51,,,
39,06/07/2022 11:05:34,29.68,,,
40,06/07/2022 11:10:34,29.90,,,
41,06/07/2022 11:15:34,30.07,,,
42,06/07/2022 11:20:34,30.37,,,
43,06/07/2022 11:25:34,30.59,,,
44,06/07/2022 11:30:34,30.93,,,
45,06/07/2022 11:35:34,31.10,,,
46,06/07/2022 11:40:34,31.27,,,
47,06/07/2022 11:45:34,31.19,,,
48,06/07/2022 11:50:34,31.44,,,
49,06/07/2022 11:55:34,31.92,,,
50,06/07/2022 12:00:34,32.04,,,
