#,Date-Time (PDT),Ch:1 - Temperature   (°C),Host Connected,Stopped,End of File
1,06/29/2023 10:07:39,40.45,,,
2,06/29/2023 10:12:39,34.83,,,
3,06/29/2023 10:17:39,32.64,,,
4,06/29/2023 10:22:39,31.74,,,
5,06/29/2023 10:27:39,31.44,,,
6,06/29/2023 10:32:39,31.53,,,
7,06/29/2023 10:37:39,31.83,,,
8,06/29/2023 10:42:39,32.26,,,
9,06/29/2023 10:47:39,32.43,,,
10,06/29/2023 10:52:39,32.86,,,
11,06/29/2023 10:57:39,33.33,,,
12,06/29/2023 11:02:39,33.67,,,
13,06/29/2023 11:07:39,33.93,,,
14,06/29/2023 11:12:39,33.85,,,
15,06/29/2023 11:17:39,34.15,,,
16,06/29/2023 11:22:39,34.19,,,
17,06/29/2023 11:27:39,34.49,,,
18,06/29/2023 11:32:39,34.53,,,
19,06/29/2023 11:37:39,34.70,,,
20,06/29/2023 11:42:39,34.83,,,
21,06/29/2023 11:47:39,35.00,,,
22,06/29/2023 11:52:39,35.13,,,
23,06/29/2023 11:57:39,35.39,,,
24,06/29/2023 12:02:39,35.78,,,
25,06/29/2023 12:07:39,36.16,,,
26,06/29/2023 12:12:39,36.42,,,
27,06/29/2023 12:17:39,36.63,,,
28,06/29/2023 12:22:39,36.76,,,
29,06/29/2023 12:27:39,36.85,,,
30,06/29/2023 12:32:39,36.81,,,
31,06/29/2023 12:37:39,36.68,,,
32,06/29/2023 12:42:39,36.46,,,
33,06/29/2023 12:47:39,36.51,,,
34,06/29/2023 12:52:39,36.55,,,
35,06/29/2023 12:57:39,36.55,,,
36,06/29/2023 13:02:39,36.46,,,
37,06/29/2023 13:07:39,36.46,,,
38,06/29/2023 13:12:39,36.38,,,
39,06/29/2023 13:17:39,36.33,,,
40,06/29/2023 13:22:39,36.42,,,
41,06/29/2023 13:27:39,36.51,,,
42,06/29/2023 13:32:39,36.51,,,
43,06/29/2023 13:37:39,36.68,,,
44,06/29/2023 13:42:39,36.81,,,
45,06/29/2023 13:47:39,36.76,,,
46,06/29/2023 13:52:39,36.76,,,
47,06/29/2023 13:57:39,36.85,,,
48,06/29/2023 14:02:39,36.81,,,
49,06/29/2023 14:07:39,36.93,,,
50,06/29/2023 14:12:39,36.89,,,
51,06/29/2023 14:17:39,36.93,,,
52,06/29/2023 14:22:39,37.02,,,
53,06/29/2023 14:27:39,37.19,,,
54,06/29/2023 14:32:39,37.28,,,
55,06/29/2023 14:37:39,37.36,,,
56,06/29/2023 14:42:39,37.41,,,
57,06/29/2023 14:47:39,37.45,,,
58,06/29/2023 14:52:39,37.49,,,
59,06/29/2023 14:57:39,37.58,,,
60,06/29/2023 15:02:39,37.58,,,
61,06/29/2023 15:07:39,37.54,,,
62,06/29/2023 15:12:39,37.49,,,
63,06/29/2023 15:17:39,37.41,,,
64,06/29/2023 15:22:39,37.19,,,
65,06/29/2023 15:27:39,36.93,,,
66,06/29/2023 15:32:39,36.72,,,
67,06/29/2023 15:37:39,36.51,,,
68,06/29/2023 15:42:39,36.42,,,
69,06/29/2023 15:47:39,36.25,,,
70,06/29/2023 15:52:39,36.16,,,
71,06/29/2023 15:57:39,35.99,,,
72,06/29/2023 16:02:39,35.86,,,
73,06/29/2023 16:07:39,35.78,,,
74,06/29/2023 16:12:39,35.69,,,
75,06/29/2023 16:17:39,35.65,,,
76,06/29/2023 16:22:39,35.65,,,
77,06/29/2023 16:27:39,35.60,,,
78,06/29/2023 16:32:39,35.60,,,
79,06/29/2023 16:37:39,35.56,,,
80,06/29/2023 16:42:39,35.52,,,
81,06/29/2023 16:47:39,35.52,,,
82,06/29/2023 16:52:39,35.56,,,
83,06/29/2023 16:57:39,35.60,,,
84,06/29/2023 17:02:39,35.65,,,
85,06/29/2023 17:07:39,35.69,,,
86,06/29/2023 17:12:39,35.65,,,
87,06/29/2023 17:17:39,35.65,,,
88,06/29/2023 17:22:39,35.69,,,
89,06/29/2023 17:27:39,35.65,,,
90,06/29/2023 17:32:39,35.69,,,
91,06/29/2023 17:37:39,35.69,,,
92,06/29/2023 17:42:39,35.78,,,
