#,Date-Time (PDT),Ch:1 - Temperature   (°C),Host Connected,Stopped,End of File
1,06/29/2023 10:07:10,37.19,,,
2,06/29/2023 10:12:10,34.32,,,
3,06/29/2023 10:17:10,32.17,,,
4,06/29/2023 10:22:10,32.13,,,
5,06/29/2023 10:27:10,31.61,,,
6,06/29/2023 10:32:10,31.79,,,
7,06/29/2023 10:37:10,32.26,,,
8,06/29/2023 10:42:10,32.39,,,
9,06/29/2023 10:47:10,32.04,,,
10,06/29/2023 10:52:10,32.77,,,
11,06/29/2023 10:57:10,33.42,,,
12,06/29/2023 11:02:10,33.16,,,
13,06/29/2023 11:07:10,33.25,,,
14,06/29/2023 11:12:10,33.25,,,
15,06/29/2023 11:17:10,34.10,,,
16,06/29/2023 11:22:10,34.75,,,
17,06/29/2023 11:27:10,34.70,,,
18,06/29/2023 11:32:10,35.26,,,
19,06/29/2023 11:37:10,35.65,,,
20,06/29/2023 11:42:10,35.43,,,
21,06/29/2023 11:47:10,35.60,,,
22,06/29/2023 11:52:10,35.52,,,
23,06/29/2023 11:57:10,35.73,,,
24,06/29/2023 12:02:10,36.55,,,
25,06/29/2023 12:07:10,36.63,,,
26,06/29/2023 12:12:10,37.28,,,
27,06/29/2023 12:17:10,37.36,,,
28,06/29/2023 12:22:10,37.32,,,
29,06/29/2023 12:27:10,37.15,,,
30,06/29/2023 12:32:10,37.19,,,
31,06/29/2023 12:37:10,37.11,,,
32,06/29/2023 12:42:10,36.72,,,
33,06/29/2023 12:47:10,37.28,,,
34,06/29/2023 12:52:10,37.54,,,
35,06/29/2023 12:57:10,37.75,,,
36,06/29/2023 13:02:10,37.23,,,
37,06/29/2023 13:07:10,37.15,,,
38,06/29/2023 13:12:10,37.36,,,
39,06/29/2023 13:17:10,38.05,,,
40,06/29/2023 13:22:10,38.44,,,
41,06/29/2023 13:27:10,38.56,,,
42,06/29/2023 13:32:10,38.82,,,
43,06/29/2023 13:37:10,38.86,,,
44,06/29/2023 13:42:10,39.17,,,
45,06/29/2023 13:47:10,38.95,,,
46,06/29/2023 13:52:10,39.04,,,
47,06/29/2023 13:57:10,38.91,,,
48,06/29/2023 14:02:10,39.12,,,
49,06/29/2023 14:07:10,39.21,,,
50,06/29/2023 14:12:10,38.99,,,
51,06/29/2023 14:17:10,39.64,,,
52,06/29/2023 14:22:10,39.51,,,
53,06/29/2023 14:27:10,40.15,,,
54,06/29/2023 14:32:10,40.11,,,
55,06/29/2023 14:37:10,39.85,,,
56,06/29/2023 14:42:10,39.51,,,
57,06/29/2023 14:47:10,40.07,,,
58,06/29/2023 14:52:10,40.07,,,
59,06/29/2023 14:57:10,40.11,,,
60,06/29/2023 15:02:10,39.85,,,
61,06/29/2023 15:07:10,39.04,,,
62,06/29/2023 15:12:10,38.86,,,
63,06/29/2023 15:17:10,38.44,,,
64,06/29/2023 15:22:10,38.14,,,
65,06/29/2023 15:27:10,37.71,,,
66,06/29/2023 15:32:10,37.41,,,
67,06/29/2023 15:37:10,37.28,,,
68,06/29/2023 15:42:10,37.11,,,
69,06/29/2023 15:47:10,36.98,,,
70,06/29/2023 15:52:10,37.32,,,
71,06/29/2023 15:57:10,37.15,,,
72,06/29/2023 16:02:10,36.93,,,
73,06/29/2023 16:07:10,36.93,,,
74,06/29/2023 16:12:10,36.93,,,
75,06/29/2023 16:17:10,36.93,,,
76,06/29/2023 16:22:10,36.93,,,
77,06/29/2023 16:27:10,37.06,,,
78,06/29/2023 16:32:10,37.06,,,
79,06/29/2023 16:37:10,37.06,,,
80,06/29/2023 16:42:10,37.15,,,
81,06/29/2023 16:47:10,37.11,,,
82,06/29/2023 16:52:10,37.11,,,
83,06/29/2023 16:57:10,37.15,,,
84,06/29/2023 17:02:10,37.23,,,
85,06/29/2023 17:07:10,37.23,,,
86,06/29/2023 17:12:10,37.15,,,
87,06/29/2023 17:17:10,37.19,,,
88,06/29/2023 17:22:10,37.36,,,
89,06/29/2023 17:27:10,37.32,,,
90,06/29/2023 17:32:10,37.32,,,
91,06/29/2023 17:37:10,37.28,,,
92,06/29/2023 17:42:10,37.11,,,
93,06/29/2023 17:47:10,37.02,,,
94,06/29/2023 17:52:10,37.19,,,
95,06/29/2023 17:57:10,37.23,,,
96,06/29/2023 18:02:10,37.02,,,
97,06/29/2023 18:07:10,36.76,,,
98,06/29/2023 18:12:10,36.63,,,
99,06/29/2023 18:17:10,36.46,,,
100,06/29/2023 18:22:10,36.12,,,
101,06/29/2023 18:27:10,35.78,,,
102,06/29/2023 18:32:10,35.43,,,
103,06/29/2023 18:37:10,35.18,,,
104,06/29/2023 18:42:10,34.96,,,
105,06/29/2023 18:47:10,34.70,,,
106,06/29/2023 18:52:10,34.57,,,
107,06/29/2023 18:57:10,34.27,,,
108,06/29/2023 19:02:10,34.06,,,
109,06/29/2023 19:07:10,33.76,,,
110,06/29/2023 19:12:10,33.46,,,
111,06/29/2023 19:17:10,33.03,,,
112,06/29/2023 19:22:10,32.69,,,
113,06/29/2023 19:27:10,32.34,,,
114,06/29/2023 19:32:10,31.96,,,
115,06/29/2023 19:37:10,31.66,,,
116,06/29/2023 19:42:10,31.31,,,
117,06/29/2023 19:47:10,31.19,,,
118,06/29/2023 19:52:10,30.84,,,
119,06/29/2023 19:57:10,30.63,,,
120,06/29/2023 20:02:10,30.24,,,
121,06/29/2023 20:07:10,30.03,,,
122,06/29/2023 20:12:10,29.64,,,
123,06/29/2023 20:17:10,29.26,,,
124,06/29/2023 20:22:10,28.87,,,
125,06/29/2023 20:27:10,28.61,,,
126,06/29/2023 20:32:10,28.27,,,
127,06/29/2023 20:37:10,27.97,,,
128,06/29/2023 20:42:10,27.63,,,
129,06/29/2023 20:47:10,27.20,,,
130,06/29/2023 20:52:10,26.94,,,
131,06/29/2023 20:57:10,26.72,,,
132,06/29/2023 21:02:10,26.38,,,
133,06/29/2023 21:07:10,26.17,,,
134,06/29/2023 21:12:10,25.95,,,
135,06/29/2023 21:17:10,25.69,,,
136,06/29/2023 21:22:10,25.44,,,
137,06/29/2023 21:27:10,25.27,,,
138,06/29/2023 21:32:10,24.97,,,
139,06/29/2023 21:37:10,24.79,,,
140,06/29/2023 21:42:10,24.54,,,
141,06/29/2023 21:47:10,24.32,,,
142,06/29/2023 21:52:10,24.11,,,
143,06/29/2023 21:57:10,23.98,,,
144,06/29/2023 22:02:10,23.81,,,
145,06/29/2023 22:07:10,23.59,,,
146,06/29/2023 22:12:10,23.42,,,
147,06/29/2023 22:17:10,23.16,,,
148,06/29/2023 22:22:10,22.99,,,
149,06/29/2023 22:27:10,22.78,,,
150,06/29/2023 22:32:10,22.65,,,
151,06/29/2023 22:37:10,22.52,,,
152,06/29/2023 22:42:10,22.26,,,
153,06/29/2023 22:47:10,22.13,,,
154,06/29/2023 22:52:10,22.05,,,
155,06/29/2023 22:57:10,21.83,,,
156,06/29/2023 23:02:10,21.53,,,
157,06/29/2023 23:07:10,21.40,,,
158,06/29/2023 23:12:10,21.10,,,
159,06/29/2023 23:17:10,20.93,,,
160,06/29/2023 23:22:10,20.85,,,
161,06/29/2023 23:27:10,20.72,,,
162,06/29/2023 23:32:10,20.80,,,
163,06/29/2023 23:37:10,20.76,,,
164,06/29/2023 23:42:10,20.63,,,
165,06/29/2023 23:47:10,20.68,,,
166,06/29/2023 23:52:10,20.59,,,
167,06/29/2023 23:57:10,20.46,,,
168,06/30/2023 00:02:10,20.29,,,
169,06/30/2023 00:07:10,20.12,,,
170,06/30/2023 00:12:10,19.99,,,
171,06/30/2023 00:17:10,19.86,,,
172,06/30/2023 00:22:10,19.82,,,
173,06/30/2023 00:27:10,19.73,,,
174,06/30/2023 00:32:10,19.65,,,
175,06/30/2023 00:37:10,19.60,,,
176,06/30/2023 00:42:10,19.65,,,
177,06/30/2023 00:47:10,19.73,,,
178,06/30/2023 00:52:10,19.65,,,
179,06/30/2023 00:57:10,19.52,,,
180,06/30/2023 01:02:10,19.30,,,
181,06/30/2023 01:07:10,19.13,,,
182,06/30/2023 01:12:10,19.05,,,
183,06/30/2023 01:17:10,18.83,,,
184,06/30/2023 01:22:10,18.87,,,
185,06/30/2023 01:27:10,18.74,,,
186,06/30/2023 01:32:10,18.70,,,
187,06/30/2023 01:37:10,18.62,,,
188,06/30/2023 01:42:10,18.62,,,
189,06/30/2023 01:47:10,18.53,,,
190,06/30/2023 01:52:10,18.53,,,
191,06/30/2023 01:57:10,18.44,,,
192,06/30/2023 02:02:10,18.32,,,
193,06/30/2023 02:07:10,18.32,,,
194,06/30/2023 02:12:10,18.19,,,
195,06/30/2023 02:17:10,18.10,,,
196,06/30/2023 02:22:10,18.02,,,
197,06/30/2023 02:27:10,17.89,,,
198,06/30/2023 02:32:10,17.80,,,
199,06/30/2023 02:37:10,17.76,,,
200,06/30/2023 02:42:10,17.67,,,
201,06/30/2023 02:47:10,17.67,,,
202,06/30/2023 02:52:10,17.59,,,
203,06/30/2023 02:57:10,17.46,,,
204,06/30/2023 03:02:10,17.37,,,
205,06/30/2023 03:07:10,17.33,,,
206,06/30/2023 03:12:10,17.29,,,
207,06/30/2023 03:17:10,17.24,,,
208,06/30/2023 03:22:10,17.20,,,
209,06/30/2023 03:27:10,17.07,,,
210,06/30/2023 03:32:10,17.03,,,
211,06/30/2023 03:37:10,16.94,,,
212,06/30/2023 03:42:10,16.94,,,
213,06/30/2023 03:47:10,16.81,,,
214,06/30/2023 03:52:10,16.69,,,
215,06/30/2023 03:57:10,16.64,,,
216,06/30/2023 04:02:10,16.60,,,
217,06/30/2023 04:07:10,16.43,,,
218,06/30/2023 04:12:10,16.39,,,
219,06/30/2023 04:17:10,16.39,,,
220,06/30/2023 04:22:10,16.34,,,
221,06/30/2023 04:27:10,16.30,,,
222,06/30/2023 04:32:10,16.26,,,
223,06/30/2023 04:37:10,16.21,,,
224,06/30/2023 04:42:10,16.21,,,
225,06/30/2023 04:47:10,16.17,,,
226,06/30/2023 04:52:10,16.13,,,
227,06/30/2023 04:57:10,16.17,,,
228,06/30/2023 05:02:10,16.13,,,
229,06/30/2023 05:07:10,16.04,,,
230,06/30/2023 05:12:10,16.04,,,
231,06/30/2023 05:17:10,15.91,,,
232,06/30/2023 05:22:10,15.91,,,
233,06/30/2023 05:27:10,15.91,,,
234,06/30/2023 05:32:10,15.87,,,
235,06/30/2023 05:37:10,15.83,,,
236,06/30/2023 05:42:10,15.78,,,
237,06/30/2023 05:47:10,15.78,,,
238,06/30/2023 05:52:10,15.78,,,
239,06/30/2023 05:57:10,15.78,,,
240,06/30/2023 06:02:10,15.74,,,
241,06/30/2023 06:07:10,15.74,,,
242,06/30/2023 06:12:10,15.87,,,
243,06/30/2023 06:17:10,15.83,,,
244,06/30/2023 06:22:10,15.87,,,
245,06/30/2023 06:27:10,15.83,,,
246,06/30/2023 06:32:10,15.96,,,
247,06/30/2023 06:37:10,16.08,,,
248,06/30/2023 06:42:10,16.21,,,
249,06/30/2023 06:47:10,16.43,,,
250,06/30/2023 06:52:10,16.64,,,
251,06/30/2023 06:57:10,16.90,,,
252,06/30/2023 07:02:10,17.11,,,
253,06/30/2023 07:07:10,17.29,,,
254,06/30/2023 07:12:10,17.54,,,
255,06/30/2023 07:17:10,17.76,,,
256,06/30/2023 07:22:10,18.19,,,
257,06/30/2023 07:27:10,18.70,,,
258,06/30/2023 07:32:10,19.39,,,
259,06/30/2023 07:37:10,20.03,,,
260,06/30/2023 07:42:10,20.59,,,
261,06/30/2023 07:47:10,21.06,,,
262,06/30/2023 07:52:10,21.66,,,
263,06/30/2023 07:57:10,22.43,,,
264,06/30/2023 08:02:10,23.12,,,
265,06/30/2023 08:07:10,23.85,,,
266,06/30/2023 08:12:10,24.36,,,
267,06/30/2023 08:17:10,24.58,,,
268,06/30/2023 08:22:10,25.09,,,
269,06/30/2023 08:27:10,25.27,,,
270,06/30/2023 08:32:10,25.69,,,
271,06/30/2023 08:37:10,26.12,,,
272,06/30/2023 08:42:10,26.55,,,
273,06/30/2023 08:47:10,26.81,,,
274,06/30/2023 08:52:10,27.28,,,
275,06/30/2023 08:57:10,27.63,,,
276,06/30/2023 09:02:10,28.05,,,
277,06/30/2023 09:07:10,28.40,,,
278,06/30/2023 09:12:10,28.74,,,
279,06/30/2023 09:17:10,29.04,,,
280,06/30/2023 09:22:10,29.21,,,
281,06/30/2023 09:27:10,29.00,,,
282,06/30/2023 09:32:10,29.26,,,
283,06/30/2023 09:37:10,29.34,,,
284,06/30/2023 09:42:10,29.47,,,
285,06/30/2023 09:47:10,29.68,,,
286,06/30/2023 09:52:10,29.77,,,
287,06/30/2023 09:57:10,29.56,,,
288,06/30/2023 10:02:10,29.81,,,
289,06/30/2023 10:07:10,30.37,,,
290,06/30/2023 10:12:10,30.33,,,
291,06/30/2023 10:17:10,30.24,,,
292,06/30/2023 10:22:10,30.76,,,
293,06/30/2023 10:27:10,31.53,,,
294,06/30/2023 10:32:10,31.61,,,
295,06/30/2023 10:37:10,32.00,,,
296,06/30/2023 10:42:10,32.64,,,
297,06/30/2023 10:47:10,33.12,,,
298,06/30/2023 10:52:10,33.20,,,
299,06/30/2023 10:57:10,33.72,,,
300,06/30/2023 11:02:10,33.80,,,
301,06/30/2023 11:07:10,33.85,,,
302,06/30/2023 11:12:10,34.23,,,
303,06/30/2023 11:17:10,34.57,,,
304,06/30/2023 11:22:10,34.66,,,
305,06/30/2023 11:27:10,35.48,,,
306,06/30/2023 11:32:10,35.56,,,
307,06/30/2023 11:37:10,35.73,,,
308,06/30/2023 11:42:10,36.08,,,
309,06/30/2023 11:47:10,35.86,,,
310,06/30/2023 11:52:10,36.51,,,
311,06/30/2023 11:57:10,36.89,,,
312,06/30/2023 12:02:10,37.23,,,
313,06/30/2023 12:07:10,37.36,,,
314,06/30/2023 12:12:10,37.66,,,
315,06/30/2023 12:17:10,37.45,,,
316,06/30/2023 12:22:10,37.92,,,
317,06/30/2023 12:27:10,38.31,,,
318,06/30/2023 12:32:10,38.48,,,
319,06/30/2023 12:37:10,38.61,,,
320,06/30/2023 12:42:10,38.91,,,
321,06/30/2023 12:47:10,38.74,,,
322,06/30/2023 12:52:10,39.38,,,
323,06/30/2023 12:57:10,39.47,,,
324,06/30/2023 13:02:10,39.77,,,
325,06/30/2023 13:07:10,40.11,,,
326,06/30/2023 13:12:10,40.32,,,
327,06/30/2023 13:17:10,40.54,,,
328,06/30/2023 13:22:10,40.32,,,
329,06/30/2023 13:27:10,40.32,,,
330,06/30/2023 13:32:10,40.45,,,
331,06/30/2023 13:37:10,40.71,,,
332,06/30/2023 13:42:10,40.80,,,
333,06/30/2023 13:47:10,41.22,,,
334,06/30/2023 13:52:10,41.48,,,
335,06/30/2023 13:57:10,41.10,,,
336,06/30/2023 14:02:10,40.84,,,
337,06/30/2023 14:07:10,40.75,,,
338,06/30/2023 14:12:10,40.97,,,
339,06/30/2023 14:17:10,40.97,,,
340,06/30/2023 14:22:10,41.18,,,
341,06/30/2023 14:27:10,41.01,,,
342,06/30/2023 14:32:10,40.97,,,
343,06/30/2023 14:37:10,41.14,,,
344,06/30/2023 14:42:10,41.10,,,
345,06/30/2023 14:47:10,41.10,,,
346,06/30/2023 14:52:10,41.10,,,
347,06/30/2023 14:57:10,41.31,,,
348,06/30/2023 15:02:10,41.40,,,
349,06/30/2023 15:07:10,41.70,,,
350,06/30/2023 15:12:10,41.61,,,
351,06/30/2023 15:17:10,41.57,,,
352,06/30/2023 15:22:10,41.35,,,
353,06/30/2023 15:27:10,41.40,,,
354,06/30/2023 15:32:10,41.31,,,
355,06/30/2023 15:37:10,41.70,,,
356,06/30/2023 15:42:10,41.87,,,
357,06/30/2023 15:47:10,41.95,,,
358,06/30/2023 15:52:10,41.91,,,
359,06/30/2023 15:57:10,41.70,,,
360,06/30/2023 16:02:10,41.70,,,
361,06/30/2023 16:07:10,41.95,,,
362,06/30/2023 16:12:10,42.00,,,
363,06/30/2023 16:17:10,41.78,,,
364,06/30/2023 16:22:10,41.52,,,
365,06/30/2023 16:27:10,41.48,,,
366,06/30/2023 16:32:10,41.44,,,
367,06/30/2023 16:37:10,41.61,,,
368,06/30/2023 16:42:10,41.70,,,
369,06/30/2023 16:47:10,41.57,,,
370,06/30/2023 16:52:10,41.52,,,
371,06/30/2023 16:57:10,41.48,,,
372,06/30/2023 17:02:10,41.44,,,
373,06/30/2023 17:07:10,41.31,,,
374,06/30/2023 17:12:10,41.35,,,
375,06/30/2023 17:17:10,41.14,,,
376,06/30/2023 17:22:10,41.22,,,
377,06/30/2023 17:27:10,41.10,,,
378,06/30/2023 17:32:10,41.14,,,
379,06/30/2023 17:37:10,41.05,,,
380,06/30/2023 17:42:10,40.80,,,
381,06/30/2023 17:47:10,40.58,,,
382,06/30/2023 17:52:10,40.50,,,
383,06/30/2023 17:57:10,40.37,,,
384,06/30/2023 18:02:10,40.19,,,
385,06/30/2023 18:07:10,40.07,,,
386,06/30/2023 18:12:10,39.98,,,
387,06/30/2023 18:17:10,39.64,,,
388,06/30/2023 18:22:10,39.34,,,
389,06/30/2023 18:27:10,39.08,,,
390,06/30/2023 18:32:10,38.74,,,
391,06/30/2023 18:37:10,38.22,,,
392,06/30/2023 18:42:10,37.84,,,
393,06/30/2023 18:47:10,37.75,,,
394,06/30/2023 18:52:10,37.49,,,
395,06/30/2023 18:57:10,37.11,,,
396,06/30/2023 19:02:10,36.81,,,
397,06/30/2023 19:07:10,36.55,,,
398,06/30/2023 19:12:10,36.21,,,
399,06/30/2023 19:17:10,35.52,,,
400,06/30/2023 19:22:10,35.00,,,
401,06/30/2023 19:27:10,34.57,,,
402,06/30/2023 19:32:10,34.36,,,
403,06/30/2023 19:37:10,34.06,,,
404,06/30/2023 19:42:10,33.67,,,
405,06/30/2023 19:47:10,33.37,,,
406,06/30/2023 19:52:10,33.03,,,
407,06/30/2023 19:57:10,32.64,,,
408,06/30/2023 20:02:10,32.22,,,
409,06/30/2023 20:07:10,32.09,,,
410,06/30/2023 20:12:10,31.57,,,
411,06/30/2023 20:17:10,31.06,,,
412,06/30/2023 20:22:10,30.84,,,
413,06/30/2023 20:27:10,30.67,,,
414,06/30/2023 20:32:10,30.20,,,
415,06/30/2023 20:37:10,29.86,,,
416,06/30/2023 20:42:10,29.51,,,
417,06/30/2023 20:47:10,29.34,,,
418,06/30/2023 20:52:10,29.13,,,
419,06/30/2023 20:57:10,28.65,,,
420,06/30/2023 21:02:10,28.35,,,
421,06/30/2023 21:07:10,28.10,,,
422,06/30/2023 21:12:10,28.05,,,
423,06/30/2023 21:17:10,28.01,,,
424,06/30/2023 21:22:10,27.84,,,
425,06/30/2023 21:27:10,27.58,,,
426,06/30/2023 21:32:10,27.41,,,
427,06/30/2023 21:37:10,27.11,,,
428,06/30/2023 21:42:10,26.94,,,
429,06/30/2023 21:47:10,26.72,,,
430,06/30/2023 21:52:10,26.42,,,
431,06/30/2023 21:57:10,25.99,,,
432,06/30/2023 22:02:10,25.69,,,
433,06/30/2023 22:07:10,25.39,,,
434,06/30/2023 22:12:10,25.18,,,
435,06/30/2023 22:17:10,25.05,,,
436,06/30/2023 22:22:10,24.88,,,
437,06/30/2023 22:27:10,24.79,,,
438,06/30/2023 22:32:10,24.62,,,
439,06/30/2023 22:37:10,24.41,,,
440,06/30/2023 22:42:10,24.32,,,
441,06/30/2023 22:47:10,24.28,,,
