#,Date-Time (PST),Ch: 1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,05/05/2022 09:23:59,20.20,,,,
2,05/05/2022 09:24:33,,Logged,,,
3,05/05/2022 09:24:34,,,Logged,,
4,05/05/2022 09:24:38,,Logged,Logged,,
5,05/05/2022 09:28:59,20.68,,,,
6,05/05/2022 09:33:59,19.95,,,,
7,05/05/2022 09:38:59,19.52,,,,
8,05/05/2022 09:43:59,19.30,,,,
9,05/05/2022 09:48:59,19.22,,,,
10,05/05/2022 09:53:59,19.17,,,,
11,05/05/2022 09:58:59,19.17,,,,
12,05/05/2022 10:03:59,19.26,,,,
13,05/05/2022 10:08:59,19.35,,,,
14,05/05/2022 10:13:59,19.43,,,,
15,05/05/2022 10:18:59,19.52,,,,
16,05/05/2022 10:23:59,19.56,,,,
17,05/05/2022 10:28:59,19.65,,,,
18,05/05/2022 10:33:59,19.69,,,,
19,05/05/2022 10:38:59,19.86,,,,
20,05/05/2022 10:43:59,20.03,,,,
21,05/05/2022 10:48:59,20.12,,,,
22,05/05/2022 10:53:59,20.29,,,,
23,05/05/2022 10:58:59,20.42,,,,
24,05/05/2022 11:03:59,20.55,,,,
25,05/05/2022 11:08:59,20.72,,,,
26,05/05/2022 11:13:59,20.89,,,,
27,05/05/2022 11:18:59,21.06,,,,
28,05/05/2022 11:23:59,21.28,,,,
29,05/05/2022 11:28:59,21.45,,,,
30,05/05/2022 11:33:59,21.62,,,,
31,05/05/2022 11:38:59,21.79,,,,
32,05/05/2022 11:43:59,21.96,,,,
33,05/05/2022 11:48:59,22.13,,,,
34,05/05/2022 11:53:59,22.22,,,,
35,05/05/2022 11:58:59,22.35,,,,
36,05/05/2022 12:03:59,22.35,,,,
37,05/05/2022 12:08:59,22.43,,,,
38,05/05/2022 12:13:59,22.48,,,,
39,05/05/2022 12:18:59,22.65,,,,
40,05/05/2022 12:23:59,22.78,,,,
41,05/05/2022 12:28:59,22.99,,,,
42,05/05/2022 12:33:59,23.16,,,,
43,05/05/2022 12:38:59,23.25,,,,
44,05/05/2022 12:43:59,23.34,,,,
45,05/05/2022 12:48:59,23.42,,,,
46,05/05/2022 12:53:59,23.38,,,,
47,05/05/2022 12:58:59,23.38,,,,
48,05/05/2022 13:03:59,23.42,,,,
49,05/05/2022 13:08:59,23.51,,,,
50,05/05/2022 13:13:59,23.51,,,,
51,05/05/2022 13:18:59,23.64,,,,
52,05/05/2022 13:23:59,23.64,,,,
53,05/05/2022 13:28:59,23.72,,,,
54,05/05/2022 13:33:59,23.85,,,,
55,05/05/2022 13:38:59,23.89,,,,
56,05/05/2022 13:43:59,23.94,,,,
57,05/05/2022 13:48:59,24.02,,,,
58,05/05/2022 13:53:59,24.06,,,,
59,05/05/2022 13:58:59,24.06,,,,
60,05/05/2022 14:03:59,24.15,,,,
61,05/05/2022 14:08:59,24.11,,,,
62,05/05/2022 14:13:59,24.11,,,,
63,05/05/2022 14:18:59,24.11,,,,
64,05/05/2022 14:23:59,24.11,,,,
65,05/05/2022 14:28:59,24.15,,,,
66,05/05/2022 14:33:59,24.11,,,,
67,05/05/2022 14:38:59,24.06,,,,
68,05/05/2022 14:43:59,24.06,,,,
69,05/05/2022 14:48:59,23.98,,,,
70,05/05/2022 14:53:59,23.89,,,,
71,05/05/2022 14:58:59,23.76,,,,
72,05/05/2022 15:03:59,23.72,,,,
73,05/05/2022 15:08:59,23.55,,,,
74,05/05/2022 15:13:59,23.46,,,,
75,05/05/2022 15:18:59,23.42,,,,
76,05/05/2022 15:23:59,23.29,,,,
77,05/05/2022 15:28:59,23.21,,,,
78,05/05/2022 15:33:59,23.08,,,,
79,05/05/2022 15:38:59,23.03,,,,
80,05/05/2022 15:43:59,22.95,,,,
81,05/05/2022 15:48:59,22.91,,,,
82,05/05/2022 15:53:59,22.91,,,,
83,05/05/2022 15:58:59,22.82,,,,
84,05/05/2022 16:03:59,22.78,,,,
85,05/05/2022 16:08:59,22.73,,,,
86,05/05/2022 16:13:59,22.69,,,,
87,05/05/2022 16:18:59,22.61,,,,
88,05/05/2022 16:23:59,22.52,,,,
89,05/05/2022 16:28:59,22.39,,,,
90,05/05/2022 16:33:59,22.31,,,,
91,05/05/2022 16:38:59,22.22,,,,
92,05/05/2022 16:43:59,22.18,,,,
93,05/05/2022 16:48:59,22.05,,,,
94,05/05/2022 16:53:59,21.96,,,,
95,05/05/2022 16:58:59,21.88,,,,
96,05/05/2022 17:03:59,21.79,,,,
97,05/05/2022 17:08:59,21.70,,,,
98,05/05/2022 17:13:59,21.66,,,,
99,05/05/2022 17:18:59,21.58,,,,
100,05/05/2022 17:23:59,21.53,,,,
101,05/05/2022 17:28:59,21.53,,,,
102,05/05/2022 17:33:59,21.53,,,,
103,05/05/2022 17:38:59,21.53,,,,
104,05/05/2022 17:43:59,21.53,,,,
105,05/05/2022 17:48:59,21.49,,,,
106,05/05/2022 17:53:59,21.53,,,,
107,05/05/2022 17:58:59,21.53,,,,
108,05/05/2022 18:03:59,21.53,,,,
109,05/05/2022 18:08:59,21.49,,,,
110,05/05/2022 18:13:59,21.49,,,,
111,05/05/2022 18:18:59,21.45,,,,
112,05/05/2022 18:23:59,21.49,,,,
113,05/05/2022 18:28:59,21.45,,,,
114,05/05/2022 18:33:59,21.45,,,,
115,05/05/2022 18:38:59,21.40,,,,
116,05/05/2022 18:43:59,21.40,,,,
117,05/05/2022 18:48:59,21.36,,,,
118,05/05/2022 18:53:59,21.32,,,,
119,05/05/2022 18:58:59,21.32,,,,
120,05/05/2022 19:03:59,21.28,,,,
121,05/05/2022 19:08:59,21.28,,,,
122,05/05/2022 19:13:59,21.23,,,,
123,05/05/2022 19:18:59,21.23,,,,
124,05/05/2022 19:23:59,21.15,,,,
125,05/05/2022 19:28:59,21.15,,,,
126,05/05/2022 19:33:59,21.10,,,,
127,05/05/2022 19:38:59,20.98,,,,
128,05/05/2022 19:43:59,20.93,,,,
129,05/05/2022 19:48:59,20.85,,,,
130,05/05/2022 19:53:59,20.72,,,,
131,05/05/2022 19:58:59,20.68,,,,
132,05/05/2022 20:03:59,20.55,,,,
133,05/05/2022 20:08:59,20.37,,,,
134,05/05/2022 20:13:59,20.20,,,,
135,05/05/2022 20:18:59,20.12,,,,
136,05/05/2022 20:23:59,19.95,,,,
137,05/05/2022 20:28:59,19.82,,,,
138,05/05/2022 20:33:59,19.73,,,,
139,05/05/2022 20:38:59,19.60,,,,
140,05/05/2022 20:43:59,19.56,,,,
141,05/05/2022 20:48:59,19.43,,,,
142,05/05/2022 20:53:59,19.30,,,,
143,05/05/2022 20:58:59,19.22,,,,
144,05/05/2022 21:03:59,19.09,,,,
145,05/05/2022 21:08:59,18.96,,,,
146,05/05/2022 21:13:59,18.79,,,,
147,05/05/2022 21:18:59,18.66,,,,
148,05/05/2022 21:23:59,18.53,,,,
149,05/05/2022 21:28:59,18.36,,,,
150,05/05/2022 21:33:59,18.27,,,,
151,05/05/2022 21:38:59,18.10,,,,
152,05/05/2022 21:43:59,17.97,,,,
153,05/05/2022 21:48:59,17.84,,,,
154,05/05/2022 21:53:59,17.72,,,,
155,05/05/2022 21:58:59,17.67,,,,
156,05/05/2022 22:03:59,17.72,,,,
157,05/05/2022 22:08:59,17.76,,,,
158,05/05/2022 22:13:59,17.76,,,,
159,05/05/2022 22:18:59,17.80,,,,
160,05/05/2022 22:23:59,17.84,,,,
161,05/05/2022 22:28:59,17.80,,,,
162,05/05/2022 22:33:59,17.80,,,,
163,05/05/2022 22:38:59,17.76,,,,
164,05/05/2022 22:43:59,17.76,,,,
165,05/05/2022 22:48:59,17.67,,,,
166,05/05/2022 22:53:59,17.63,,,,
167,05/05/2022 22:58:59,17.50,,,,
168,05/05/2022 23:03:59,17.41,,,,
169,05/05/2022 23:08:59,17.33,,,,
170,05/05/2022 23:13:59,17.29,,,,
171,05/05/2022 23:18:59,17.16,,,,
172,05/05/2022 23:23:59,17.03,,,,
173,05/05/2022 23:28:59,16.94,,,,
174,05/05/2022 23:33:59,16.90,,,,
175,05/05/2022 23:38:59,16.86,,,,
176,05/05/2022 23:43:59,16.77,,,,
177,05/05/2022 23:48:59,16.69,,,,
178,05/05/2022 23:53:59,16.60,,,,
179,05/05/2022 23:58:59,16.51,,,,
180,05/06/2022 00:03:59,16.39,,,,
181,05/06/2022 00:08:59,16.34,,,,
182,05/06/2022 00:13:59,16.26,,,,
183,05/06/2022 00:18:59,16.17,,,,
184,05/06/2022 00:23:59,16.13,,,,
185,05/06/2022 00:28:59,16.04,,,,
186,05/06/2022 00:33:59,15.96,,,,
187,05/06/2022 00:38:59,15.87,,,,
188,05/06/2022 00:43:59,15.78,,,,
189,05/06/2022 00:48:59,15.74,,,,
190,05/06/2022 00:53:59,15.66,,,,
191,05/06/2022 00:58:59,15.57,,,,
192,05/06/2022 01:03:59,15.44,,,,
193,05/06/2022 01:08:59,15.31,,,,
194,05/06/2022 01:13:59,15.27,,,,
195,05/06/2022 01:18:59,15.14,,,,
196,05/06/2022 01:23:59,15.10,,,,
197,05/06/2022 01:28:59,15.01,,,,
198,05/06/2022 01:33:59,14.93,,,,
199,05/06/2022 01:38:59,14.84,,,,
200,05/06/2022 01:43:59,14.80,,,,
201,05/06/2022 01:48:59,14.67,,,,
202,05/06/2022 01:53:59,14.63,,,,
203,05/06/2022 01:58:59,14.50,,,,
204,05/06/2022 02:03:59,14.50,,,,
205,05/06/2022 02:08:59,14.45,,,,
206,05/06/2022 02:13:59,14.37,,,,
207,05/06/2022 02:18:59,14.24,,,,
208,05/06/2022 02:23:59,14.20,,,,
209,05/06/2022 02:28:59,14.24,,,,
210,05/06/2022 02:33:59,14.20,,,,
211,05/06/2022 02:38:59,14.15,,,,
212,05/06/2022 02:43:59,14.11,,,,
213,05/06/2022 02:48:59,14.15,,,,
214,05/06/2022 02:53:59,14.11,,,,
215,05/06/2022 02:58:59,14.11,,,,
216,05/06/2022 03:03:59,14.15,,,,
217,05/06/2022 03:08:59,14.20,,,,
218,05/06/2022 03:13:59,14.15,,,,
219,05/06/2022 03:18:59,14.20,,,,
220,05/06/2022 03:23:59,14.20,,,,
221,05/06/2022 03:28:59,14.15,,,,
222,05/06/2022 03:33:59,14.20,,,,
223,05/06/2022 03:38:59,14.15,,,,
224,05/06/2022 03:43:59,14.20,,,,
225,05/06/2022 03:48:59,14.20,,,,
226,05/06/2022 03:53:59,14.15,,,,
227,05/06/2022 03:58:59,14.11,,,,
228,05/06/2022 04:03:59,14.11,,,,
229,05/06/2022 04:08:59,14.07,,,,
230,05/06/2022 04:13:59,14.07,,,,
231,05/06/2022 04:18:59,14.11,,,,
232,05/06/2022 04:23:59,14.07,,,,
233,05/06/2022 04:28:59,14.03,,,,
234,05/06/2022 04:33:59,14.03,,,,
235,05/06/2022 04:38:59,14.03,,,,
236,05/06/2022 04:43:59,13.94,,,,
237,05/06/2022 04:48:59,13.94,,,,
238,05/06/2022 04:53:59,13.90,,,,
239,05/06/2022 04:58:59,13.85,,,,
240,05/06/2022 05:03:59,13.85,,,,
241,05/06/2022 05:08:59,13.77,,,,
242,05/06/2022 05:13:59,13.77,,,,
243,05/06/2022 05:18:59,13.73,,,,
244,05/06/2022 05:23:59,13.73,,,,
245,05/06/2022 05:28:59,13.73,,,,
246,05/06/2022 05:33:59,13.64,,,,
247,05/06/2022 05:38:59,13.68,,,,
248,05/06/2022 05:43:59,13.68,,,,
249,05/06/2022 05:48:59,13.68,,,,
250,05/06/2022 05:53:59,13.68,,,,
251,05/06/2022 05:58:59,13.64,,,,
252,05/06/2022 06:03:59,13.51,,,,
253,05/06/2022 06:08:59,13.55,,,,
254,05/06/2022 06:13:59,13.51,,,,
255,05/06/2022 06:18:59,13.47,,,,
256,05/06/2022 06:23:59,13.47,,,,
257,05/06/2022 06:28:59,13.47,,,,
258,05/06/2022 06:33:59,13.47,,,,
259,05/06/2022 06:38:59,13.51,,,,
260,05/06/2022 06:43:59,13.60,,,,
261,05/06/2022 06:48:59,13.77,,,,
262,05/06/2022 06:53:59,13.77,,,,
263,05/06/2022 06:58:59,13.90,,,,
264,05/06/2022 07:03:59,14.07,,,,
265,05/06/2022 07:08:59,14.20,,,,
266,05/06/2022 07:13:59,14.24,,,,
267,05/06/2022 07:18:59,14.37,,,,
268,05/06/2022 07:23:59,14.54,,,,
269,05/06/2022 07:28:59,14.67,,,,
270,05/06/2022 07:33:59,14.93,,,,
271,05/06/2022 07:38:59,15.14,,,,
272,05/06/2022 07:43:59,15.31,,,,
273,05/06/2022 07:48:59,15.53,,,,
274,05/06/2022 07:53:59,15.78,,,,
275,05/06/2022 07:58:59,16.08,,,,
276,05/06/2022 08:03:59,16.34,,,,
277,05/06/2022 08:08:59,16.56,,,,
278,05/06/2022 08:13:59,16.73,,,,
279,05/06/2022 08:18:59,16.94,,,,
280,05/06/2022 08:23:59,17.07,,,,
281,05/06/2022 08:28:59,17.16,,,,
282,05/06/2022 08:33:59,17.29,,,,
283,05/06/2022 08:38:59,17.41,,,,
284,05/06/2022 08:43:59,17.50,,,,
285,05/06/2022 08:48:59,17.63,,,,
286,05/06/2022 08:53:59,17.76,,,,
287,05/06/2022 08:58:59,17.89,,,,
288,05/06/2022 09:03:59,18.02,,,,
289,05/06/2022 09:08:59,18.27,,,,
290,05/06/2022 09:13:59,18.53,,,,
291,05/06/2022 09:18:59,18.79,,,,
292,05/06/2022 09:23:59,19.09,,,,
293,05/06/2022 09:28:59,19.35,,,,
294,05/06/2022 09:33:59,19.60,,,,
295,05/06/2022 09:38:59,19.86,,,,
296,05/06/2022 09:43:59,20.16,,,,
297,05/06/2022 09:48:59,20.42,,,,
298,05/06/2022 09:53:59,20.68,,,,
299,05/06/2022 09:58:59,20.93,,,,
300,05/06/2022 10:03:59,21.15,,,,
301,05/06/2022 10:08:59,21.32,,,,
302,05/06/2022 10:13:59,21.49,,,,
303,05/06/2022 10:18:59,21.62,,,,
304,05/06/2022 10:23:59,21.66,,,,
305,05/06/2022 10:28:59,21.79,,,,
306,05/06/2022 10:33:59,21.83,,,,
307,05/06/2022 10:38:59,21.88,,,,
308,05/06/2022 10:43:59,22.01,,,,
309,05/06/2022 10:48:59,22.09,,,,
310,05/06/2022 10:53:59,22.18,,,,
311,05/06/2022 10:58:59,22.35,,,,
312,05/06/2022 11:03:59,22.43,,,,
313,05/06/2022 11:08:59,22.56,,,,
314,05/06/2022 11:13:59,22.61,,,,
315,05/06/2022 11:18:59,22.73,,,,
316,05/06/2022 11:23:59,22.82,,,,
317,05/06/2022 11:28:59,23.08,,,,
318,05/06/2022 11:33:59,23.25,,,,
319,05/06/2022 11:38:59,23.46,,,,
320,05/06/2022 11:43:59,23.59,,,,
321,05/06/2022 11:48:59,23.68,,,,
322,05/06/2022 11:53:59,23.85,,,,
323,05/06/2022 11:58:59,23.94,,,,
324,05/06/2022 12:03:59,24.11,,,,
325,05/06/2022 12:08:59,24.24,,,,
326,05/06/2022 12:13:59,24.28,,,,
327,05/06/2022 12:18:59,24.32,,,,
328,05/06/2022 12:23:59,24.32,,,,
329,05/06/2022 12:28:59,24.32,,,,
330,05/06/2022 12:33:59,24.28,,,,
331,05/06/2022 12:38:59,24.11,,,,
332,05/06/2022 12:43:59,24.02,,,,
333,05/06/2022 12:48:59,23.94,,,,
334,05/06/2022 12:53:59,23.76,,,,
335,05/06/2022 12:58:59,23.76,,,,
336,05/06/2022 13:03:59,23.68,,,,
337,05/06/2022 13:08:59,23.68,,,,
338,05/06/2022 13:13:59,23.68,,,,
339,05/06/2022 13:18:59,23.72,,,,
340,05/06/2022 13:23:59,23.76,,,,
341,05/06/2022 13:28:59,23.85,,,,
342,05/06/2022 13:33:59,23.89,,,,
343,05/06/2022 13:38:59,24.02,,,,
344,05/06/2022 13:43:59,24.15,,,,
345,05/06/2022 13:48:59,24.28,,,,
346,05/06/2022 13:53:59,24.45,,,,
347,05/06/2022 13:58:59,24.58,,,,
348,05/06/2022 14:03:59,24.71,,,,
349,05/06/2022 14:08:59,24.79,,,,
350,05/06/2022 14:13:59,24.92,,,,
351,05/06/2022 14:18:59,25.01,,,,
352,05/06/2022 14:23:59,25.05,,,,
353,05/06/2022 14:28:59,25.22,,,,
354,05/06/2022 14:33:59,25.39,,,,
355,05/06/2022 14:38:59,25.52,,,,
356,05/06/2022 14:43:59,25.52,,,,
357,05/06/2022 14:48:59,25.48,,,,
358,05/06/2022 14:53:59,25.44,,,,
359,05/06/2022 14:58:59,25.44,,,,
360,05/06/2022 15:03:59,25.35,,,,
361,05/06/2022 15:08:59,25.39,,,,
362,05/06/2022 15:13:59,25.31,,,,
363,05/06/2022 15:18:59,25.22,,,,
364,05/06/2022 15:23:59,25.18,,,,
365,05/06/2022 15:28:59,25.14,,,,
366,05/06/2022 15:33:59,25.01,,,,
367,05/06/2022 15:38:59,25.14,,,,
368,05/06/2022 15:43:59,25.31,,,,
369,05/06/2022 15:48:59,25.52,,,,
370,05/06/2022 15:53:59,25.69,,,,
371,05/06/2022 15:58:59,25.91,,,,
372,05/06/2022 16:03:59,26.12,,,,
373,05/06/2022 16:08:59,26.38,,,,
374,05/06/2022 16:13:59,26.68,,,,
375,05/06/2022 16:18:59,26.94,,,,
376,05/06/2022 16:23:59,27.11,,,,
377,05/06/2022 16:28:59,27.24,,,,
378,05/06/2022 16:33:59,27.24,,,,
379,05/06/2022 16:38:59,27.15,,,,
380,05/06/2022 16:43:59,27.02,,,,
381,05/06/2022 16:48:59,26.81,,,,
382,05/06/2022 16:53:59,26.64,,,,
383,05/06/2022 16:58:59,26.51,,,,
384,05/06/2022 17:03:59,26.34,,,,
385,05/06/2022 17:08:59,26.12,,,,
386,05/06/2022 17:13:59,25.87,,,,
387,05/06/2022 17:18:59,25.65,,,,
388,05/06/2022 17:23:59,25.39,,,,
389,05/06/2022 17:28:59,25.27,,,,
390,05/06/2022 17:33:59,25.22,,,,
391,05/06/2022 17:38:59,25.22,,,,
392,05/06/2022 17:43:59,25.22,,,,
393,05/06/2022 17:48:59,25.14,,,,
394,05/06/2022 17:53:59,25.05,,,,
395,05/06/2022 17:58:59,24.97,,,,
396,05/06/2022 18:03:59,24.75,,,,
397,05/06/2022 18:08:59,24.62,,,,
398,05/06/2022 18:13:59,24.45,,,,
399,05/06/2022 18:18:59,24.24,,,,
400,05/06/2022 18:23:59,24.11,,,,
401,05/06/2022 18:28:59,23.89,,,,
402,05/06/2022 18:33:59,23.68,,,,
403,05/06/2022 18:38:59,23.55,,,,
404,05/06/2022 18:43:59,23.34,,,,
405,05/06/2022 18:48:59,23.12,,,,
406,05/06/2022 18:53:59,22.99,,,,
407,05/06/2022 18:58:59,22.78,,,,
408,05/06/2022 19:03:59,22.61,,,,
409,05/06/2022 19:08:59,22.39,,,,
410,05/06/2022 19:13:59,22.18,,,,
411,05/06/2022 19:18:59,21.96,,,,
412,05/06/2022 19:23:59,21.75,,,,
413,05/06/2022 19:28:59,21.58,,,,
414,05/06/2022 19:33:59,21.36,,,,
415,05/06/2022 19:38:59,21.15,,,,
416,05/06/2022 19:43:59,20.98,,,,
417,05/06/2022 19:48:59,20.72,,,,
418,05/06/2022 19:53:59,20.50,,,,
419,05/06/2022 19:58:59,20.37,,,,
420,05/06/2022 20:03:59,20.20,,,,
421,05/06/2022 20:08:59,19.99,,,,
422,05/06/2022 20:13:59,19.82,,,,
423,05/06/2022 20:18:59,19.69,,,,
424,05/06/2022 20:23:59,19.52,,,,
425,05/06/2022 20:28:59,19.39,,,,
426,05/06/2022 20:33:59,19.26,,,,
427,05/06/2022 20:38:59,19.13,,,,
428,05/06/2022 20:43:59,19.00,,,,
429,05/06/2022 20:48:59,18.92,,,,
430,05/06/2022 20:53:59,18.83,,,,
431,05/06/2022 20:58:59,18.66,,,,
432,05/06/2022 21:03:59,18.62,,,,
433,05/06/2022 21:08:59,18.53,,,,
434,05/06/2022 21:13:59,18.44,,,,
435,05/06/2022 21:18:59,18.40,,,,
436,05/06/2022 21:23:59,18.27,,,,
437,05/06/2022 21:28:59,18.19,,,,
438,05/06/2022 21:33:59,18.10,,,,
439,05/06/2022 21:38:59,17.97,,,,
440,05/06/2022 21:43:59,17.89,,,,
441,05/06/2022 21:48:59,17.80,,,,
442,05/06/2022 21:53:59,17.67,,,,
443,05/06/2022 21:58:59,17.59,,,,
444,05/06/2022 22:03:59,17.46,,,,
445,05/06/2022 22:08:59,17.33,,,,
446,05/06/2022 22:13:59,17.20,,,,
447,05/06/2022 22:18:59,17.07,,,,
448,05/06/2022 22:23:59,17.03,,,,
449,05/06/2022 22:28:59,16.90,,,,
450,05/06/2022 22:33:59,16.81,,,,
451,05/06/2022 22:38:59,16.69,,,,
452,05/06/2022 22:43:59,16.60,,,,
453,05/06/2022 22:48:59,16.56,,,,
454,05/06/2022 22:53:59,16.47,,,,
455,05/06/2022 22:58:59,16.43,,,,
456,05/06/2022 23:03:59,16.34,,,,
457,05/06/2022 23:08:59,16.30,,,,
458,05/06/2022 23:13:59,16.26,,,,
459,05/06/2022 23:18:59,16.13,,,,
460,05/06/2022 23:23:59,16.04,,,,
461,05/06/2022 23:28:59,15.96,,,,
462,05/06/2022 23:33:59,15.96,,,,
