#,Date-Time (PDT),Ch: 1 - Temperature   (°C),Button Down,Button Up,Host Connected,Stopped,End of File
1,04/11/2023 09:13:28,24.11,,,,,
2,04/11/2023 09:18:28,23.34,,,,,
3,04/11/2023 09:23:28,22.39,,,,,
4,04/11/2023 09:28:28,21.70,,,,,
5,04/11/2023 09:33:28,21.32,,,,,
6,04/11/2023 09:38:28,20.93,,,,,
7,04/11/2023 09:43:28,20.76,,,,,
8,04/11/2023 09:48:28,21.10,,,,,
9,04/11/2023 09:53:28,21.49,,,,,
10,04/11/2023 09:58:28,21.79,,,,,
11,04/11/2023 10:03:28,22.31,,,,,
12,04/11/2023 10:08:28,22.73,,,,,
13,04/11/2023 10:13:28,23.38,,,,,
14,04/11/2023 10:18:28,23.72,,,,,
15,04/11/2023 10:23:28,24.02,,,,,
16,04/11/2023 10:28:28,24.41,,,,,
17,04/11/2023 10:33:28,24.88,,,,,
18,04/11/2023 10:38:28,25.27,,,,,
19,04/11/2023 10:43:28,25.74,,,,,
20,04/11/2023 10:48:28,26.21,,,,,
21,04/11/2023 10:53:28,26.25,,,,,
22,04/11/2023 10:58:28,26.51,,,,,
23,04/11/2023 11:03:28,26.47,,,,,
24,04/11/2023 11:08:28,25.91,,,,,
25,04/11/2023 11:13:28,25.31,,,,,
26,04/11/2023 11:18:28,25.31,,,,,
27,04/11/2023 11:23:28,25.61,,,,,
28,04/11/2023 11:28:28,25.61,,,,,
29,04/11/2023 11:33:28,25.48,,,,,
30,04/11/2023 11:38:28,25.82,,,,,
31,04/11/2023 11:43:28,25.69,,,,,
32,04/11/2023 11:48:28,25.48,,,,,
33,04/11/2023 11:53:28,25.44,,,,,
34,04/11/2023 11:58:28,25.69,,,,,
35,04/11/2023 12:03:28,25.87,,,,,
36,04/11/2023 12:08:28,25.95,,,,,
37,04/11/2023 12:13:28,26.04,,,,,
38,04/11/2023 12:18:28,25.74,,,,,
39,04/11/2023 12:23:28,25.48,,,,,
40,04/11/2023 12:28:28,25.99,,,,,
41,04/11/2023 12:33:28,26.38,,,,,
42,04/11/2023 12:38:28,26.72,,,,,
43,04/11/2023 12:43:28,26.85,,,,,
44,04/11/2023 12:48:28,26.98,,,,,
45,04/11/2023 12:53:28,26.77,,,,,
46,04/11/2023 12:58:28,26.55,,,,,
47,04/11/2023 13:03:28,26.55,,,,,
48,04/11/2023 13:08:28,26.38,,,,,
49,04/11/2023 13:13:28,26.12,,,,,
50,04/11/2023 13:18:28,25.99,,,,,
51,04/11/2023 13:23:28,25.95,,,,,
52,04/11/2023 13:28:28,25.78,,,,,
53,04/11/2023 13:33:28,25.52,,,,,
54,04/11/2023 13:38:28,25.39,,,,,
55,04/11/2023 13:43:28,25.39,,,,,
56,04/11/2023 13:48:28,25.35,,,,,
57,04/11/2023 13:53:28,25.35,,,,,
58,04/11/2023 13:58:28,25.39,,,,,
59,04/11/2023 14:03:28,25.69,,,,,
60,04/11/2023 14:08:28,25.87,,,,,
61,04/11/2023 14:13:28,25.87,,,,,
62,04/11/2023 14:18:28,26.08,,,,,
63,04/11/2023 14:23:28,26.04,,,,,
64,04/11/2023 14:28:28,25.95,,,,,
65,04/11/2023 14:33:28,25.95,,,,,
66,04/11/2023 14:38:28,26.08,,,,,
67,04/11/2023 14:43:28,26.34,,,,,
68,04/11/2023 14:48:28,26.25,,,,,
69,04/11/2023 14:53:28,26.25,,,,,
70,04/11/2023 14:58:28,26.55,,,,,
71,04/11/2023 15:03:28,26.60,,,,,
72,04/11/2023 15:08:28,26.72,,,,,
73,04/11/2023 15:13:28,26.81,,,,,
74,04/11/2023 15:18:28,26.85,,,,,
75,04/11/2023 15:23:28,26.72,,,,,
76,04/11/2023 15:28:28,26.60,,,,,
77,04/11/2023 15:33:28,26.47,,,,,
78,04/11/2023 15:38:28,26.38,,,,,
79,04/11/2023 15:43:28,26.38,,,,,
80,04/11/2023 15:48:28,26.38,,,,,
81,04/11/2023 15:53:28,26.47,,,,,
82,04/11/2023 15:58:28,26.51,,,,,
83,04/11/2023 16:03:28,26.72,,,,,
84,04/11/2023 16:08:28,26.90,,,,,
85,04/11/2023 16:13:28,26.85,,,,,
86,04/11/2023 16:18:28,26.81,,,,,
87,04/11/2023 16:23:28,26.68,,,,,
88,04/11/2023 16:28:28,26.42,,,,,
89,04/11/2023 16:33:28,26.08,,,,,
90,04/11/2023 16:38:28,25.78,,,,,
91,04/11/2023 16:43:28,25.48,,,,,
92,04/11/2023 16:48:28,25.18,,,,,
93,04/11/2023 16:53:28,24.84,,,,,
94,04/11/2023 16:58:28,24.66,,,,,
95,04/11/2023 17:03:28,24.36,,,,,
96,04/11/2023 17:08:28,24.19,,,,,
97,04/11/2023 17:13:28,24.11,,,,,
98,04/11/2023 17:18:28,23.89,,,,,
99,04/11/2023 17:23:28,23.64,,,,,
100,04/11/2023 17:28:28,23.51,,,,,
101,04/11/2023 17:33:28,23.25,,,,,
102,04/11/2023 17:38:28,23.03,,,,,
103,04/11/2023 17:43:28,22.95,,,,,
104,04/11/2023 17:48:28,22.78,,,,,
105,04/11/2023 17:53:28,22.69,,,,,
106,04/11/2023 17:58:28,22.65,,,,,
107,04/11/2023 18:03:28,22.52,,,,,
108,04/11/2023 18:08:28,22.35,,,,,
109,04/11/2023 18:13:28,22.18,,,,,
110,04/11/2023 18:18:28,22.09,,,,,
111,04/11/2023 18:23:28,21.92,,,,,
112,04/11/2023 18:28:28,21.62,,,,,
113,04/11/2023 18:33:28,21.49,,,,,
114,04/11/2023 18:38:28,21.23,,,,,
115,04/11/2023 18:43:28,21.02,,,,,
116,04/11/2023 18:48:28,20.80,,,,,
117,04/11/2023 18:53:28,20.42,,,,,
118,04/11/2023 18:58:28,20.07,,,,,
119,04/11/2023 19:03:28,19.82,,,,,
120,04/11/2023 19:08:28,19.47,,,,,
121,04/11/2023 19:13:28,19.13,,,,,
122,04/11/2023 19:18:28,18.79,,,,,
123,04/11/2023 19:23:28,18.49,,,,,
124,04/11/2023 19:28:28,18.19,,,,,
125,04/11/2023 19:33:28,17.93,,,,,
126,04/11/2023 19:38:28,17.67,,,,,
127,04/11/2023 19:43:28,17.46,,,,,
128,04/11/2023 19:48:28,17.20,,,,,
129,04/11/2023 19:53:28,16.94,,,,,
130,04/11/2023 19:58:28,16.69,,,,,
131,04/11/2023 20:03:28,16.43,,,,,
132,04/11/2023 20:08:28,16.21,,,,,
133,04/11/2023 20:13:28,15.91,,,,,
134,04/11/2023 20:18:28,15.61,,,,,
135,04/11/2023 20:23:28,15.40,,,,,
136,04/11/2023 20:28:28,15.23,,,,,
137,04/11/2023 20:33:28,15.10,,,,,
138,04/11/2023 20:38:28,15.06,,,,,
139,04/11/2023 20:43:28,14.93,,,,,
140,04/11/2023 20:48:28,14.84,,,,,
141,04/11/2023 20:53:28,14.58,,,,,
142,04/11/2023 20:58:28,14.33,,,,,
143,04/11/2023 21:03:28,14.07,,,,,
144,04/11/2023 21:08:28,13.85,,,,,
145,04/11/2023 21:13:28,13.64,,,,,
146,04/11/2023 21:18:28,13.47,,,,,
147,04/11/2023 21:23:28,13.34,,,,,
148,04/11/2023 21:28:28,13.34,,,,,
149,04/11/2023 21:33:28,13.43,,,,,
150,04/11/2023 21:38:28,13.43,,,,,
151,04/11/2023 21:43:28,13.43,,,,,
152,04/11/2023 21:48:28,13.30,,,,,
153,04/11/2023 21:53:28,13.21,,,,,
154,04/11/2023 21:58:28,13.25,,,,,
155,04/11/2023 22:03:28,13.21,,,,,
156,04/11/2023 22:08:28,13.17,,,,,
157,04/11/2023 22:13:28,13.12,,,,,
158,04/11/2023 22:18:28,13.04,,,,,
159,04/11/2023 22:23:28,12.95,,,,,
160,04/11/2023 22:28:28,12.95,,,,,
161,04/11/2023 22:33:28,13.25,,,,,
162,04/11/2023 22:38:28,13.12,,,,,
163,04/11/2023 22:43:28,12.82,,,,,
164,04/11/2023 22:48:28,12.61,,,,,
165,04/11/2023 22:53:28,12.52,,,,,
166,04/11/2023 22:58:28,12.52,,,,,
167,04/11/2023 23:03:28,12.57,,,,,
168,04/11/2023 23:08:28,12.61,,,,,
169,04/11/2023 23:13:28,12.65,,,,,
170,04/11/2023 23:18:28,12.65,,,,,
171,04/11/2023 23:23:28,12.74,,,,,
