#,Date-Time (PST),Ch: 1 - Temperature   (°C),Host Connected,End of File
1,04/22/2021 09:20:24,19.77,,
2,04/22/2021 09:25:24,20.25,,
3,04/22/2021 09:30:24,20.55,,
4,04/22/2021 09:35:24,20.93,,
5,04/22/2021 09:40:24,21.58,,
6,04/22/2021 09:45:24,21.88,,
7,04/22/2021 09:50:24,22.22,,
8,04/22/2021 09:55:24,22.52,,
9,04/22/2021 10:00:24,22.56,,
10,04/22/2021 10:05:24,22.78,,
11,04/22/2021 10:10:24,23.03,,
12,04/22/2021 10:15:24,23.42,,
13,04/22/2021 10:20:24,23.98,,
14,04/22/2021 10:25:24,24.41,,
15,04/22/2021 10:30:24,24.66,,
16,04/22/2021 10:35:24,24.97,,
17,04/22/2021 10:40:24,25.22,,
18,04/22/2021 10:45:24,25.57,,
19,04/22/2021 10:50:24,25.82,,
20,04/22/2021 10:55:24,26.12,,
21,04/22/2021 11:00:24,26.21,,
22,04/22/2021 11:05:24,26.30,,
23,04/22/2021 11:10:24,26.47,,
24,04/22/2021 11:15:24,26.60,,
25,04/22/2021 11:20:24,26.60,,
26,04/22/2021 11:25:24,26.72,,
27,04/22/2021 11:30:24,26.64,,
28,04/22/2021 11:35:24,26.77,,
29,04/22/2021 11:40:24,26.72,,
30,04/22/2021 11:45:24,26.68,,
31,04/22/2021 11:50:24,26.47,,
32,04/22/2021 11:55:24,26.42,,
33,04/22/2021 12:00:24,26.38,,
34,04/22/2021 12:05:24,26.21,,
35,04/22/2021 12:10:24,26.08,,
36,04/22/2021 12:15:24,25.87,,
37,04/22/2021 12:20:24,25.65,,
38,04/22/2021 12:25:24,25.35,,
39,04/22/2021 12:30:24,25.18,,
40,04/22/2021 12:35:24,25.05,,
41,04/22/2021 12:40:24,24.97,,
42,04/22/2021 12:45:24,24.92,,
43,04/22/2021 12:50:24,25.05,,
44,04/22/2021 12:55:24,24.97,,
45,04/22/2021 13:00:24,24.97,,
46,04/22/2021 13:05:24,25.01,,
47,04/22/2021 13:10:24,24.92,,
48,04/22/2021 13:15:24,24.97,,
49,04/22/2021 13:20:24,25.09,,
50,04/22/2021 13:25:24,25.01,,
51,04/22/2021 13:30:24,25.05,,
52,04/22/2021 13:35:24,25.14,,
53,04/22/2021 13:40:24,25.09,,
54,04/22/2021 13:45:24,24.97,,
55,04/22/2021 13:50:24,25.09,,
56,04/22/2021 13:55:24,25.18,,
57,04/22/2021 14:00:24,25.22,,
58,04/22/2021 14:05:24,25.35,,
59,04/22/2021 14:10:24,25.44,,
60,04/22/2021 14:15:24,25.39,,
61,04/22/2021 14:20:24,25.39,,
62,04/22/2021 14:25:24,25.39,,
63,04/22/2021 14:30:24,25.44,,
64,04/22/2021 14:35:24,25.44,,
65,04/22/2021 14:40:24,25.48,,
66,04/22/2021 14:45:24,25.48,,
67,04/22/2021 14:50:24,25.39,,
68,04/22/2021 14:55:24,25.35,,
69,04/22/2021 15:00:24,25.18,,
70,04/22/2021 15:05:24,25.01,,
71,04/22/2021 15:10:24,24.97,,
72,04/22/2021 15:15:24,24.88,,
73,04/22/2021 15:20:24,24.84,,
74,04/22/2021 15:25:24,24.79,,
75,04/22/2021 15:30:24,24.88,,
76,04/22/2021 15:35:24,24.88,,
77,04/22/2021 15:40:24,24.79,,
78,04/22/2021 15:45:24,24.62,,
79,04/22/2021 15:50:24,24.62,,
80,04/22/2021 15:55:24,24.62,,
81,04/22/2021 16:00:24,24.58,,
82,04/22/2021 16:05:24,24.54,,
83,04/22/2021 16:10:24,24.54,,
84,04/22/2021 16:15:24,24.58,,
85,04/22/2021 16:20:24,24.66,,
86,04/22/2021 16:25:24,24.79,,
87,04/22/2021 16:30:24,24.92,,
88,04/22/2021 16:35:24,24.92,,
89,04/22/2021 16:40:24,25.01,,
90,04/22/2021 16:45:24,25.05,,
91,04/22/2021 16:50:24,25.18,,
92,04/22/2021 16:55:24,25.18,,
93,04/22/2021 17:00:24,25.14,,
94,04/22/2021 17:05:24,25.05,,
95,04/22/2021 17:10:24,25.01,,
96,04/22/2021 17:15:24,24.97,,
97,04/22/2021 17:20:24,24.92,,
98,04/22/2021 17:25:24,24.75,,
99,04/22/2021 17:30:24,24.66,,
100,04/22/2021 17:35:24,24.41,,
101,04/22/2021 17:40:24,24.02,,
102,04/22/2021 17:45:24,23.68,,
103,04/22/2021 17:50:24,23.38,,
104,04/22/2021 17:55:24,23.16,,
105,04/22/2021 18:00:24,22.91,,
106,04/22/2021 18:05:24,22.56,,
107,04/22/2021 18:10:24,22.39,,
108,04/22/2021 18:15:24,22.22,,
109,04/22/2021 18:20:24,21.96,,
110,04/22/2021 18:25:24,21.66,,
111,04/22/2021 18:30:24,21.40,,
112,04/22/2021 18:35:24,21.19,,
113,04/22/2021 18:40:24,20.89,,
114,04/22/2021 18:45:24,20.59,,
115,04/22/2021 18:50:24,20.20,,
116,04/22/2021 18:55:24,19.86,,
117,04/22/2021 19:00:24,19.56,,
118,04/22/2021 19:05:24,19.26,,
119,04/22/2021 19:10:24,18.92,,
120,04/22/2021 19:15:24,18.62,,
121,04/22/2021 19:20:24,18.27,,
122,04/22/2021 19:25:24,17.84,,
123,04/22/2021 19:30:24,17.41,,
124,04/22/2021 19:35:24,16.99,,
125,04/22/2021 19:40:24,16.64,,
126,04/22/2021 19:45:24,16.34,,
127,04/22/2021 19:50:24,16.13,,
128,04/22/2021 19:55:24,16.00,,
129,04/22/2021 20:00:24,15.83,,
130,04/22/2021 20:05:24,15.70,,
131,04/22/2021 20:10:24,15.53,,
132,04/22/2021 20:15:24,15.36,,
133,04/22/2021 20:20:24,15.23,,
134,04/22/2021 20:25:24,15.14,,
135,04/22/2021 20:30:24,14.93,,
136,04/22/2021 20:35:24,14.80,,
137,04/22/2021 20:40:24,14.75,,
138,04/22/2021 20:45:24,14.67,,
139,04/22/2021 20:50:24,14.54,,
140,04/22/2021 20:55:24,14.41,,
141,04/22/2021 21:00:24,14.20,,
142,04/22/2021 21:05:24,14.07,,
143,04/22/2021 21:10:24,13.94,,
144,04/22/2021 21:15:24,13.81,,
145,04/22/2021 21:20:24,13.73,,
146,04/22/2021 21:25:24,13.60,,
147,04/22/2021 21:30:24,13.51,,
148,04/22/2021 21:35:24,13.43,,
149,04/22/2021 21:40:24,13.30,,
150,04/22/2021 21:45:24,13.25,,
151,04/22/2021 21:50:24,13.17,,
152,04/22/2021 21:55:24,13.08,,
153,04/22/2021 22:00:24,13.08,,
154,04/22/2021 22:05:24,13.04,,
155,04/22/2021 22:10:24,13.00,,
156,04/22/2021 22:15:24,12.91,,
157,04/22/2021 22:20:24,12.87,,
158,04/22/2021 22:25:24,12.91,,
159,04/22/2021 22:30:24,12.82,,
160,04/22/2021 22:35:24,12.78,,
161,04/22/2021 22:40:24,12.78,,
162,04/22/2021 22:45:24,12.70,,
163,04/22/2021 22:50:24,12.74,,
164,04/22/2021 22:55:24,12.74,,
165,04/22/2021 23:00:24,12.70,,
166,04/22/2021 23:05:24,12.70,,
167,04/22/2021 23:10:24,12.78,,
168,04/22/2021 23:15:24,12.74,,
169,04/22/2021 23:20:24,12.70,,
170,04/22/2021 23:25:24,12.65,,
171,04/22/2021 23:30:24,12.61,,
172,04/22/2021 23:35:24,12.48,,
173,04/22/2021 23:40:24,12.40,,
174,04/22/2021 23:45:24,12.40,,
175,04/22/2021 23:50:24,12.40,,
176,04/22/2021 23:55:24,12.35,,
177,04/23/2021 00:00:24,12.31,,
178,04/23/2021 00:05:24,12.27,,
179,04/23/2021 00:10:24,12.27,,
180,04/23/2021 00:15:24,12.27,,
181,04/23/2021 00:20:24,12.14,,
182,04/23/2021 00:25:24,12.10,,
183,04/23/2021 00:30:24,12.10,,
184,04/23/2021 00:35:24,12.10,,
185,04/23/2021 00:40:24,12.10,,
186,04/23/2021 00:45:24,12.01,,
187,04/23/2021 00:50:24,12.10,,
188,04/23/2021 00:55:24,12.01,,
189,04/23/2021 01:00:24,12.01,,
190,04/23/2021 01:05:24,12.05,,
191,04/23/2021 01:10:24,12.05,,
192,04/23/2021 01:15:24,12.05,,
193,04/23/2021 01:20:24,12.10,,
194,04/23/2021 01:25:24,12.10,,
195,04/23/2021 01:30:24,12.10,,
196,04/23/2021 01:35:24,12.14,,
197,04/23/2021 01:40:24,12.14,,
198,04/23/2021 01:45:24,12.10,,
199,04/23/2021 01:50:24,12.05,,
200,04/23/2021 01:55:24,12.01,,
201,04/23/2021 02:00:24,11.92,,
202,04/23/2021 02:05:24,11.84,,
203,04/23/2021 02:10:24,11.71,,
204,04/23/2021 02:15:24,11.67,,
205,04/23/2021 02:20:24,11.62,,
206,04/23/2021 02:25:24,11.62,,
207,04/23/2021 02:30:24,11.58,,
208,04/23/2021 02:35:24,11.45,,
209,04/23/2021 02:40:24,11.24,,
210,04/23/2021 02:45:24,11.07,,
211,04/23/2021 02:50:24,10.94,,
212,04/23/2021 02:55:24,10.77,,
213,04/23/2021 03:00:24,10.64,,
214,04/23/2021 03:05:24,10.55,,
215,04/23/2021 03:10:24,10.51,,
216,04/23/2021 03:15:24,10.34,,
217,04/23/2021 03:20:24,10.29,,
218,04/23/2021 03:25:24,10.16,,
219,04/23/2021 03:30:24,10.04,,
220,04/23/2021 03:35:24,9.95,,
221,04/23/2021 03:40:24,9.78,,
222,04/23/2021 03:45:24,9.69,,
223,04/23/2021 03:50:24,9.52,,
224,04/23/2021 03:55:24,9.39,,
225,04/23/2021 04:00:24,9.31,,
226,04/23/2021 04:05:24,9.26,,
227,04/23/2021 04:10:24,9.18,,
228,04/23/2021 04:15:24,9.18,,
229,04/23/2021 04:20:24,9.05,,
230,04/23/2021 04:25:24,9.05,,
231,04/23/2021 04:30:24,9.01,,
232,04/23/2021 04:35:24,8.83,,
233,04/23/2021 04:40:24,8.83,,
234,04/23/2021 04:45:24,8.75,,
235,04/23/2021 04:50:24,8.66,,
236,04/23/2021 04:55:24,8.62,,
237,04/23/2021 05:00:24,8.49,,
238,04/23/2021 05:05:24,8.41,,
239,04/23/2021 05:10:24,8.36,,
240,04/23/2021 05:15:24,8.36,,
241,04/23/2021 05:20:24,8.32,,
242,04/23/2021 05:25:24,8.28,,
243,04/23/2021 05:30:24,8.28,,
244,04/23/2021 05:35:24,8.32,,
245,04/23/2021 05:40:24,8.28,,
246,04/23/2021 05:45:24,8.19,,
247,04/23/2021 05:50:24,8.23,,
248,04/23/2021 05:55:24,8.23,,
249,04/23/2021 06:00:24,8.15,,
250,04/23/2021 06:05:24,8.15,,
251,04/23/2021 06:10:24,8.06,,
252,04/23/2021 06:15:24,7.93,,
253,04/23/2021 06:20:24,7.89,,
254,04/23/2021 06:25:24,7.76,,
255,04/23/2021 06:30:24,7.63,,
256,04/23/2021 06:35:24,7.59,,
257,04/23/2021 06:40:24,7.55,,
258,04/23/2021 06:45:24,7.55,,
259,04/23/2021 06:50:24,7.63,,
260,04/23/2021 06:55:24,7.81,,
261,04/23/2021 07:00:24,7.85,,
262,04/23/2021 07:05:24,8.11,,
263,04/23/2021 07:10:24,8.45,,
264,04/23/2021 07:15:24,8.96,,
265,04/23/2021 07:20:24,9.56,,
266,04/23/2021 07:25:24,10.21,,
267,04/23/2021 07:30:24,10.81,,
268,04/23/2021 07:35:24,11.24,,
269,04/23/2021 07:40:24,11.84,,
270,04/23/2021 07:45:24,12.31,,
271,04/23/2021 07:50:24,12.91,,
272,04/23/2021 07:55:24,13.43,,
273,04/23/2021 08:00:24,13.85,,
