#,Date-Time (PST),Ch: 1 - Temperature   (°C),Host Connected,End of File
1,04/22/2021 09:23:00,20.55,,
2,04/22/2021 09:28:00,20.85,,
3,04/22/2021 09:33:00,20.93,,
4,04/22/2021 09:38:00,20.68,,
5,04/22/2021 09:43:00,21.23,,
6,04/22/2021 09:48:00,21.75,,
7,04/22/2021 09:53:00,21.88,,
8,04/22/2021 09:58:00,21.79,,
9,04/22/2021 10:03:00,22.22,,
10,04/22/2021 10:08:00,22.95,,
11,04/22/2021 10:13:00,23.29,,
12,04/22/2021 10:18:00,24.24,,
13,04/22/2021 10:23:00,24.41,,
14,04/22/2021 10:28:00,24.97,,
15,04/22/2021 10:33:00,25.01,,
16,04/22/2021 10:38:00,25.22,,
17,04/22/2021 10:43:00,25.39,,
18,04/22/2021 10:48:00,25.87,,
19,04/22/2021 10:53:00,25.91,,
20,04/22/2021 10:58:00,26.68,,
21,04/22/2021 11:03:00,25.99,,
22,04/22/2021 11:08:00,26.98,,
23,04/22/2021 11:13:00,27.11,,
24,04/22/2021 11:18:00,27.50,,
25,04/22/2021 11:23:00,28.18,,
26,04/22/2021 11:28:00,28.31,,
27,04/22/2021 11:33:00,27.58,,
28,04/22/2021 11:38:00,28.14,,
29,04/22/2021 11:43:00,28.05,,
30,04/22/2021 11:48:00,27.54,,
31,04/22/2021 11:53:00,28.27,,
32,04/22/2021 11:58:00,27.28,,
33,04/22/2021 12:03:00,27.97,,
34,04/22/2021 12:08:00,28.05,,
35,04/22/2021 12:13:00,27.75,,
36,04/22/2021 12:18:00,28.27,,
37,04/22/2021 12:23:00,27.75,,
38,04/22/2021 12:28:00,28.05,,
39,04/22/2021 12:33:00,28.61,,
40,04/22/2021 12:38:00,28.27,,
41,04/22/2021 12:43:00,28.44,,
42,04/22/2021 12:48:00,28.65,,
43,04/22/2021 12:53:00,28.14,,
44,04/22/2021 12:58:00,27.88,,
45,04/22/2021 13:03:00,28.10,,
46,04/22/2021 13:08:00,27.93,,
47,04/22/2021 13:13:00,27.84,,
48,04/22/2021 13:18:00,27.67,,
49,04/22/2021 13:23:00,27.75,,
50,04/22/2021 13:28:00,27.67,,
51,04/22/2021 13:33:00,27.71,,
52,04/22/2021 13:38:00,27.45,,
53,04/22/2021 13:43:00,27.28,,
54,04/22/2021 13:48:00,27.28,,
55,04/22/2021 13:53:00,27.93,,
56,04/22/2021 13:58:00,28.10,,
57,04/22/2021 14:03:00,27.88,,
58,04/22/2021 14:08:00,27.84,,
59,04/22/2021 14:13:00,28.10,,
60,04/22/2021 14:18:00,28.01,,
61,04/22/2021 14:23:00,27.54,,
62,04/22/2021 14:28:00,27.67,,
63,04/22/2021 14:33:00,27.63,,
64,04/22/2021 14:38:00,27.58,,
65,04/22/2021 14:43:00,27.41,,
66,04/22/2021 14:48:00,27.28,,
