#,Date-Time (PDT),Ch: 1 - Temperature   (°C),Host Connected,Button Down,Button Up,Stopped,End of File
1,04/25/2023 07:56:10,20.03,,,,,
2,04/25/2023 08:01:10,23.21,,,,,
3,04/25/2023 08:06:10,21.53,,,,,
4,04/25/2023 08:11:10,21.10,,,,,
5,04/25/2023 08:16:10,21.19,,,,,
6,04/25/2023 08:21:10,21.02,,,,,
7,04/25/2023 08:26:10,20.76,,,,,
8,04/25/2023 08:31:10,20.63,,,,,
9,04/25/2023 08:36:10,20.63,,,,,
10,04/25/2023 08:41:10,21.15,,,,,
11,04/25/2023 08:46:10,21.23,,,,,
12,04/25/2023 08:51:10,21.23,,,,,
13,04/25/2023 08:56:10,21.10,,,,,
14,04/25/2023 09:01:10,21.70,,,,,
15,04/25/2023 09:06:10,22.61,,,,,
16,04/25/2023 09:11:10,22.26,,,,,
17,04/25/2023 09:16:10,22.13,,,,,
18,04/25/2023 09:21:10,22.48,,,,,
19,04/25/2023 09:26:10,22.65,,,,,
20,04/25/2023 09:31:10,23.46,,,,,
21,04/25/2023 09:36:10,23.64,,,,,
22,04/25/2023 09:41:10,23.55,,,,,
23,04/25/2023 09:46:10,23.51,,,,,
24,04/25/2023 09:51:10,23.51,,,,,
25,04/25/2023 09:56:10,23.89,,,,,
26,04/25/2023 10:01:10,24.28,,,,,
27,04/25/2023 10:06:10,24.19,,,,,
28,04/25/2023 10:11:10,24.15,,,,,
29,04/25/2023 10:16:10,24.58,,,,,
30,04/25/2023 10:21:10,24.24,,,,,
31,04/25/2023 10:26:10,24.45,,,,,
32,04/25/2023 10:31:10,24.88,,,,,
33,04/25/2023 10:36:10,25.18,,,,,
34,04/25/2023 10:41:10,25.14,,,,,
35,04/25/2023 10:46:10,25.48,,,,,
36,04/25/2023 10:51:10,25.87,,,,,
37,04/25/2023 10:56:10,25.87,,,,,
38,04/25/2023 11:01:10,25.91,,,,,
39,04/25/2023 11:06:10,26.12,,,,,
40,04/25/2023 11:11:10,26.17,,,,,
41,04/25/2023 11:16:10,26.72,,,,,
42,04/25/2023 11:21:10,26.68,,,,,
43,04/25/2023 11:26:10,26.81,,,,,
44,04/25/2023 11:31:10,27.20,,,,,
45,04/25/2023 11:36:10,27.67,,,,,
46,04/25/2023 11:41:10,27.32,,,,,
47,04/25/2023 11:46:10,27.97,,,,,
48,04/25/2023 11:51:10,27.84,,,,,
49,04/25/2023 11:56:10,27.45,,,,,
50,04/25/2023 12:01:10,28.14,,,,,
51,04/25/2023 12:06:10,27.93,,,,,
52,04/25/2023 12:11:10,28.40,,,,,
53,04/25/2023 12:16:10,28.27,,,,,
54,04/25/2023 12:21:10,27.88,,,,,
55,04/25/2023 12:26:10,27.97,,,,,
56,04/25/2023 12:31:10,28.31,,,,,
57,04/25/2023 12:36:10,28.53,,,,,
58,04/25/2023 12:41:10,28.95,,,,,
59,04/25/2023 12:46:10,29.04,,,,,
60,04/25/2023 12:51:10,28.65,,,,,
61,04/25/2023 12:56:10,28.70,,,,,
62,04/25/2023 13:01:10,29.00,,,,,
63,04/25/2023 13:06:10,29.04,,,,,
64,04/25/2023 13:11:10,29.43,,,,,
65,04/25/2023 13:16:10,29.47,,,,,
