#,Date-Time (PST),Ch: 1 - Temperature   (°C),Host Connected,End of File
1,06/04/2021 08:48:19,28.91,,
2,06/04/2021 08:53:19,27.50,,
3,06/04/2021 08:58:19,27.63,,
4,06/04/2021 09:03:19,28.18,,
5,06/04/2021 09:08:19,28.14,,
6,06/04/2021 09:13:19,28.14,,
7,06/04/2021 09:18:19,29.08,,
8,06/04/2021 09:23:19,29.26,,
9,06/04/2021 09:28:19,29.38,,
10,06/04/2021 09:33:19,29.81,,
11,06/04/2021 09:38:19,29.98,,
12,06/04/2021 09:43:19,30.50,,
13,06/04/2021 09:48:19,30.54,,
14,06/04/2021 09:53:19,31.31,,
15,06/04/2021 09:58:19,31.49,,
16,06/04/2021 10:03:19,31.61,,
17,06/04/2021 10:08:19,32.52,,
18,06/04/2021 10:13:19,33.12,,
19,06/04/2021 10:18:19,33.33,,
20,06/04/2021 10:23:19,32.94,,
21,06/04/2021 10:28:19,33.25,,
22,06/04/2021 10:33:19,33.67,,
23,06/04/2021 10:38:19,33.46,,
24,06/04/2021 10:43:19,33.46,,
25,06/04/2021 10:48:19,34.10,,
26,06/04/2021 10:53:19,35.05,,
27,06/04/2021 10:58:19,34.62,,
28,06/04/2021 11:03:19,34.40,,
29,06/04/2021 11:08:19,34.75,,
30,06/04/2021 11:13:19,34.66,,
31,06/04/2021 11:18:19,35.00,,
32,06/04/2021 11:23:19,35.00,,
33,06/04/2021 11:28:19,35.65,,
34,06/04/2021 11:33:19,35.35,,
35,06/04/2021 11:38:19,34.96,,
36,06/04/2021 11:43:19,35.69,,
37,06/04/2021 11:48:19,35.78,,
38,06/04/2021 11:53:19,35.90,,
39,06/04/2021 11:58:19,35.86,,
40,06/04/2021 12:03:19,35.90,,
41,06/04/2021 12:08:19,36.55,,
42,06/04/2021 12:13:19,36.29,,
43,06/04/2021 12:18:19,36.33,,
44,06/04/2021 12:23:19,36.21,,
45,06/04/2021 12:28:19,36.03,,
46,06/04/2021 12:33:19,36.59,,
47,06/04/2021 12:38:19,37.49,,
48,06/04/2021 12:43:19,37.62,,
49,06/04/2021 12:48:19,37.02,,
50,06/04/2021 12:53:19,37.15,,
51,06/04/2021 12:58:19,36.98,,
52,06/04/2021 13:03:19,37.54,,
53,06/04/2021 13:08:19,37.36,,
54,06/04/2021 13:13:19,37.06,,
55,06/04/2021 13:18:19,36.89,,
56,06/04/2021 13:23:19,37.41,,
57,06/04/2021 13:28:19,37.54,,
58,06/04/2021 13:33:19,37.06,,
59,06/04/2021 13:38:19,37.71,,
60,06/04/2021 13:43:19,39.08,,
61,06/04/2021 13:48:19,38.78,,
62,06/04/2021 13:53:19,38.56,,
63,06/04/2021 13:58:19,39.34,,
64,06/04/2021 14:03:19,38.99,,
65,06/04/2021 14:08:19,39.38,,
66,06/04/2021 14:13:19,39.51,,
67,06/04/2021 14:18:19,39.81,,
68,06/04/2021 14:23:19,39.81,,
69,06/04/2021 14:28:19,40.28,,
70,06/04/2021 14:33:19,40.19,,
71,06/04/2021 14:38:19,40.71,,
72,06/04/2021 14:43:19,40.67,,
73,06/04/2021 14:48:19,40.54,,
74,06/04/2021 14:53:19,40.45,,
75,06/04/2021 14:58:19,40.37,,
76,06/04/2021 15:03:19,40.58,,
77,06/04/2021 15:08:19,40.37,,
78,06/04/2021 15:13:19,40.45,,
79,06/04/2021 15:18:19,40.41,,
80,06/04/2021 15:23:19,39.94,,
81,06/04/2021 15:28:19,39.94,,
82,06/04/2021 15:33:19,40.37,,
83,06/04/2021 15:38:19,39.98,,
84,06/04/2021 15:43:19,39.47,,
85,06/04/2021 15:48:19,39.77,,
86,06/04/2021 15:53:19,39.72,,
87,06/04/2021 15:58:19,39.08,,
88,06/04/2021 16:03:19,39.25,,
89,06/04/2021 16:08:19,39.47,,
90,06/04/2021 16:13:19,39.12,,
91,06/04/2021 16:18:19,39.21,,
92,06/04/2021 16:23:19,38.78,,
93,06/04/2021 16:28:19,38.65,,
94,06/04/2021 16:33:19,38.44,,
95,06/04/2021 16:38:19,38.48,,
96,06/04/2021 16:43:19,38.56,,
97,06/04/2021 16:48:19,38.01,,
98,06/04/2021 16:53:19,38.35,,
99,06/04/2021 16:58:19,37.79,,
100,06/04/2021 17:03:19,37.75,,
101,06/04/2021 17:08:19,37.41,,
102,06/04/2021 17:13:19,37.15,,
103,06/04/2021 17:18:19,36.46,,
104,06/04/2021 17:23:19,36.38,,
105,06/04/2021 17:28:19,35.95,,
106,06/04/2021 17:33:19,36.42,,
107,06/04/2021 17:38:19,36.16,,
108,06/04/2021 17:43:19,36.21,,
109,06/04/2021 17:48:19,35.90,,
110,06/04/2021 17:53:19,35.86,,
111,06/04/2021 17:58:19,35.73,,
112,06/04/2021 18:03:19,35.56,,
113,06/04/2021 18:08:19,35.05,,
114,06/04/2021 18:13:19,34.83,,
115,06/04/2021 18:18:19,34.53,,
116,06/04/2021 18:23:19,34.36,,
117,06/04/2021 18:28:19,33.93,,
118,06/04/2021 18:33:19,33.46,,
119,06/04/2021 18:38:19,33.46,,
120,06/04/2021 18:43:19,33.20,,
121,06/04/2021 18:48:19,32.77,,
122,06/04/2021 18:53:19,32.26,,
123,06/04/2021 18:58:19,31.96,,
124,06/04/2021 19:03:19,31.66,,
125,06/04/2021 19:08:19,31.23,,
126,06/04/2021 19:13:19,30.76,,
127,06/04/2021 19:18:19,30.46,,
128,06/04/2021 19:23:19,30.07,,
129,06/04/2021 19:28:19,29.73,,
130,06/04/2021 19:33:19,29.34,,
131,06/04/2021 19:38:19,28.74,,
132,06/04/2021 19:43:19,28.40,,
133,06/04/2021 19:48:19,28.10,,
134,06/04/2021 19:53:19,27.80,,
135,06/04/2021 19:58:19,27.54,,
136,06/04/2021 20:03:19,27.02,,
137,06/04/2021 20:08:19,26.60,,
138,06/04/2021 20:13:19,25.82,,
139,06/04/2021 20:18:19,24.92,,
140,06/04/2021 20:23:19,24.36,,
141,06/04/2021 20:28:19,23.89,,
142,06/04/2021 20:33:19,23.51,,
