#,Date-Time (PDT),Ch:1 - Temperature   (°C),Ch:2 - RH   (%),Dew Point   (°C),Host Connected,End of File
1,03/29/2022 08:36:58,20.69,45.82,8.61,,
2,03/29/2022 08:37:14,,,,Logged,
3,03/29/2022 08:37:37,,,,Logged,
4,03/29/2022 08:37:44,,,,Logged,
5,03/29/2022 08:41:58,17.53,54.15,8.18,,
6,03/29/2022 08:46:58,14.25,64.24,7.61,,
7,03/29/2022 08:51:58,12.99,68.86,7.42,,
8,03/29/2022 08:56:58,12.46,71.45,7.45,,
9,03/29/2022 09:01:58,12.12,73.63,7.56,,
10,03/29/2022 09:06:58,12.13,77.02,8.23,,
11,03/29/2022 09:11:58,12.28,74.75,7.94,,
12,03/29/2022 09:16:58,12.43,75.01,8.14,,
13,03/29/2022 09:21:58,12.58,74.20,8.12,,
14,03/29/2022 09:26:58,12.76,73.63,8.18,,
15,03/29/2022 09:31:58,12.96,75.18,8.69,,
16,03/29/2022 09:36:58,13.12,74.32,8.67,,
17,03/29/2022 09:41:58,13.32,72.36,8.46,,
18,03/29/2022 09:46:58,13.62,73.43,8.97,,
19,03/29/2022 09:51:58,13.94,73.35,9.27,,
20,03/29/2022 09:56:58,14.24,72.29,9.34,,
21,03/29/2022 10:01:58,14.66,70.55,9.38,,
22,03/29/2022 10:06:58,15.13,71.36,10.00,,
23,03/29/2022 10:11:58,15.54,68.97,9.88,,
24,03/29/2022 10:16:58,15.87,67.89,9.97,,
25,03/29/2022 10:21:58,16.17,67.91,10.26,,
26,03/29/2022 10:26:58,16.49,65.99,10.14,,
27,03/29/2022 10:31:58,16.81,64.95,10.20,,
28,03/29/2022 10:36:58,17.00,63.95,10.14,,
29,03/29/2022 10:41:58,17.36,64.35,10.58,,
30,03/29/2022 10:46:58,17.52,63.23,10.47,,
31,03/29/2022 10:51:58,17.87,64.44,11.08,,
32,03/29/2022 10:56:58,18.17,61.10,10.57,,
33,03/29/2022 11:01:58,18.24,63.82,11.29,,
34,03/29/2022 11:06:58,18.38,63.81,11.42,,
35,03/29/2022 11:11:58,18.47,60.24,10.64,,
36,03/29/2022 11:16:58,18.80,59.24,10.70,,
37,03/29/2022 11:21:58,18.91,58.61,10.64,,
38,03/29/2022 11:26:58,18.92,59.26,10.81,,
39,03/29/2022 11:31:58,18.99,58.64,10.72,,
40,03/29/2022 11:36:58,18.70,59.17,10.59,,
41,03/29/2022 11:41:58,18.96,61.63,11.44,,
42,03/29/2022 11:46:58,19.24,57.05,10.54,,
43,03/29/2022 11:51:58,19.32,57.96,10.86,,
44,03/29/2022 11:56:58,19.48,58.46,11.14,,
45,03/29/2022 12:01:58,19.99,58.44,11.61,,
46,03/29/2022 12:06:58,20.09,54.44,10.63,,
47,03/29/2022 12:11:58,20.32,54.32,10.82,,
48,03/29/2022 12:16:58,20.34,54.85,10.98,,
49,03/29/2022 12:21:58,20.34,54.13,10.78,,
50,03/29/2022 12:26:58,20.20,55.51,11.03,,
51,03/29/2022 12:31:58,20.50,54.19,10.95,,
52,03/29/2022 12:36:58,20.83,53.45,11.04,,
53,03/29/2022 12:41:58,20.79,54.12,11.20,,
54,03/29/2022 12:46:58,20.75,56.51,11.81,,
55,03/29/2022 12:51:58,20.98,51.82,10.71,,
56,03/29/2022 12:56:58,21.42,51.56,11.04,,
57,03/29/2022 13:01:58,21.64,47.66,10.07,,
58,03/29/2022 13:06:58,21.79,48.30,10.41,,
59,03/29/2022 13:11:58,22.02,50.85,11.39,,
