#,Date-Time (PDT),Ch:1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,06/14/2022 09:01:20,25.22,,,,
2,06/14/2022 09:06:20,23.94,,,,
3,06/14/2022 09:11:20,23.55,,,,
4,06/14/2022 09:16:20,23.38,,,,
5,06/14/2022 09:21:20,23.29,,,,
6,06/14/2022 09:26:20,23.64,,,,
7,06/14/2022 09:31:20,23.68,,,,
8,06/14/2022 09:36:20,23.76,,,,
9,06/14/2022 09:41:20,23.89,,,,
10,06/14/2022 09:46:20,24.11,,,,
11,06/14/2022 09:51:20,24.15,,,,
12,06/14/2022 09:56:20,24.28,,,,
13,06/14/2022 10:01:20,24.58,,,,
14,06/14/2022 10:06:20,24.84,,,,
15,06/14/2022 10:11:20,24.97,,,,
16,06/14/2022 10:16:20,25.05,,,,
17,06/14/2022 10:21:20,25.14,,,,
18,06/14/2022 10:26:20,25.35,,,,
19,06/14/2022 10:31:20,25.48,,,,
20,06/14/2022 10:36:20,25.61,,,,
21,06/14/2022 10:41:20,25.69,,,,
22,06/14/2022 10:46:20,25.78,,,,
23,06/14/2022 10:51:20,25.82,,,,
24,06/14/2022 10:56:20,25.91,,,,
25,06/14/2022 11:01:20,26.12,,,,
26,06/14/2022 11:06:20,26.38,,,,
27,06/14/2022 11:11:20,26.47,,,,
28,06/14/2022 11:16:20,26.42,,,,
29,06/14/2022 11:21:20,26.47,,,,
30,06/14/2022 11:26:20,26.68,,,,
31,06/14/2022 11:31:20,26.85,,,,
32,06/14/2022 11:36:20,26.90,,,,
33,06/14/2022 11:41:20,27.07,,,,
34,06/14/2022 11:46:20,27.11,,,,
35,06/14/2022 11:51:20,27.37,,,,
36,06/14/2022 11:56:20,27.63,,,,
37,06/14/2022 12:01:20,27.54,,,,
38,06/14/2022 12:06:20,27.67,,,,
39,06/14/2022 12:11:20,27.71,,,,
40,06/14/2022 12:16:20,27.75,,,,
41,06/14/2022 12:21:20,27.75,,,,
42,06/14/2022 12:26:20,28.05,,,,
43,06/14/2022 12:31:20,28.57,,,,
44,06/14/2022 12:36:20,28.61,,,,
45,06/14/2022 12:41:20,28.74,,,,
46,06/14/2022 12:46:20,28.95,,,,
47,06/14/2022 12:51:20,28.95,,,,
48,06/14/2022 12:56:20,28.95,,,,
49,06/14/2022 13:01:20,29.08,,,,
50,06/14/2022 13:06:20,29.04,,,,
51,06/14/2022 13:11:20,29.08,,,,
52,06/14/2022 13:16:20,29.30,,,,
53,06/14/2022 13:21:20,29.38,,,,
54,06/14/2022 13:26:20,29.43,,,,
55,06/14/2022 13:31:20,29.73,,,,
56,06/14/2022 13:36:20,29.94,,,,
57,06/14/2022 13:41:20,30.24,,,,
58,06/14/2022 13:46:20,30.28,,,,
59,06/14/2022 13:51:20,30.41,,,,
60,06/14/2022 13:56:20,30.59,,,,
61,06/14/2022 14:01:20,30.84,,,,
62,06/14/2022 14:06:20,30.59,,,,
63,06/14/2022 14:11:20,30.59,,,,
