#,Date-Time (PST),Ch: 1 - Temperature   (°C),Button Down,Button Up,Host Connected,Stopped,End of File
1,06/14/2022 09:03:53,26.04,,,,,
2,06/14/2022 09:08:53,25.57,,,,,
3,06/14/2022 09:13:53,25.61,,,,,
4,06/14/2022 09:18:53,25.74,,,,,
5,06/14/2022 09:23:53,26.08,,,,,
6,06/14/2022 09:28:53,26.25,,,,,
7,06/14/2022 09:33:53,26.12,,,,,
8,06/14/2022 09:38:53,26.25,,,,,
9,06/14/2022 09:43:53,26.60,,,,,
10,06/14/2022 09:48:53,26.64,,,,,
11,06/14/2022 09:53:53,26.77,,,,,
12,06/14/2022 09:58:53,27.32,,,,,
13,06/14/2022 10:03:53,27.63,,,,,
14,06/14/2022 10:08:53,27.50,,,,,
15,06/14/2022 10:13:53,27.71,,,,,
16,06/14/2022 10:18:53,27.63,,,,,
17,06/14/2022 10:23:53,27.71,,,,,
18,06/14/2022 10:28:53,28.14,,,,,
19,06/14/2022 10:33:53,28.40,,,,,
20,06/14/2022 10:38:53,28.48,,,,,
21,06/14/2022 10:43:53,29.04,,,,,
22,06/14/2022 10:48:53,28.91,,,,,
23,06/14/2022 10:53:53,29.26,,,,,
24,06/14/2022 10:58:53,29.38,,,,,
25,06/14/2022 11:03:53,29.77,,,,,
26,06/14/2022 11:08:53,29.90,,,,,
27,06/14/2022 11:13:53,29.34,,,,,
28,06/14/2022 11:18:53,29.64,,,,,
29,06/14/2022 11:23:53,30.24,,,,,
30,06/14/2022 11:28:53,30.03,,,,,
31,06/14/2022 11:33:53,30.16,,,,,
32,06/14/2022 11:38:53,30.20,,,,,
33,06/14/2022 11:43:53,30.46,,,,,
34,06/14/2022 11:48:53,30.80,,,,,
35,06/14/2022 11:53:53,31.10,,,,,
36,06/14/2022 11:58:53,31.31,,,,,
37,06/14/2022 12:03:53,31.36,,,,,
38,06/14/2022 12:08:53,31.40,,,,,
39,06/14/2022 12:13:53,32.00,,,,,
40,06/14/2022 12:18:53,31.96,,,,,
41,06/14/2022 12:23:53,32.09,,,,,
42,06/14/2022 12:28:53,32.73,,,,,
43,06/14/2022 12:33:53,32.43,,,,,
44,06/14/2022 12:38:53,32.43,,,,,
