#,Date-Time (PDT),Ch:1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,06/21/2022 08:56:43,33.07,,,,
2,06/21/2022 09:01:43,32.13,,,,
3,06/21/2022 09:06:43,31.44,,,,
4,06/21/2022 09:11:43,31.36,,,,
5,06/21/2022 09:16:43,31.66,,,,
6,06/21/2022 09:21:43,32.22,,,,
7,06/21/2022 09:26:43,32.39,,,,
8,06/21/2022 09:31:43,32.69,,,,
9,06/21/2022 09:36:43,32.82,,,,
10,06/21/2022 09:41:43,32.90,,,,
11,06/21/2022 09:46:43,33.03,,,,
12,06/21/2022 09:51:43,33.20,,,,
13,06/21/2022 09:56:43,33.46,,,,
14,06/21/2022 10:01:43,33.63,,,,
15,06/21/2022 10:06:43,33.63,,,,
16,06/21/2022 10:11:43,33.80,,,,
17,06/21/2022 10:16:43,33.89,,,,
18,06/21/2022 10:21:43,33.93,,,,
19,06/21/2022 10:26:43,34.27,,,,
20,06/21/2022 10:31:43,34.70,,,,
21,06/21/2022 10:36:43,34.70,,,,
22,06/21/2022 10:41:43,34.92,,,,
23,06/21/2022 10:46:43,35.39,,,,
24,06/21/2022 10:51:43,35.52,,,,
25,06/21/2022 10:56:43,35.56,,,,
26,06/21/2022 11:01:43,35.73,,,,
27,06/21/2022 11:06:43,35.60,,,,
28,06/21/2022 11:11:43,35.82,,,,
29,06/21/2022 11:16:43,36.16,,,,
30,06/21/2022 11:21:43,36.98,,,,
31,06/21/2022 11:26:43,36.89,,,,
32,06/21/2022 11:31:43,37.15,,,,
33,06/21/2022 11:36:43,37.41,,,,
34,06/21/2022 11:41:43,37.66,,,,
35,06/21/2022 11:46:43,37.88,,,,
36,06/21/2022 11:51:43,37.88,,,,
37,06/21/2022 11:56:43,38.48,,,,
38,06/21/2022 12:01:43,38.48,,,,
39,06/21/2022 12:06:43,38.39,,,,
40,06/21/2022 12:11:43,38.69,,,,
41,06/21/2022 12:16:43,38.86,,,,
42,06/21/2022 12:21:43,39.21,,,,
43,06/21/2022 12:26:43,39.47,,,,
44,06/21/2022 12:31:43,39.47,,,,
45,06/21/2022 12:36:43,39.42,,,,
