#,Date-Time (PST),Ch: 1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,05/18/2022 09:49:34,30.97,,,,
2,05/18/2022 09:54:34,30.07,,,,
3,05/18/2022 09:59:34,29.47,,,,
4,05/18/2022 10:04:34,29.47,,,,
5,05/18/2022 10:09:34,29.51,,,,
6,05/18/2022 10:14:34,29.56,,,,
7,05/18/2022 10:19:34,30.07,,,,
8,05/18/2022 10:24:34,29.98,,,,
9,05/18/2022 10:29:34,30.20,,,,
10,05/18/2022 10:34:34,30.46,,,,
11,05/18/2022 10:39:34,30.46,,,,
12,05/18/2022 10:44:34,30.63,,,,
13,05/18/2022 10:49:34,30.80,,,,
14,05/18/2022 10:54:34,30.76,,,,
15,05/18/2022 10:59:34,31.19,,,,
16,05/18/2022 11:04:34,31.40,,,,
17,05/18/2022 11:09:34,31.83,,,,
18,05/18/2022 11:14:34,31.87,,,,
19,05/18/2022 11:19:34,31.61,,,,
20,05/18/2022 11:24:34,31.70,,,,
21,05/18/2022 11:29:34,32.17,,,,
22,05/18/2022 11:34:34,32.52,,,,
23,05/18/2022 11:39:34,32.73,,,,
24,05/18/2022 11:44:34,33.07,,,,
25,05/18/2022 11:49:34,33.37,,,,
26,05/18/2022 11:54:34,33.46,,,,
27,05/18/2022 11:59:34,33.97,,,,
28,05/18/2022 12:04:34,34.02,,,,
29,05/18/2022 12:09:34,34.57,,,,
30,05/18/2022 12:14:34,34.70,,,,
31,05/18/2022 12:19:34,34.79,,,,
32,05/18/2022 12:24:34,34.88,,,,
33,05/18/2022 12:29:34,34.92,,,,
34,05/18/2022 12:34:34,35.56,,,,
35,05/18/2022 12:39:34,35.60,,,,
36,05/18/2022 12:44:34,35.39,,,,
37,05/18/2022 12:49:34,36.12,,,,
38,05/18/2022 12:54:34,36.51,,,,
39,05/18/2022 12:59:34,36.42,,,,
40,05/18/2022 13:04:34,36.16,,,,
41,05/18/2022 13:09:34,37.11,,,,
42,05/18/2022 13:14:34,37.02,,,,
43,05/18/2022 13:19:34,37.28,,,,
44,05/18/2022 13:24:34,37.28,,,,
45,05/18/2022 13:29:34,37.02,,,,
46,05/18/2022 13:34:34,37.66,,,,
47,05/18/2022 13:39:34,37.71,,,,
48,05/18/2022 13:44:34,37.71,,,,
49,05/18/2022 13:49:34,37.84,,,,
50,05/18/2022 13:54:34,37.79,,,,
51,05/18/2022 13:59:34,37.84,,,,
52,05/18/2022 14:04:34,37.75,,,,
53,05/18/2022 14:09:34,37.96,,,,
54,05/18/2022 14:14:34,38.22,,,,
55,05/18/2022 14:19:34,38.01,,,,
56,05/18/2022 14:24:34,38.35,,,,
57,05/18/2022 14:29:34,38.22,,,,
58,05/18/2022 14:34:34,38.69,,,,
59,05/18/2022 14:39:34,38.74,,,,
60,05/18/2022 14:44:34,39.08,,,,
61,05/18/2022 14:49:34,38.78,,,,
62,05/18/2022 14:54:34,38.82,,,,
63,05/18/2022 14:59:34,38.78,,,,
64,05/18/2022 15:04:34,38.78,,,,
65,05/18/2022 15:09:34,38.86,,,,
66,05/18/2022 15:14:34,38.82,,,,
67,05/18/2022 15:19:34,38.82,,,,
68,05/18/2022 15:24:34,39.08,,,,
69,05/18/2022 15:29:34,38.95,,,,
70,05/18/2022 15:34:34,38.91,,,,
71,05/18/2022 15:39:34,38.86,,,,
72,05/18/2022 15:44:34,39.08,,,,
73,05/18/2022 15:49:34,39.17,,,,
74,05/18/2022 15:54:34,39.25,,,,
75,05/18/2022 15:59:34,39.38,,,,
76,05/18/2022 16:04:34,39.29,,,,
77,05/18/2022 16:09:34,39.38,,,,
78,05/18/2022 16:14:34,39.55,,,,
79,05/18/2022 16:19:34,39.55,,,,
80,05/18/2022 16:24:34,39.51,,,,
81,05/18/2022 16:29:34,39.55,,,,
82,05/18/2022 16:34:34,39.51,,,,
83,05/18/2022 16:39:34,39.55,,,,
84,05/18/2022 16:44:34,39.29,,,,
85,05/18/2022 16:49:34,39.34,,,,
86,05/18/2022 16:54:34,38.99,,,,
87,05/18/2022 16:59:34,38.86,,,,
88,05/18/2022 17:04:34,39.08,,,,
89,05/18/2022 17:09:34,38.61,,,,
90,05/18/2022 17:14:34,39.08,,,,
91,05/18/2022 17:19:34,39.08,,,,
92,05/18/2022 17:24:34,38.91,,,,
93,05/18/2022 17:29:34,38.69,,,,
94,05/18/2022 17:34:34,38.56,,,,
95,05/18/2022 17:39:34,38.35,,,,
96,05/18/2022 17:44:34,38.18,,,,
97,05/18/2022 17:49:34,38.14,,,,
98,05/18/2022 17:54:34,37.96,,,,
99,05/18/2022 17:59:34,38.09,,,,
100,05/18/2022 18:04:34,38.05,,,,
101,05/18/2022 18:09:34,37.84,,,,
102,05/18/2022 18:14:34,37.92,,,,
103,05/18/2022 18:19:34,37.84,,,,
104,05/18/2022 18:24:34,37.28,,,,
105,05/18/2022 18:29:34,37.23,,,,
106,05/18/2022 18:34:34,36.98,,,,
107,05/18/2022 18:39:34,36.59,,,,
108,05/18/2022 18:44:34,36.29,,,,
109,05/18/2022 18:49:34,36.25,,,,
110,05/18/2022 18:54:34,36.03,,,,
111,05/18/2022 18:59:34,35.43,,,,
112,05/18/2022 19:04:34,34.92,,,,
113,05/18/2022 19:09:34,34.15,,,,
114,05/18/2022 19:14:34,33.80,,,,
115,05/18/2022 19:19:34,33.50,,,,
116,05/18/2022 19:24:34,33.12,,,,
117,05/18/2022 19:29:34,32.77,,,,
118,05/18/2022 19:34:34,32.60,,,,
119,05/18/2022 19:39:34,32.47,,,,
120,05/18/2022 19:44:34,32.09,,,,
121,05/18/2022 19:49:34,31.74,,,,
122,05/18/2022 19:54:34,31.53,,,,
123,05/18/2022 19:59:34,31.31,,,,
124,05/18/2022 20:04:34,31.19,,,,
125,05/18/2022 20:09:34,30.80,,,,
126,05/18/2022 20:14:34,30.46,,,,
127,05/18/2022 20:19:34,30.11,,,,
128,05/18/2022 20:24:34,29.81,,,,
129,05/18/2022 20:29:34,29.56,,,,
130,05/18/2022 20:34:34,29.51,,,,
131,05/18/2022 20:39:34,29.30,,,,
132,05/18/2022 20:44:34,28.87,,,,
133,05/18/2022 20:49:34,28.31,,,,
134,05/18/2022 20:54:34,27.67,,,,
135,05/18/2022 20:59:34,27.15,,,,
136,05/18/2022 21:04:34,26.60,,,,
137,05/18/2022 21:09:34,26.34,,,,
138,05/18/2022 21:14:34,26.51,,,,
139,05/18/2022 21:19:34,27.24,,,,
140,05/18/2022 21:24:34,27.15,,,,
141,05/18/2022 21:29:34,26.81,,,,
142,05/18/2022 21:34:34,27.11,,,,
143,05/18/2022 21:39:34,26.72,,,,
144,05/18/2022 21:44:34,26.85,,,,
145,05/18/2022 21:49:34,26.72,,,,
146,05/18/2022 21:54:34,26.60,,,,
147,05/18/2022 21:59:34,26.90,,,,
148,05/18/2022 22:04:34,27.24,,,,
149,05/18/2022 22:09:34,27.45,,,,
150,05/18/2022 22:14:34,27.28,,,,
151,05/18/2022 22:19:34,26.47,,,,
152,05/18/2022 22:24:34,25.99,,,,
153,05/18/2022 22:29:34,25.61,,,,
154,05/18/2022 22:34:34,25.18,,,,
155,05/18/2022 22:39:34,24.75,,,,
156,05/18/2022 22:44:34,24.45,,,,
157,05/18/2022 22:49:34,24.19,,,,
158,05/18/2022 22:54:34,23.89,,,,
159,05/18/2022 22:59:34,23.68,,,,
160,05/18/2022 23:04:34,23.42,,,,
