#,Date-Time (PDT),Ch:1 - Temperature   (°C),Button Down,Button Up,Host Connected,Stopped,End of File
1,06/01/2023 11:35:28,26.25,,,,,
2,06/01/2023 11:40:28,29.34,,,,,
3,06/01/2023 11:45:28,30.59,,,,,
4,06/01/2023 11:50:28,30.93,,,,,
5,06/01/2023 11:55:28,30.71,,,,,
6,06/01/2023 12:00:28,30.37,,,,,
7,06/01/2023 12:05:28,30.03,,,,,
8,06/01/2023 12:10:28,30.28,,,,,
9,06/01/2023 12:15:28,30.07,,,,,
10,06/01/2023 12:20:28,29.90,,,,,
11,06/01/2023 12:25:28,29.43,,,,,
12,06/01/2023 12:30:28,30.80,,,,,
13,06/01/2023 12:35:28,30.20,,,,,
14,06/01/2023 12:40:28,30.54,,,,,
15,06/01/2023 12:45:28,30.59,,,,,
16,06/01/2023 12:50:28,31.36,,,,,
17,06/01/2023 12:55:28,30.93,,,,,
18,06/01/2023 13:00:28,30.84,,,,,
19,06/01/2023 13:05:28,30.59,,,,,
20,06/01/2023 13:10:28,30.41,,,,,
21,06/01/2023 13:15:28,30.63,,,,,
22,06/01/2023 13:20:28,31.01,,,,,
23,06/01/2023 13:25:28,30.80,,,,,
24,06/01/2023 13:30:28,31.31,,,,,
25,06/01/2023 13:35:28,31.57,,,,,
26,06/01/2023 13:40:28,32.13,,,,,
27,06/01/2023 13:45:28,32.64,,,,,
28,06/01/2023 13:50:28,32.09,,,,,
29,06/01/2023 13:55:28,33.07,,,,,
30,06/01/2023 14:00:28,32.94,,,,,
31,06/01/2023 14:05:28,33.29,,,,,
32,06/01/2023 14:10:28,32.77,,,,,
33,06/01/2023 14:15:28,33.37,,,,,
34,06/01/2023 14:20:28,32.77,,,,,
35,06/01/2023 14:25:28,32.82,,,,,
36,06/01/2023 14:30:28,32.94,,,,,
37,06/01/2023 14:35:28,33.12,,,,,
38,06/01/2023 14:40:28,32.73,,,,,
39,06/01/2023 14:45:28,32.77,,,,,
40,06/01/2023 14:50:28,32.99,,,,,
41,06/01/2023 14:55:28,32.90,,,,,
42,06/01/2023 15:00:28,32.90,,,,,
43,06/01/2023 15:05:28,33.20,,,,,
44,06/01/2023 15:10:28,34.19,,,,,
45,06/01/2023 15:15:28,33.76,,,,,
46,06/01/2023 15:20:28,34.06,,,,,
47,06/01/2023 15:25:28,33.93,,,,,
48,06/01/2023 15:30:28,32.99,,,,,
49,06/01/2023 15:35:28,33.03,,,,,
50,06/01/2023 15:40:28,32.69,,,,,
51,06/01/2023 15:45:28,32.73,,,,,
52,06/01/2023 15:50:28,33.20,,,,,
53,06/01/2023 15:55:28,32.90,,,,,
54,06/01/2023 16:00:28,32.52,,,,,
55,06/01/2023 16:05:28,32.69,,,,,
56,06/01/2023 16:10:28,32.39,,,,,
57,06/01/2023 16:15:28,32.04,,,,,
58,06/01/2023 16:20:28,32.17,,,,,
59,06/01/2023 16:25:28,32.13,,,,,
60,06/01/2023 16:30:28,32.26,,,,,
61,06/01/2023 16:35:28,32.30,,,,,
62,06/01/2023 16:40:28,31.66,,,,,
63,06/01/2023 16:45:28,31.57,,,,,
64,06/01/2023 16:50:28,31.79,,,,,
65,06/01/2023 16:55:28,31.83,,,,,
66,06/01/2023 17:00:28,31.79,,,,,
67,06/01/2023 17:05:28,31.79,,,,,
68,06/01/2023 17:10:28,31.70,,,,,
69,06/01/2023 17:15:28,31.74,,,,,
70,06/01/2023 17:20:28,31.70,,,,,
71,06/01/2023 17:25:28,31.74,,,,,
72,06/01/2023 17:30:28,31.14,,,,,
73,06/01/2023 17:35:28,31.27,,,,,
74,06/01/2023 17:40:28,31.10,,,,,
75,06/01/2023 17:45:28,30.59,,,,,
76,06/01/2023 17:50:28,30.20,,,,,
77,06/01/2023 17:55:28,29.77,,,,,
78,06/01/2023 18:00:28,29.77,,,,,
79,06/01/2023 18:05:28,29.30,,,,,
80,06/01/2023 18:10:28,29.17,,,,,
81,06/01/2023 18:15:28,28.70,,,,,
82,06/01/2023 18:20:28,28.44,,,,,
83,06/01/2023 18:25:28,28.23,,,,,
84,06/01/2023 18:30:28,27.67,,,,,
85,06/01/2023 18:35:28,27.32,,,,,
86,06/01/2023 18:40:28,26.94,,,,,
87,06/01/2023 18:45:28,26.68,,,,,
88,06/01/2023 18:50:28,26.47,,,,,
89,06/01/2023 18:55:28,26.21,,,,,
90,06/01/2023 19:00:28,25.99,,,,,
91,06/01/2023 19:05:28,25.69,,,,,
92,06/01/2023 19:10:28,25.44,,,,,
93,06/01/2023 19:15:28,25.27,,,,,
94,06/01/2023 19:20:28,25.09,,,,,
