#,Date-Time (PST),Ch: 1 - Temperature   (°C),Host Connected,Stopped,End of File
1,06/03/2021 11:34:57,32.34,,,
2,06/03/2021 11:35:41,,Logged,,
3,06/03/2021 11:39:57,31.66,,,
4,06/03/2021 11:44:57,30.97,,,
5,06/03/2021 11:49:57,30.28,,,
6,06/03/2021 11:54:57,30.03,,,
7,06/03/2021 11:59:57,30.07,,,
8,06/03/2021 12:04:57,30.16,,,
9,06/03/2021 12:09:57,30.24,,,
10,06/03/2021 12:14:57,30.37,,,
11,06/03/2021 12:19:57,30.50,,,
12,06/03/2021 12:24:57,30.67,,,
13,06/03/2021 12:29:57,30.89,,,
14,06/03/2021 12:34:57,31.06,,,
15,06/03/2021 12:39:57,31.27,,,
16,06/03/2021 12:44:57,31.31,,,
17,06/03/2021 12:49:57,31.53,,,
18,06/03/2021 12:54:57,31.61,,,
19,06/03/2021 12:59:57,31.74,,,
20,06/03/2021 13:04:57,32.04,,,
21,06/03/2021 13:09:57,32.30,,,
22,06/03/2021 13:14:57,32.47,,,
23,06/03/2021 13:19:57,32.60,,,
24,06/03/2021 13:24:57,32.90,,,
25,06/03/2021 13:29:57,33.16,,,
26,06/03/2021 13:34:57,33.37,,,
27,06/03/2021 13:39:57,33.63,,,
28,06/03/2021 13:44:57,33.76,,,
29,06/03/2021 13:49:57,33.80,,,
30,06/03/2021 13:54:57,33.97,,,
31,06/03/2021 13:59:57,34.06,,,
32,06/03/2021 14:04:57,34.19,,,
33,06/03/2021 14:09:57,34.27,,,
34,06/03/2021 14:14:57,34.40,,,
35,06/03/2021 14:19:57,34.57,,,
36,06/03/2021 14:24:57,34.70,,,
37,06/03/2021 14:29:57,34.79,,,
38,06/03/2021 14:34:57,34.88,,,
39,06/03/2021 14:39:57,35.05,,,
40,06/03/2021 14:44:57,35.09,,,
41,06/03/2021 14:49:57,35.30,,,
42,06/03/2021 14:54:57,35.39,,,
43,06/03/2021 14:59:57,35.52,,,
44,06/03/2021 15:04:57,35.48,,,
45,06/03/2021 15:09:57,35.65,,,
46,06/03/2021 15:14:57,35.65,,,
47,06/03/2021 15:19:57,35.60,,,
48,06/03/2021 15:24:57,35.69,,,
49,06/03/2021 15:29:57,35.73,,,
50,06/03/2021 15:34:57,35.82,,,
51,06/03/2021 15:39:57,35.95,,,
52,06/03/2021 15:44:57,36.12,,,
53,06/03/2021 15:49:57,36.16,,,
54,06/03/2021 15:54:57,36.33,,,
55,06/03/2021 15:59:57,36.33,,,
56,06/03/2021 16:04:57,36.51,,,
57,06/03/2021 16:09:57,36.59,,,
58,06/03/2021 16:14:57,36.63,,,
59,06/03/2021 16:19:57,36.63,,,
60,06/03/2021 16:24:57,36.72,,,
61,06/03/2021 16:29:57,36.85,,,
62,06/03/2021 16:34:57,36.89,,,
63,06/03/2021 16:39:57,37.02,,,
64,06/03/2021 16:44:57,37.02,,,
65,06/03/2021 16:49:57,37.19,,,
66,06/03/2021 16:54:57,37.19,,,
67,06/03/2021 16:59:57,37.11,,,
68,06/03/2021 17:04:57,37.11,,,
69,06/03/2021 17:09:57,37.02,,,
70,06/03/2021 17:14:57,37.11,,,
