#,Date-Time (PST),Ch: 1 - Temperature   (°C),Host Connected,End of File
1,05/27/2021 10:05:52,29.00,,
2,05/27/2021 10:10:52,28.01,,
3,05/27/2021 10:15:52,27.50,,
4,05/27/2021 10:20:52,27.28,,
5,05/27/2021 10:25:52,27.07,,
6,05/27/2021 10:30:52,26.98,,
7,05/27/2021 10:35:52,26.64,,
8,05/27/2021 10:40:52,26.64,,
9,05/27/2021 10:45:52,26.72,,
10,05/27/2021 10:50:52,26.81,,
11,05/27/2021 10:55:52,27.02,,
12,05/27/2021 11:00:52,27.07,,
13,05/27/2021 11:05:52,27.24,,
14,05/27/2021 11:10:52,27.37,,
15,05/27/2021 11:15:52,27.63,,
16,05/27/2021 11:20:52,27.88,,
17,05/27/2021 11:25:52,28.10,,
18,05/27/2021 11:30:52,28.35,,
19,05/27/2021 11:35:52,28.40,,
20,05/27/2021 11:40:52,28.61,,
21,05/27/2021 11:45:52,28.78,,
22,05/27/2021 11:50:52,28.95,,
23,05/27/2021 11:55:52,29.17,,
24,05/27/2021 12:00:52,29.38,,
25,05/27/2021 12:05:52,29.60,,
26,05/27/2021 12:10:52,29.81,,
27,05/27/2021 12:15:52,29.90,,
28,05/27/2021 12:20:52,30.07,,
29,05/27/2021 12:25:52,30.24,,
30,05/27/2021 12:30:52,30.33,,
31,05/27/2021 12:35:52,30.63,,
32,05/27/2021 12:40:52,30.93,,
33,05/27/2021 12:45:52,31.19,,
34,05/27/2021 12:50:52,31.40,,
35,05/27/2021 12:55:52,31.53,,
36,05/27/2021 13:00:52,31.61,,
37,05/27/2021 13:05:52,31.74,,
38,05/27/2021 13:10:52,32.00,,
39,05/27/2021 13:15:52,32.22,,
40,05/27/2021 13:20:52,32.43,,
41,05/27/2021 13:25:52,32.56,,
42,05/27/2021 13:30:52,32.69,,
43,05/27/2021 13:35:52,32.99,,
44,05/27/2021 13:40:52,33.20,,
45,05/27/2021 13:45:52,33.37,,
46,05/27/2021 13:50:52,33.67,,
47,05/27/2021 13:55:52,34.02,,
48,05/27/2021 14:00:52,33.97,,
49,05/27/2021 14:05:52,34.23,,
50,05/27/2021 14:10:52,34.36,,
51,05/27/2021 14:15:52,34.32,,
52,05/27/2021 14:20:52,34.36,,
53,05/27/2021 14:25:52,34.83,,
54,05/27/2021 14:30:52,35.39,,
55,05/27/2021 14:35:52,36.16,,
56,05/27/2021 14:40:52,36.63,,
57,05/27/2021 14:45:52,37.23,,
58,05/27/2021 14:50:52,37.54,,
59,05/27/2021 14:55:52,38.14,,
60,05/27/2021 15:00:52,38.39,,
61,05/27/2021 15:05:52,38.86,,
62,05/27/2021 15:10:52,39.21,,
63,05/27/2021 15:15:52,39.38,,
64,05/27/2021 15:20:52,39.68,,
65,05/27/2021 15:25:52,39.81,,
66,05/27/2021 15:30:52,40.11,,
67,05/27/2021 15:35:52,40.28,,
68,05/27/2021 15:40:52,40.41,,
69,05/27/2021 15:45:52,40.37,,
70,05/27/2021 15:50:52,40.75,,
71,05/27/2021 15:55:52,41.05,,
72,05/27/2021 16:00:52,41.10,,
73,05/27/2021 16:05:52,41.01,,
74,05/27/2021 16:10:52,40.62,,
75,05/27/2021 16:15:52,39.77,,
76,05/27/2021 16:20:52,39.12,,
77,05/27/2021 16:25:52,38.74,,
78,05/27/2021 16:30:52,38.39,,
79,05/27/2021 16:35:52,38.05,,
80,05/27/2021 16:40:52,37.75,,
81,05/27/2021 16:45:52,37.66,,
82,05/27/2021 16:50:52,37.79,,
83,05/27/2021 16:55:52,38.01,,
84,05/27/2021 17:00:52,38.18,,
85,05/27/2021 17:05:52,38.18,,
86,05/27/2021 17:10:52,38.05,,
87,05/27/2021 17:15:52,37.79,,
88,05/27/2021 17:20:52,37.71,,
89,05/27/2021 17:25:52,37.66,,
90,05/27/2021 17:30:52,37.41,,
91,05/27/2021 17:35:52,37.54,,
92,05/27/2021 17:40:52,37.79,,
93,05/27/2021 17:45:52,38.26,,
94,05/27/2021 17:50:52,38.69,,
95,05/27/2021 17:55:52,38.86,,
96,05/27/2021 18:00:52,38.91,,
97,05/27/2021 18:05:52,39.04,,
98,05/27/2021 18:10:52,39.12,,
99,05/27/2021 18:15:52,39.17,,
100,05/27/2021 18:20:52,39.08,,
101,05/27/2021 18:25:52,39.04,,
102,05/27/2021 18:30:52,38.65,,
103,05/27/2021 18:35:52,38.14,,
104,05/27/2021 18:40:52,37.45,,
105,05/27/2021 18:45:52,36.68,,
106,05/27/2021 18:50:52,35.82,,
107,05/27/2021 18:55:52,35.00,,
108,05/27/2021 19:00:52,34.27,,
109,05/27/2021 19:05:52,33.42,,
110,05/27/2021 19:10:52,32.86,,
111,05/27/2021 19:15:52,32.34,,
112,05/27/2021 19:20:52,31.92,,
113,05/27/2021 19:25:52,31.49,,
114,05/27/2021 19:30:52,31.01,,
115,05/27/2021 19:35:52,30.63,,
116,05/27/2021 19:40:52,30.28,,
117,05/27/2021 19:45:52,29.98,,
118,05/27/2021 19:50:52,29.64,,
119,05/27/2021 19:55:52,29.34,,
120,05/27/2021 20:00:52,29.00,,
121,05/27/2021 20:05:52,28.61,,
122,05/27/2021 20:10:52,28.27,,
123,05/27/2021 20:15:52,27.97,,
124,05/27/2021 20:20:52,27.71,,
125,05/27/2021 20:25:52,27.41,,
126,05/27/2021 20:30:52,27.15,,
127,05/27/2021 20:35:52,26.90,,
128,05/27/2021 20:40:52,26.64,,
129,05/27/2021 20:45:52,26.42,,
130,05/27/2021 20:50:52,26.21,,
131,05/27/2021 20:55:52,25.99,,
132,05/27/2021 21:00:52,25.74,,
133,05/27/2021 21:05:52,25.48,,
134,05/27/2021 21:10:52,25.22,,
135,05/27/2021 21:15:52,25.05,,
136,05/27/2021 21:20:52,24.88,,
137,05/27/2021 21:25:52,24.62,,
138,05/27/2021 21:30:52,24.36,,
139,05/27/2021 21:35:52,24.15,,
140,05/27/2021 21:40:52,23.89,,
141,05/27/2021 21:45:52,23.59,,
142,05/27/2021 21:50:52,23.42,,
143,05/27/2021 21:55:52,23.21,,
144,05/27/2021 22:00:52,22.95,,
145,05/27/2021 22:05:52,22.73,,
146,05/27/2021 22:10:52,22.65,,
147,05/27/2021 22:15:52,22.43,,
148,05/27/2021 22:20:52,22.26,,
149,05/27/2021 22:25:52,22.22,,
150,05/27/2021 22:30:52,22.05,,
151,05/27/2021 22:35:52,21.83,,
152,05/27/2021 22:40:52,21.75,,
153,05/27/2021 22:45:52,21.53,,
154,05/27/2021 22:50:52,21.49,,
155,05/27/2021 22:55:52,21.36,,
156,05/27/2021 23:00:52,21.23,,
157,05/27/2021 23:05:52,21.10,,
158,05/27/2021 23:10:52,20.98,,
159,05/27/2021 23:15:52,20.85,,
160,05/27/2021 23:20:52,20.76,,
161,05/27/2021 23:25:52,20.68,,
162,05/27/2021 23:30:52,20.55,,
