#,Date-Time (PST),Ch: 1 - Temperature   (°C),Host Connected,End of File
1,04/29/2021 09:00:07,22.13,,
2,04/29/2021 09:05:07,21.88,,
3,04/29/2021 09:10:07,21.75,,
4,04/29/2021 09:15:07,21.79,,
5,04/29/2021 09:20:07,21.79,,
6,04/29/2021 09:25:07,22.01,,
7,04/29/2021 09:30:07,22.13,,
8,04/29/2021 09:35:07,22.26,,
9,04/29/2021 09:40:07,22.31,,
10,04/29/2021 09:45:07,22.48,,
11,04/29/2021 09:50:07,22.56,,
12,04/29/2021 09:55:07,22.82,,
13,04/29/2021 10:00:07,23.08,,
14,04/29/2021 10:05:07,23.42,,
15,04/29/2021 10:10:07,23.81,,
16,04/29/2021 10:15:07,24.24,,
17,04/29/2021 10:20:07,24.71,,
18,04/29/2021 10:25:07,25.01,,
19,04/29/2021 10:30:07,25.27,,
20,04/29/2021 10:35:07,25.57,,
21,04/29/2021 10:40:07,25.87,,
22,04/29/2021 10:45:07,25.95,,
23,04/29/2021 10:50:07,26.04,,
24,04/29/2021 10:55:07,26.17,,
25,04/29/2021 11:00:07,26.30,,
26,04/29/2021 11:05:07,26.21,,
27,04/29/2021 11:10:07,26.34,,
28,04/29/2021 11:15:07,26.38,,
29,04/29/2021 11:20:07,26.47,,
30,04/29/2021 11:25:07,26.60,,
31,04/29/2021 11:30:07,26.72,,
32,04/29/2021 11:35:07,26.94,,
33,04/29/2021 11:40:07,27.02,,
34,04/29/2021 11:45:07,27.15,,
35,04/29/2021 11:50:07,27.15,,
36,04/29/2021 11:55:07,27.32,,
37,04/29/2021 12:00:07,27.41,,
38,04/29/2021 12:05:07,27.63,,
39,04/29/2021 12:10:07,27.97,,
40,04/29/2021 12:15:07,28.27,,
41,04/29/2021 12:20:07,28.48,,
42,04/29/2021 12:25:07,28.53,,
43,04/29/2021 12:30:07,28.57,,
44,04/29/2021 12:35:07,28.65,,
45,04/29/2021 12:40:07,28.74,,
46,04/29/2021 12:45:07,29.00,,
47,04/29/2021 12:50:07,28.95,,
48,04/29/2021 12:55:07,29.26,,
49,04/29/2021 13:00:07,29.26,,
50,04/29/2021 13:05:07,29.51,,
51,04/29/2021 13:10:07,29.73,,
52,04/29/2021 13:15:07,29.81,,
53,04/29/2021 13:20:07,29.81,,
54,04/29/2021 13:25:07,30.07,,
55,04/29/2021 13:30:07,30.37,,
56,04/29/2021 13:35:07,30.33,,
57,04/29/2021 13:40:07,30.33,,
58,04/29/2021 13:45:07,30.33,,
59,04/29/2021 13:50:07,30.24,,
60,04/29/2021 13:55:07,30.41,,
61,04/29/2021 14:00:07,30.71,,
62,04/29/2021 14:05:07,30.76,,
63,04/29/2021 14:10:07,30.71,,
64,04/29/2021 14:15:07,30.97,,
65,04/29/2021 14:20:07,31.10,,
66,04/29/2021 14:25:07,31.01,,
67,04/29/2021 14:30:07,31.27,,
68,04/29/2021 14:35:07,31.49,,
69,04/29/2021 14:40:07,31.66,,
70,04/29/2021 14:45:07,31.74,,
71,04/29/2021 14:50:07,31.96,,
72,04/29/2021 14:55:07,32.17,,
73,04/29/2021 15:00:07,32.17,,
74,04/29/2021 15:05:07,32.30,,
75,04/29/2021 15:10:07,32.56,,
76,04/29/2021 15:15:07,32.73,,
77,04/29/2021 15:20:07,32.60,,
78,04/29/2021 15:25:07,32.30,,
79,04/29/2021 15:30:07,32.17,,
80,04/29/2021 15:35:07,32.00,,
81,04/29/2021 15:40:07,32.26,,
82,04/29/2021 15:45:07,32.30,,
83,04/29/2021 15:50:07,32.13,,
84,04/29/2021 15:55:07,32.04,,
85,04/29/2021 16:00:07,32.04,,
86,04/29/2021 16:05:07,32.39,,
87,04/29/2021 16:10:07,32.60,,
88,04/29/2021 16:15:07,32.69,,
89,04/29/2021 16:20:07,32.69,,
90,04/29/2021 16:25:07,32.77,,
91,04/29/2021 16:30:07,32.77,,
92,04/29/2021 16:35:07,32.90,,
93,04/29/2021 16:40:07,32.99,,
94,04/29/2021 16:45:07,33.20,,
95,04/29/2021 16:50:07,33.12,,
96,04/29/2021 16:55:07,33.07,,
97,04/29/2021 17:00:07,33.03,,
98,04/29/2021 17:05:07,33.16,,
99,04/29/2021 17:10:07,33.20,,
100,04/29/2021 17:15:07,33.07,,
101,04/29/2021 17:20:07,33.12,,
102,04/29/2021 17:25:07,33.20,,
103,04/29/2021 17:30:07,33.07,,
104,04/29/2021 17:35:07,33.16,,
105,04/29/2021 17:40:07,33.07,,
106,04/29/2021 17:45:07,33.07,,
107,04/29/2021 17:50:07,32.94,,
108,04/29/2021 17:55:07,32.82,,
109,04/29/2021 18:00:07,32.64,,
110,04/29/2021 18:05:07,32.47,,
111,04/29/2021 18:10:07,32.30,,
112,04/29/2021 18:15:07,32.17,,
113,04/29/2021 18:20:07,32.09,,
114,04/29/2021 18:25:07,31.87,,
115,04/29/2021 18:30:07,31.53,,
116,04/29/2021 18:35:07,31.23,,
117,04/29/2021 18:40:07,31.01,,
118,04/29/2021 18:45:07,30.76,,
119,04/29/2021 18:50:07,30.54,,
120,04/29/2021 18:55:07,30.37,,
121,04/29/2021 19:00:07,29.98,,
122,04/29/2021 19:05:07,29.64,,
123,04/29/2021 19:10:07,29.30,,
124,04/29/2021 19:15:07,29.00,,
125,04/29/2021 19:20:07,28.65,,
126,04/29/2021 19:25:07,28.44,,
127,04/29/2021 19:30:07,28.23,,
128,04/29/2021 19:35:07,28.01,,
129,04/29/2021 19:40:07,27.75,,
130,04/29/2021 19:45:07,27.45,,
131,04/29/2021 19:50:07,27.15,,
132,04/29/2021 19:55:07,26.81,,
133,04/29/2021 20:00:07,26.47,,
134,04/29/2021 20:05:07,26.21,,
135,04/29/2021 20:10:07,25.82,,
136,04/29/2021 20:15:07,25.44,,
137,04/29/2021 20:20:07,25.01,,
138,04/29/2021 20:25:07,24.71,,
139,04/29/2021 20:30:07,24.32,,
140,04/29/2021 20:35:07,23.81,,
141,04/29/2021 20:40:07,23.38,,
142,04/29/2021 20:45:07,22.95,,
143,04/29/2021 20:50:07,22.69,,
144,04/29/2021 20:55:07,22.35,,
145,04/29/2021 21:00:07,22.13,,
146,04/29/2021 21:05:07,21.88,,
147,04/29/2021 21:10:07,21.53,,
148,04/29/2021 21:15:07,21.28,,
149,04/29/2021 21:20:07,20.98,,
150,04/29/2021 21:25:07,20.80,,
151,04/29/2021 21:30:07,20.63,,
152,04/29/2021 21:35:07,20.46,,
153,04/29/2021 21:40:07,20.29,,
154,04/29/2021 21:45:07,20.07,,
155,04/29/2021 21:50:07,19.95,,
156,04/29/2021 21:55:07,19.90,,
157,04/29/2021 22:00:07,19.82,,
158,04/29/2021 22:05:07,19.69,,
159,04/29/2021 22:10:07,19.52,,
160,04/29/2021 22:15:07,19.43,,
161,04/29/2021 22:20:07,19.30,,
162,04/29/2021 22:25:07,19.09,,
163,04/29/2021 22:30:07,18.92,,
164,04/29/2021 22:35:07,18.74,,
165,04/29/2021 22:40:07,18.49,,
166,04/29/2021 22:45:07,18.27,,
167,04/29/2021 22:50:07,18.06,,
168,04/29/2021 22:55:07,17.89,,
169,04/29/2021 23:00:07,17.67,,
170,04/29/2021 23:05:07,17.50,,
171,04/29/2021 23:10:07,17.37,,
172,04/29/2021 23:15:07,17.16,,
173,04/29/2021 23:20:07,16.99,,
174,04/29/2021 23:25:07,16.81,,
175,04/29/2021 23:30:07,16.64,,
176,04/29/2021 23:35:07,16.47,,
177,04/29/2021 23:40:07,16.30,,
178,04/29/2021 23:45:07,16.17,,
179,04/29/2021 23:50:07,16.04,,
180,04/29/2021 23:55:07,15.87,,
181,04/30/2021 00:00:07,15.70,,
182,04/30/2021 00:05:07,15.66,,
183,04/30/2021 00:10:07,15.57,,
184,04/30/2021 00:15:07,15.36,,
185,04/30/2021 00:20:07,15.27,,
186,04/30/2021 00:25:07,15.18,,
187,04/30/2021 00:30:07,15.06,,
188,04/30/2021 00:35:07,15.01,,
189,04/30/2021 00:40:07,14.80,,
190,04/30/2021 00:45:07,14.63,,
191,04/30/2021 00:50:07,14.50,,
192,04/30/2021 00:55:07,14.41,,
193,04/30/2021 01:00:07,14.33,,
194,04/30/2021 01:05:07,14.28,,
195,04/30/2021 01:10:07,14.24,,
196,04/30/2021 01:15:07,14.15,,
197,04/30/2021 01:20:07,14.07,,
198,04/30/2021 01:25:07,13.98,,
199,04/30/2021 01:30:07,13.94,,
200,04/30/2021 01:35:07,13.94,,
201,04/30/2021 01:40:07,13.85,,
202,04/30/2021 01:45:07,13.64,,
203,04/30/2021 01:50:07,13.51,,
204,04/30/2021 01:55:07,13.38,,
205,04/30/2021 02:00:07,13.21,,
206,04/30/2021 02:05:07,13.04,,
207,04/30/2021 02:10:07,12.91,,
208,04/30/2021 02:15:07,12.82,,
209,04/30/2021 02:20:07,12.74,,
210,04/30/2021 02:25:07,12.61,,
211,04/30/2021 02:30:07,12.52,,
212,04/30/2021 02:35:07,12.48,,
213,04/30/2021 02:40:07,12.40,,
214,04/30/2021 02:45:07,12.31,,
215,04/30/2021 02:50:07,12.27,,
216,04/30/2021 02:55:07,12.14,,
217,04/30/2021 03:00:07,12.10,,
218,04/30/2021 03:05:07,11.92,,
219,04/30/2021 03:10:07,11.88,,
220,04/30/2021 03:15:07,11.84,,
221,04/30/2021 03:20:07,11.67,,
222,04/30/2021 03:25:07,11.62,,
223,04/30/2021 03:30:07,11.54,,
224,04/30/2021 03:35:07,11.37,,
225,04/30/2021 03:40:07,11.28,,
226,04/30/2021 03:45:07,11.24,,
227,04/30/2021 03:50:07,11.19,,
228,04/30/2021 03:55:07,11.11,,
229,04/30/2021 04:00:07,11.07,,
230,04/30/2021 04:05:07,10.94,,
231,04/30/2021 04:10:07,10.85,,
232,04/30/2021 04:15:07,10.85,,
233,04/30/2021 04:20:07,10.81,,
234,04/30/2021 04:25:07,10.68,,
235,04/30/2021 04:30:07,10.72,,
236,04/30/2021 04:35:07,10.68,,
237,04/30/2021 04:40:07,10.59,,
238,04/30/2021 04:45:07,10.55,,
239,04/30/2021 04:50:07,10.46,,
240,04/30/2021 04:55:07,10.38,,
241,04/30/2021 05:00:07,10.25,,
242,04/30/2021 05:05:07,10.16,,
243,04/30/2021 05:10:07,10.16,,
244,04/30/2021 05:15:07,10.16,,
245,04/30/2021 05:20:07,10.04,,
246,04/30/2021 05:25:07,10.08,,
247,04/30/2021 05:30:07,9.99,,
248,04/30/2021 05:35:07,9.99,,
249,04/30/2021 05:40:07,9.91,,
250,04/30/2021 05:45:07,9.86,,
251,04/30/2021 05:50:07,9.82,,
252,04/30/2021 05:55:07,9.74,,
253,04/30/2021 06:00:07,9.74,,
254,04/30/2021 06:05:07,9.74,,
255,04/30/2021 06:10:07,9.61,,
256,04/30/2021 06:15:07,9.56,,
257,04/30/2021 06:20:07,9.52,,
258,04/30/2021 06:25:07,9.52,,
259,04/30/2021 06:30:07,9.44,,
260,04/30/2021 06:35:07,9.39,,
261,04/30/2021 06:40:07,9.48,,
262,04/30/2021 06:45:07,9.48,,
263,04/30/2021 06:50:07,9.52,,
264,04/30/2021 06:55:07,9.56,,
265,04/30/2021 07:00:07,9.78,,
266,04/30/2021 07:05:07,9.99,,
267,04/30/2021 07:10:07,10.12,,
268,04/30/2021 07:15:07,10.38,,
269,04/30/2021 07:20:07,10.68,,
270,04/30/2021 07:25:07,11.02,,
271,04/30/2021 07:30:07,11.37,,
272,04/30/2021 07:35:07,11.75,,
273,04/30/2021 07:40:07,12.10,,
274,04/30/2021 07:45:07,12.48,,
275,04/30/2021 07:50:07,13.00,,
276,04/30/2021 07:55:07,13.73,,
277,04/30/2021 08:00:07,14.37,,
278,04/30/2021 08:05:07,14.97,,
279,04/30/2021 08:10:07,15.36,,
280,04/30/2021 08:15:07,15.70,,
281,04/30/2021 08:20:07,16.04,,
282,04/30/2021 08:25:07,16.26,,
283,04/30/2021 08:30:07,16.77,,
284,04/30/2021 08:35:07,17.20,,
285,04/30/2021 08:40:07,17.84,,
286,04/30/2021 08:45:07,18.36,,
287,04/30/2021 08:50:07,18.83,,
288,04/30/2021 08:55:07,19.17,,
289,04/30/2021 09:00:07,19.60,,
290,04/30/2021 09:05:07,19.95,,
291,04/30/2021 09:10:07,20.33,,
292,04/30/2021 09:15:07,20.72,,
293,04/30/2021 09:20:07,21.10,,
294,04/30/2021 09:25:07,21.28,,
295,04/30/2021 09:30:07,21.49,,
296,04/30/2021 09:35:07,21.70,,
297,04/30/2021 09:40:07,21.92,,
298,04/30/2021 09:45:07,22.09,,
299,04/30/2021 09:50:07,22.18,,
300,04/30/2021 09:55:07,22.31,,
301,04/30/2021 10:00:07,22.43,,
302,04/30/2021 10:05:07,22.52,,
303,04/30/2021 10:10:07,22.73,,
304,04/30/2021 10:15:07,23.03,,
305,04/30/2021 10:20:07,23.25,,
306,04/30/2021 10:25:07,23.51,,
307,04/30/2021 10:30:07,23.72,,
308,04/30/2021 10:35:07,23.94,,
309,04/30/2021 10:40:07,24.11,,
310,04/30/2021 10:45:07,24.32,,
311,04/30/2021 10:50:07,24.45,,
312,04/30/2021 10:55:07,24.75,,
313,04/30/2021 11:00:07,25.05,,
314,04/30/2021 11:05:07,25.35,,
315,04/30/2021 11:10:07,25.57,,
316,04/30/2021 11:15:07,25.95,,
317,04/30/2021 11:20:07,26.21,,
318,04/30/2021 11:25:07,26.34,,
319,04/30/2021 11:30:07,26.47,,
320,04/30/2021 11:35:07,26.47,,
321,04/30/2021 11:40:07,26.72,,
322,04/30/2021 11:45:07,26.85,,
323,04/30/2021 11:50:07,27.07,,
324,04/30/2021 11:55:07,27.07,,
325,04/30/2021 12:00:07,27.20,,
326,04/30/2021 12:05:07,27.37,,
327,04/30/2021 12:10:07,27.63,,
328,04/30/2021 12:15:07,28.05,,
329,04/30/2021 12:20:07,28.31,,
330,04/30/2021 12:25:07,28.44,,
331,04/30/2021 12:30:07,28.57,,
332,04/30/2021 12:35:07,28.48,,
333,04/30/2021 12:40:07,28.65,,
334,04/30/2021 12:45:07,28.78,,
335,04/30/2021 12:50:07,28.91,,
336,04/30/2021 12:55:07,29.00,,
337,04/30/2021 13:00:07,29.21,,
338,04/30/2021 13:05:07,29.34,,
339,04/30/2021 13:10:07,29.43,,
340,04/30/2021 13:15:07,29.56,,
341,04/30/2021 13:20:07,29.64,,
342,04/30/2021 13:25:07,29.51,,
343,04/30/2021 13:30:07,29.73,,
344,04/30/2021 13:35:07,29.86,,
345,04/30/2021 13:40:07,29.90,,
346,04/30/2021 13:45:07,29.90,,
347,04/30/2021 13:50:07,29.94,,
348,04/30/2021 13:55:07,30.07,,
349,04/30/2021 14:00:07,30.33,,
350,04/30/2021 14:05:07,30.50,,
351,04/30/2021 14:10:07,30.59,,
352,04/30/2021 14:15:07,30.80,,
353,04/30/2021 14:20:07,30.76,,
354,04/30/2021 14:25:07,30.50,,
355,04/30/2021 14:30:07,30.67,,
356,04/30/2021 14:35:07,30.67,,
357,04/30/2021 14:40:07,30.67,,
358,04/30/2021 14:45:07,30.33,,
359,04/30/2021 14:50:07,30.33,,
360,04/30/2021 14:55:07,30.46,,
361,04/30/2021 15:00:07,30.63,,
362,04/30/2021 15:05:07,30.84,,
363,04/30/2021 15:10:07,30.50,,
364,04/30/2021 15:15:07,30.37,,
365,04/30/2021 15:20:07,29.98,,
366,04/30/2021 15:25:07,29.81,,
367,04/30/2021 15:30:07,29.81,,
368,04/30/2021 15:35:07,29.56,,
369,04/30/2021 15:40:07,29.64,,
370,04/30/2021 15:45:07,29.86,,
371,04/30/2021 15:50:07,30.03,,
372,04/30/2021 15:55:07,30.24,,
