#,Date-Time (PST),Ch: 1 - Temperature   (°C),Host Connected,End of File
1,04/29/2021 09:01:51,25.87,,
2,04/29/2021 09:06:51,24.11,,
3,04/29/2021 09:11:51,23.34,,
4,04/29/2021 09:16:51,23.16,,
5,04/29/2021 09:21:51,23.12,,
6,04/29/2021 09:26:51,23.25,,
7,04/29/2021 09:31:51,22.95,,
8,04/29/2021 09:36:51,23.08,,
9,04/29/2021 09:41:51,23.29,,
10,04/29/2021 09:46:51,23.94,,
11,04/29/2021 09:51:51,24.75,,
12,04/29/2021 09:56:51,24.92,,
13,04/29/2021 10:01:51,25.48,,
14,04/29/2021 10:06:51,25.87,,
15,04/29/2021 10:11:51,26.38,,
16,04/29/2021 10:16:51,26.77,,
17,04/29/2021 10:21:51,26.94,,
18,04/29/2021 10:26:51,27.15,,
19,04/29/2021 10:31:51,27.37,,
20,04/29/2021 10:36:51,27.67,,
21,04/29/2021 10:41:51,27.80,,
22,04/29/2021 10:46:51,26.77,,
23,04/29/2021 10:51:51,27.11,,
24,04/29/2021 10:56:51,26.77,,
25,04/29/2021 11:01:51,27.11,,
26,04/29/2021 11:06:51,27.80,,
27,04/29/2021 11:11:51,27.88,,
28,04/29/2021 11:16:51,28.44,,
29,04/29/2021 11:21:51,28.35,,
30,04/29/2021 11:26:51,28.27,,
31,04/29/2021 11:31:51,28.31,,
32,04/29/2021 11:36:51,28.35,,
33,04/29/2021 11:41:51,28.31,,
34,04/29/2021 11:46:51,28.35,,
35,04/29/2021 11:51:51,28.83,,
36,04/29/2021 11:56:51,28.83,,
37,04/29/2021 12:01:51,29.04,,
38,04/29/2021 12:06:51,29.51,,
39,04/29/2021 12:11:51,29.73,,
40,04/29/2021 12:16:51,29.73,,
41,04/29/2021 12:21:51,30.07,,
42,04/29/2021 12:26:51,30.50,,
43,04/29/2021 12:31:51,30.59,,
44,04/29/2021 12:36:51,30.84,,
45,04/29/2021 12:41:51,31.23,,
46,04/29/2021 12:46:51,31.23,,
47,04/29/2021 12:51:51,31.53,,
48,04/29/2021 12:56:51,31.19,,
49,04/29/2021 13:01:51,31.66,,
50,04/29/2021 13:06:51,32.04,,
51,04/29/2021 13:11:51,32.13,,
52,04/29/2021 13:16:51,32.09,,
53,04/29/2021 13:21:51,32.22,,
54,04/29/2021 13:26:51,32.73,,
55,04/29/2021 13:31:51,32.86,,
56,04/29/2021 13:36:51,32.94,,
57,04/29/2021 13:41:51,32.73,,
58,04/29/2021 13:46:51,32.64,,
59,04/29/2021 13:51:51,32.69,,
60,04/29/2021 13:56:51,33.33,,
61,04/29/2021 14:01:51,33.20,,
62,04/29/2021 14:06:51,33.67,,
63,04/29/2021 14:11:51,33.37,,
64,04/29/2021 14:16:51,33.80,,
65,04/29/2021 14:21:51,33.76,,
66,04/29/2021 14:26:51,33.85,,
67,04/29/2021 14:31:51,34.19,,
68,04/29/2021 14:36:51,34.66,,
69,04/29/2021 14:41:51,34.32,,
70,04/29/2021 14:46:51,34.75,,
71,04/29/2021 14:51:51,35.00,,
72,04/29/2021 14:56:51,34.83,,
73,04/29/2021 15:01:51,35.09,,
74,04/29/2021 15:06:51,35.43,,
75,04/29/2021 15:11:51,35.73,,
76,04/29/2021 15:16:51,35.69,,
77,04/29/2021 15:21:51,35.05,,
78,04/29/2021 15:26:51,35.09,,
79,04/29/2021 15:31:51,34.62,,
80,04/29/2021 15:36:51,34.88,,
81,04/29/2021 15:41:51,35.35,,
82,04/29/2021 15:46:51,35.00,,
83,04/29/2021 15:51:51,34.75,,
84,04/29/2021 15:56:51,34.66,,
85,04/29/2021 16:01:51,35.22,,
86,04/29/2021 16:06:51,35.73,,
87,04/29/2021 16:11:51,35.39,,
88,04/29/2021 16:16:51,35.22,,
89,04/29/2021 16:21:51,35.09,,
90,04/29/2021 16:26:51,35.22,,
91,04/29/2021 16:31:51,35.18,,
92,04/29/2021 16:36:51,35.30,,
93,04/29/2021 16:41:51,35.26,,
94,04/29/2021 16:46:51,34.83,,
95,04/29/2021 16:51:51,35.00,,
96,04/29/2021 16:56:51,34.62,,
97,04/29/2021 17:01:51,34.96,,
98,04/29/2021 17:06:51,35.18,,
99,04/29/2021 17:11:51,35.43,,
100,04/29/2021 17:16:51,35.05,,
101,04/29/2021 17:21:51,35.05,,
102,04/29/2021 17:26:51,34.57,,
103,04/29/2021 17:31:51,34.62,,
104,04/29/2021 17:36:51,34.10,,
105,04/29/2021 17:41:51,33.97,,
106,04/29/2021 17:46:51,33.72,,
107,04/29/2021 17:51:51,33.50,,
108,04/29/2021 17:56:51,33.16,,
109,04/29/2021 18:01:51,33.07,,
110,04/29/2021 18:06:51,32.90,,
111,04/29/2021 18:11:51,32.52,,
112,04/29/2021 18:16:51,32.13,,
113,04/29/2021 18:21:51,31.57,,
