#,Date-Time (PDT),Ch:1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,05/05/2023 12:27:51,26.30,,,,
2,05/05/2023 12:32:51,24.41,,,,
3,05/05/2023 12:37:51,22.48,,,,
4,05/05/2023 12:42:51,21.36,,,,
5,05/05/2023 12:47:51,20.55,,,,
6,05/05/2023 12:52:51,20.07,,,,
7,05/05/2023 12:57:51,19.86,,,,
8,05/05/2023 13:02:51,19.77,,,,
9,05/05/2023 13:07:51,19.73,,,,
10,05/05/2023 13:12:51,19.77,,,,
11,05/05/2023 13:17:51,19.90,,,,
12,05/05/2023 13:22:51,19.99,,,,
13,05/05/2023 13:27:51,19.99,,,,
14,05/05/2023 13:32:51,19.86,,,,
15,05/05/2023 13:37:51,19.65,,,,
16,05/05/2023 13:42:51,19.47,,,,
17,05/05/2023 13:47:51,19.39,,,,
18,05/05/2023 13:52:51,19.30,,,,
19,05/05/2023 13:57:51,19.30,,,,
20,05/05/2023 14:02:51,19.26,,,,
21,05/05/2023 14:07:51,19.30,,,,
22,05/05/2023 14:12:51,19.30,,,,
23,05/05/2023 14:17:51,19.22,,,,
24,05/05/2023 14:22:51,19.26,,,,
25,05/05/2023 14:27:51,19.26,,,,
26,05/05/2023 14:32:51,19.17,,,,
27,05/05/2023 14:37:51,19.17,,,,
28,05/05/2023 14:42:51,19.22,,,,
29,05/05/2023 14:47:51,19.22,,,,
30,05/05/2023 14:52:51,19.17,,,,
31,05/05/2023 14:57:51,19.17,,,,
32,05/05/2023 15:02:51,19.17,,,,
33,05/05/2023 15:07:51,19.17,,,,
34,05/05/2023 15:12:51,19.09,,,,
35,05/05/2023 15:17:51,19.00,,,,
36,05/05/2023 15:22:51,18.83,,,,
37,05/05/2023 15:27:51,18.83,,,,
38,05/05/2023 15:32:51,18.79,,,,
39,05/05/2023 15:37:51,18.70,,,,
40,05/05/2023 15:42:51,18.70,,,,
41,05/05/2023 15:47:51,18.70,,,,
42,05/05/2023 15:52:51,18.66,,,,
43,05/05/2023 15:57:51,18.66,,,,
44,05/05/2023 16:02:51,18.57,,,,
45,05/05/2023 16:07:51,18.53,,,,
46,05/05/2023 16:12:51,18.57,,,,
47,05/05/2023 16:17:51,18.44,,,,
48,05/05/2023 16:22:51,18.36,,,,
49,05/05/2023 16:27:51,18.36,,,,
50,05/05/2023 16:32:51,18.27,,,,
51,05/05/2023 16:37:51,18.27,,,,
52,05/05/2023 16:42:51,18.27,,,,
53,05/05/2023 16:47:51,18.32,,,,
54,05/05/2023 16:52:51,18.36,,,,
55,05/05/2023 16:57:51,18.36,,,,
56,05/05/2023 17:02:51,18.27,,,,
57,05/05/2023 17:07:51,18.14,,,,
58,05/05/2023 17:12:51,18.06,,,,
59,05/05/2023 17:17:51,17.97,,,,
60,05/05/2023 17:22:51,17.93,,,,
61,05/05/2023 17:27:51,17.76,,,,
62,05/05/2023 17:32:51,17.72,,,,
63,05/05/2023 17:37:51,17.59,,,,
64,05/05/2023 17:42:51,17.46,,,,
65,05/05/2023 17:47:51,17.37,,,,
66,05/05/2023 17:52:51,17.29,,,,
67,05/05/2023 17:57:51,17.20,,,,
68,05/05/2023 18:02:51,17.11,,,,
69,05/05/2023 18:07:51,17.03,,,,
70,05/05/2023 18:12:51,16.90,,,,
71,05/05/2023 18:17:51,16.77,,,,
72,05/05/2023 18:22:51,16.77,,,,
73,05/05/2023 18:27:51,16.69,,,,
74,05/05/2023 18:32:51,16.60,,,,
75,05/05/2023 18:37:51,16.56,,,,
76,05/05/2023 18:42:51,16.43,,,,
77,05/05/2023 18:47:51,16.34,,,,
78,05/05/2023 18:52:51,16.26,,,,
79,05/05/2023 18:57:51,16.13,,,,
80,05/05/2023 19:02:51,15.91,,,,
81,05/05/2023 19:07:51,15.83,,,,
82,05/05/2023 19:12:51,15.74,,,,
83,05/05/2023 19:17:51,15.61,,,,
84,05/05/2023 19:22:51,15.53,,,,
85,05/05/2023 19:27:51,15.48,,,,
86,05/05/2023 19:32:51,15.36,,,,
87,05/05/2023 19:37:51,15.23,,,,
88,05/05/2023 19:42:51,15.14,,,,
89,05/05/2023 19:47:51,15.06,,,,
90,05/05/2023 19:52:51,14.97,,,,
91,05/05/2023 19:57:51,14.88,,,,
92,05/05/2023 20:02:51,14.84,,,,
93,05/05/2023 20:07:51,14.71,,,,
94,05/05/2023 20:12:51,14.67,,,,
95,05/05/2023 20:17:51,14.50,,,,
96,05/05/2023 20:22:51,14.37,,,,
97,05/05/2023 20:27:51,14.24,,,,
98,05/05/2023 20:32:51,14.15,,,,
99,05/05/2023 20:37:51,14.11,,,,
100,05/05/2023 20:42:51,13.98,,,,
101,05/05/2023 20:47:51,13.94,,,,
102,05/05/2023 20:52:51,13.81,,,,
103,05/05/2023 20:57:51,13.81,,,,
104,05/05/2023 21:02:51,13.73,,,,
105,05/05/2023 21:07:51,13.64,,,,
106,05/05/2023 21:12:51,13.55,,,,
107,05/05/2023 21:17:51,13.55,,,,
108,05/05/2023 21:22:51,13.47,,,,
109,05/05/2023 21:27:51,13.47,,,,
110,05/05/2023 21:32:51,13.43,,,,
111,05/05/2023 21:37:51,13.38,,,,
112,05/05/2023 21:42:51,13.34,,,,
113,05/05/2023 21:47:51,13.25,,,,
114,05/05/2023 21:52:51,13.21,,,,
115,05/05/2023 21:57:51,13.17,,,,
116,05/05/2023 22:02:51,13.08,,,,
117,05/05/2023 22:07:51,13.12,,,,
118,05/05/2023 22:12:51,13.08,,,,
119,05/05/2023 22:17:51,13.04,,,,
120,05/05/2023 22:22:51,13.00,,,,
121,05/05/2023 22:27:51,13.00,,,,
122,05/05/2023 22:32:51,12.95,,,,
123,05/05/2023 22:37:51,12.95,,,,
124,05/05/2023 22:42:51,12.95,,,,
125,05/05/2023 22:47:51,12.91,,,,
126,05/05/2023 22:52:51,12.91,,,,
127,05/05/2023 22:57:51,12.87,,,,
128,05/05/2023 23:02:51,12.82,,,,
129,05/05/2023 23:07:51,12.78,,,,
130,05/05/2023 23:12:51,12.78,,,,
