#,Date-Time (PDT),Ch:1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,04/16/2022 11:09:53,22.69,,,,
2,04/16/2022 11:14:53,22.69,,,,
3,04/16/2022 11:19:53,21.36,,,,
4,04/16/2022 11:24:53,20.85,,,,
5,04/16/2022 11:29:53,20.42,,,,
6,04/16/2022 11:34:53,20.68,,,,
7,04/16/2022 11:39:53,20.68,,,,
8,04/16/2022 11:44:53,21.88,,,,
9,04/16/2022 11:49:53,21.10,,,,
10,04/16/2022 11:54:53,21.32,,,,
11,04/16/2022 11:59:53,21.58,,,,
12,04/16/2022 12:04:53,21.02,,,,
13,04/16/2022 12:09:53,22.13,,,,
14,04/16/2022 12:14:53,23.08,,,,
15,04/16/2022 12:19:53,23.21,,,,
16,04/16/2022 12:24:53,23.64,,,,
17,04/16/2022 12:29:53,23.64,,,,
18,04/16/2022 12:34:53,24.02,,,,
19,04/16/2022 12:39:53,23.38,,,,
20,04/16/2022 12:44:53,21.15,,,,
21,04/16/2022 12:49:53,19.99,,,,
22,04/16/2022 12:54:53,19.13,,,,
23,04/16/2022 12:59:53,19.00,,,,
24,04/16/2022 13:04:53,18.79,,,,
25,04/16/2022 13:09:53,18.74,,,,
26,04/16/2022 13:14:53,19.09,,,,
27,04/16/2022 13:19:53,19.86,,,,
28,04/16/2022 13:24:53,20.63,,,,
29,04/16/2022 13:29:53,21.92,,,,
30,04/16/2022 13:34:53,23.76,,,,
31,04/16/2022 13:39:53,23.29,,,,
32,04/16/2022 13:44:53,22.31,,,,
33,04/16/2022 13:49:53,21.70,,,,
34,04/16/2022 13:54:53,22.82,,,,
35,04/16/2022 13:59:53,20.55,,,,
36,04/16/2022 14:04:53,20.68,,,,
37,04/16/2022 14:09:53,21.28,,,,
38,04/16/2022 14:14:53,23.98,,,,
39,04/16/2022 14:19:53,24.45,,,,
40,04/16/2022 14:24:53,24.97,,,,
41,04/16/2022 14:29:53,24.11,,,,
42,04/16/2022 14:34:53,23.03,,,,
43,04/16/2022 14:39:53,23.94,,,,
44,04/16/2022 14:44:53,24.41,,,,
45,04/16/2022 14:49:53,24.62,,,,
46,04/16/2022 14:54:53,24.58,,,,
47,04/16/2022 14:59:53,24.15,,,,
48,04/16/2022 15:04:53,24.97,,,,
49,04/16/2022 15:09:53,24.66,,,,
50,04/16/2022 15:14:53,25.14,,,,
51,04/16/2022 15:19:53,25.01,,,,
52,04/16/2022 15:24:53,25.18,,,,
53,04/16/2022 15:29:53,24.45,,,,
54,04/16/2022 15:34:53,24.19,,,,
55,04/16/2022 15:39:53,23.89,,,,
56,04/16/2022 15:44:53,24.45,,,,
57,04/16/2022 15:49:53,24.45,,,,
58,04/16/2022 15:54:53,24.24,,,,
59,04/16/2022 15:59:53,23.89,,,,
60,04/16/2022 16:04:53,23.81,,,,
61,04/16/2022 16:09:53,24.11,,,,
62,04/16/2022 16:14:53,24.02,,,,
63,04/16/2022 16:19:53,24.49,,,,
64,04/16/2022 16:24:53,24.02,,,,
65,04/16/2022 16:29:53,23.89,,,,
66,04/16/2022 16:34:53,23.46,,,,
67,04/16/2022 16:39:53,23.55,,,,
68,04/16/2022 16:44:53,23.25,,,,
69,04/16/2022 16:49:53,23.25,,,,
70,04/16/2022 16:54:53,23.08,,,,
71,04/16/2022 16:59:53,23.16,,,,
72,04/16/2022 17:04:53,23.08,,,,
73,04/16/2022 17:09:53,22.95,,,,
74,04/16/2022 17:14:53,23.08,,,,
75,04/16/2022 17:19:53,22.82,,,,
76,04/16/2022 17:24:53,22.56,,,,
77,04/16/2022 17:29:53,22.39,,,,
78,04/16/2022 17:34:53,22.01,,,,
79,04/16/2022 17:39:53,21.92,,,,
80,04/16/2022 17:44:53,21.75,,,,
81,04/16/2022 17:49:53,21.49,,,,
82,04/16/2022 17:54:53,21.32,,,,
83,04/16/2022 17:59:53,20.89,,,,
84,04/16/2022 18:04:53,20.46,,,,
85,04/16/2022 18:09:53,20.16,,,,
86,04/16/2022 18:14:53,19.99,,,,
87,04/16/2022 18:19:53,19.60,,,,
88,04/16/2022 18:24:53,19.43,,,,
89,04/16/2022 18:29:53,19.26,,,,
90,04/16/2022 18:34:53,19.26,,,,
91,04/16/2022 18:39:53,18.87,,,,
92,04/16/2022 18:44:53,18.53,,,,
93,04/16/2022 18:49:53,18.27,,,,
94,04/16/2022 18:54:53,17.93,,,,
95,04/16/2022 18:59:53,17.50,,,,
96,04/16/2022 19:04:53,17.03,,,,
97,04/16/2022 19:09:53,16.56,,,,
98,04/16/2022 19:14:53,16.17,,,,
99,04/16/2022 19:19:53,15.83,,,,
100,04/16/2022 19:24:53,15.44,,,,
101,04/16/2022 19:29:53,15.23,,,,
102,04/16/2022 19:34:53,14.93,,,,
103,04/16/2022 19:39:53,14.50,,,,
104,04/16/2022 19:44:53,14.15,,,,
105,04/16/2022 19:49:53,13.77,,,,
106,04/16/2022 19:54:53,13.47,,,,
107,04/16/2022 19:59:53,13.17,,,,
108,04/16/2022 20:04:53,12.91,,,,
109,04/16/2022 20:09:53,12.70,,,,
110,04/16/2022 20:14:53,12.61,,,,
111,04/16/2022 20:19:53,12.31,,,,
112,04/16/2022 20:24:53,12.18,,,,
113,04/16/2022 20:29:53,12.01,,,,
114,04/16/2022 20:34:53,11.92,,,,
115,04/16/2022 20:39:53,11.84,,,,
116,04/16/2022 20:44:53,11.58,,,,
117,04/16/2022 20:49:53,11.49,,,,
118,04/16/2022 20:54:53,11.41,,,,
119,04/16/2022 20:59:53,11.28,,,,
120,04/16/2022 21:04:53,11.11,,,,
121,04/16/2022 21:09:53,10.85,,,,
122,04/16/2022 21:14:53,10.51,,,,
123,04/16/2022 21:19:53,10.51,,,,
124,04/16/2022 21:24:53,10.38,,,,
125,04/16/2022 21:29:53,10.04,,,,
126,04/16/2022 21:34:53,9.78,,,,
127,04/16/2022 21:39:53,9.31,,,,
128,04/16/2022 21:44:53,8.96,,,,
129,04/16/2022 21:49:53,8.75,,,,
130,04/16/2022 21:54:53,8.53,,,,
131,04/16/2022 21:59:53,8.49,,,,
132,04/16/2022 22:04:53,8.32,,,,
133,04/16/2022 22:09:53,7.81,,,,
134,04/16/2022 22:14:53,7.29,,,,
135,04/16/2022 22:19:53,7.25,,,,
136,04/16/2022 22:24:53,7.08,,,,
137,04/16/2022 22:29:53,7.20,,,,
138,04/16/2022 22:34:53,7.42,,,,
139,04/16/2022 22:39:53,7.50,,,,
140,04/16/2022 22:44:53,7.46,,,,
141,04/16/2022 22:49:53,7.08,,,,
142,04/16/2022 22:54:53,7.03,,,,
143,04/16/2022 22:59:53,7.12,,,,
144,04/16/2022 23:04:53,7.16,,,,
145,04/16/2022 23:09:53,7.03,,,,
146,04/16/2022 23:14:53,6.69,,,,
147,04/16/2022 23:19:53,6.39,,,,
148,04/16/2022 23:24:53,6.09,,,,
149,04/16/2022 23:29:53,6.00,,,,
150,04/16/2022 23:34:53,5.79,,,,
151,04/16/2022 23:39:53,5.62,,,,
152,04/16/2022 23:44:53,5.19,,,,
153,04/16/2022 23:49:53,5.06,,,,
154,04/16/2022 23:54:53,5.06,,,,
155,04/16/2022 23:59:53,4.80,,,,
156,04/17/2022 00:04:53,4.76,,,,
157,04/17/2022 00:09:53,4.93,,,,
158,04/17/2022 00:14:53,4.67,,,,
159,04/17/2022 00:19:53,4.50,,,,
160,04/17/2022 00:24:53,4.46,,,,
161,04/17/2022 00:29:53,3.90,,,,
162,04/17/2022 00:34:53,2.96,,,,
163,04/17/2022 00:39:53,3.56,,,,
164,04/17/2022 00:44:53,3.94,,,,
165,04/17/2022 00:49:53,4.03,,,,
166,04/17/2022 00:54:53,4.29,,,,
167,04/17/2022 00:59:53,4.16,,,,
168,04/17/2022 01:04:53,4.46,,,,
169,04/17/2022 01:09:53,4.50,,,,
170,04/17/2022 01:14:53,3.99,,,,
171,04/17/2022 01:19:53,4.16,,,,
172,04/17/2022 01:24:53,3.69,,,,
173,04/17/2022 01:29:53,3.90,,,,
174,04/17/2022 01:34:53,4.37,,,,
175,04/17/2022 01:39:53,4.46,,,,
176,04/17/2022 01:44:53,4.54,,,,
177,04/17/2022 01:49:53,4.54,,,,
178,04/17/2022 01:54:53,4.37,,,,
179,04/17/2022 01:59:53,4.24,,,,
180,04/17/2022 02:04:53,4.03,,,,
181,04/17/2022 02:09:53,3.64,,,,
182,04/17/2022 02:14:53,3.47,,,,
183,04/17/2022 02:19:53,3.60,,,,
184,04/17/2022 02:24:53,3.52,,,,
185,04/17/2022 02:29:53,2.83,,,,
186,04/17/2022 02:34:53,2.31,,,,
187,04/17/2022 02:39:53,1.71,,,,
188,04/17/2022 02:44:53,1.63,,,,
189,04/17/2022 02:49:53,1.50,,,,
190,04/17/2022 02:54:53,1.41,,,,
191,04/17/2022 02:59:53,1.58,,,,
192,04/17/2022 03:04:53,1.84,,,,
193,04/17/2022 03:09:53,1.58,,,,
194,04/17/2022 03:14:53,1.33,,,,
195,04/17/2022 03:19:53,1.28,,,,
196,04/17/2022 03:24:53,1.33,,,,
197,04/17/2022 03:29:53,1.41,,,,
198,04/17/2022 03:34:53,1.16,,,,
199,04/17/2022 03:39:53,1.41,,,,
200,04/17/2022 03:44:53,1.84,,,,
201,04/17/2022 03:49:53,1.84,,,,
202,04/17/2022 03:54:53,1.71,,,,
203,04/17/2022 03:59:53,1.54,,,,
204,04/17/2022 04:04:53,1.63,,,,
205,04/17/2022 04:09:53,2.01,,,,
206,04/17/2022 04:14:53,1.84,,,,
207,04/17/2022 04:19:53,2.01,,,,
208,04/17/2022 04:24:53,1.97,,,,
209,04/17/2022 04:29:53,2.31,,,,
210,04/17/2022 04:34:53,2.19,,,,
211,04/17/2022 04:39:53,2.61,,,,
212,04/17/2022 04:44:53,2.57,,,,
213,04/17/2022 04:49:53,2.31,,,,
214,04/17/2022 04:54:53,2.70,,,,
215,04/17/2022 04:59:53,2.36,,,,
216,04/17/2022 05:04:53,1.97,,,,
217,04/17/2022 05:09:53,1.97,,,,
218,04/17/2022 05:14:53,2.10,,,,
219,04/17/2022 05:19:53,2.06,,,,
220,04/17/2022 05:24:53,2.06,,,,
221,04/17/2022 05:29:53,1.93,,,,
222,04/17/2022 05:34:53,2.06,,,,
223,04/17/2022 05:39:53,1.97,,,,
224,04/17/2022 05:44:53,2.01,,,,
225,04/17/2022 05:49:53,1.76,,,,
226,04/17/2022 05:54:53,1.67,,,,
227,04/17/2022 05:59:53,1.80,,,,
228,04/17/2022 06:04:53,1.63,,,,
229,04/17/2022 06:09:53,1.37,,,,
230,04/17/2022 06:14:53,0.98,,,,
231,04/17/2022 06:19:53,0.81,,,,
232,04/17/2022 06:24:53,0.94,,,,
233,04/17/2022 06:29:53,0.90,,,,
234,04/17/2022 06:34:53,1.11,,,,
235,04/17/2022 06:39:53,0.94,,,,
236,04/17/2022 06:44:53,1.28,,,,
237,04/17/2022 06:49:53,1.03,,,,
238,04/17/2022 06:54:53,1.20,,,,
239,04/17/2022 06:59:53,1.76,,,,
240,04/17/2022 07:04:53,2.27,,,,
241,04/17/2022 07:09:53,2.74,,,,
242,04/17/2022 07:14:53,3.21,,,,
243,04/17/2022 07:19:53,3.77,,,,
244,04/17/2022 07:24:53,4.54,,,,
245,04/17/2022 07:29:53,5.19,,,,
246,04/17/2022 07:34:53,6.05,,,,
247,04/17/2022 07:39:53,6.82,,,,
248,04/17/2022 07:44:53,7.50,,,,
249,04/17/2022 07:49:53,8.06,,,,
