#,Date-Time (PST),Ch: 1 - Temperature   (°C),Host Connected,End of File
1,04/23/2021 11:35:41,25.27,,
2,04/23/2021 11:38:37,,Logged,
3,04/23/2021 11:40:41,25.99,,
4,04/23/2021 11:45:41,26.42,,
5,04/23/2021 11:50:41,26.81,,
6,04/23/2021 11:55:41,27.15,,
7,04/23/2021 12:00:41,27.20,,
8,04/23/2021 12:05:41,27.37,,
9,04/23/2021 12:10:41,27.37,,
10,04/23/2021 12:15:41,27.54,,
11,04/23/2021 12:20:41,27.37,,
12,04/23/2021 12:25:41,27.37,,
13,04/23/2021 12:30:41,27.07,,
14,04/23/2021 12:35:41,27.20,,
15,04/23/2021 12:40:41,27.63,,
16,04/23/2021 12:45:41,27.84,,
17,04/23/2021 12:50:41,28.23,,
18,04/23/2021 12:55:41,28.53,,
19,04/23/2021 13:00:41,28.95,,
20,04/23/2021 13:05:41,29.21,,
21,04/23/2021 13:10:41,29.08,,
22,04/23/2021 13:15:41,29.21,,
23,04/23/2021 13:20:41,28.91,,
24,04/23/2021 13:25:41,29.30,,
25,04/23/2021 13:30:41,29.38,,
26,04/23/2021 13:35:41,29.51,,
27,04/23/2021 13:40:41,29.47,,
28,04/23/2021 13:45:41,29.90,,
29,04/23/2021 13:50:41,30.11,,
30,04/23/2021 13:55:41,30.11,,
31,04/23/2021 14:00:41,30.33,,
32,04/23/2021 14:05:41,30.46,,
33,04/23/2021 14:10:41,30.50,,
34,04/23/2021 14:15:41,30.41,,
35,04/23/2021 14:20:41,30.20,,
36,04/23/2021 14:25:41,30.20,,
37,04/23/2021 14:30:41,30.20,,
38,04/23/2021 14:35:41,30.20,,
39,04/23/2021 14:40:41,30.24,,
40,04/23/2021 14:45:41,30.24,,
41,04/23/2021 14:50:41,30.33,,
42,04/23/2021 14:55:41,29.98,,
43,04/23/2021 15:00:41,29.90,,
44,04/23/2021 15:05:41,29.56,,
45,04/23/2021 15:10:41,29.38,,
46,04/23/2021 15:15:41,29.17,,
47,04/23/2021 15:20:41,29.00,,
48,04/23/2021 15:25:41,29.00,,
49,04/23/2021 15:30:41,29.00,,
50,04/23/2021 15:35:41,29.21,,
51,04/23/2021 15:40:41,29.21,,
52,04/23/2021 15:45:41,29.13,,
53,04/23/2021 15:50:41,29.00,,
54,04/23/2021 15:55:41,29.21,,
55,04/23/2021 16:00:41,29.26,,
56,04/23/2021 16:05:41,29.21,,
57,04/23/2021 16:10:41,29.00,,
58,04/23/2021 16:15:41,28.70,,
59,04/23/2021 16:20:41,28.53,,
60,04/23/2021 16:25:41,28.40,,
61,04/23/2021 16:30:41,28.40,,
62,04/23/2021 16:35:41,28.35,,
63,04/23/2021 16:40:41,28.18,,
64,04/23/2021 16:45:41,27.67,,
65,04/23/2021 16:50:41,27.58,,
66,04/23/2021 16:55:41,27.45,,
67,04/23/2021 17:00:41,27.50,,
68,04/23/2021 17:05:41,27.20,,
69,04/23/2021 17:10:41,26.55,,
70,04/23/2021 17:15:41,25.87,,
71,04/23/2021 17:20:41,25.05,,
72,04/23/2021 17:25:41,24.54,,
73,04/23/2021 17:30:41,24.11,,
74,04/23/2021 17:35:41,23.81,,
75,04/23/2021 17:40:41,23.68,,
76,04/23/2021 17:45:41,23.51,,
77,04/23/2021 17:50:41,23.46,,
78,04/23/2021 17:55:41,23.38,,
79,04/23/2021 18:00:41,23.29,,
80,04/23/2021 18:05:41,22.91,,
81,04/23/2021 18:10:41,22.43,,
82,04/23/2021 18:15:41,22.31,,
83,04/23/2021 18:20:41,22.09,,
84,04/23/2021 18:25:41,21.79,,
85,04/23/2021 18:30:41,21.53,,
86,04/23/2021 18:35:41,21.06,,
87,04/23/2021 18:40:41,20.50,,
88,04/23/2021 18:45:41,19.95,,
89,04/23/2021 18:50:41,19.47,,
90,04/23/2021 18:55:41,19.05,,
91,04/23/2021 19:00:41,18.87,,
92,04/23/2021 19:05:41,18.83,,
93,04/23/2021 19:10:41,18.79,,
94,04/23/2021 19:15:41,18.70,,
95,04/23/2021 19:20:41,18.57,,
96,04/23/2021 19:25:41,18.53,,
97,04/23/2021 19:30:41,18.27,,
98,04/23/2021 19:35:41,17.97,,
99,04/23/2021 19:40:41,17.80,,
100,04/23/2021 19:45:41,17.54,,
101,04/23/2021 19:50:41,17.33,,
102,04/23/2021 19:55:41,17.16,,
103,04/23/2021 20:00:41,17.16,,
104,04/23/2021 20:05:41,17.16,,
105,04/23/2021 20:10:41,17.03,,
106,04/23/2021 20:15:41,16.94,,
107,04/23/2021 20:20:41,16.90,,
108,04/23/2021 20:25:41,16.86,,
109,04/23/2021 20:30:41,16.81,,
110,04/23/2021 20:35:41,16.73,,
111,04/23/2021 20:40:41,16.60,,
112,04/23/2021 20:45:41,16.56,,
113,04/23/2021 20:50:41,16.43,,
