#,Date-Time (PDT),Ch:1 - Temperature   (°C),Button Down,Button Up,Host Connected,Stopped,End of File
1,06/06/2023 12:04:30,25.09,,,,,
2,06/06/2023 12:09:30,25.65,,,,,
3,06/06/2023 12:14:30,25.39,,,,,
4,06/06/2023 12:19:30,25.48,,,,,
5,06/06/2023 12:24:30,25.61,,,,,
6,06/06/2023 12:29:30,25.14,,,,,
7,06/06/2023 12:34:30,25.05,,,,,
8,06/06/2023 12:39:30,24.45,,,,,
9,06/06/2023 12:44:30,24.49,,,,,
10,06/06/2023 12:49:30,24.24,,,,,
11,06/06/2023 12:54:30,24.62,,,,,
12,06/06/2023 12:59:30,25.18,,,,,
13,06/06/2023 13:04:30,25.39,,,,,
14,06/06/2023 13:09:30,25.74,,,,,
15,06/06/2023 13:14:30,25.39,,,,,
16,06/06/2023 13:19:30,25.78,,,,,
17,06/06/2023 13:24:30,26.25,,,,,
18,06/06/2023 13:29:30,26.55,,,,,
19,06/06/2023 13:34:30,26.90,,,,,
20,06/06/2023 13:39:30,27.11,,,,,
21,06/06/2023 13:44:30,27.24,,,,,
22,06/06/2023 13:49:30,27.50,,,,,
23,06/06/2023 13:54:30,27.63,,,,,
24,06/06/2023 13:59:30,27.80,,,,,
25,06/06/2023 14:04:30,27.67,,,,,
26,06/06/2023 14:09:30,27.84,,,,,
27,06/06/2023 14:14:30,28.18,,,,,
28,06/06/2023 14:19:30,28.40,,,,,
29,06/06/2023 14:24:30,28.70,,,,,
30,06/06/2023 14:29:30,28.91,,,,,
31,06/06/2023 14:34:30,29.00,,,,,
32,06/06/2023 14:39:30,29.26,,,,,
33,06/06/2023 14:44:30,29.21,,,,,
34,06/06/2023 14:49:30,29.34,,,,,
35,06/06/2023 14:54:30,29.30,,,,,
36,06/06/2023 14:59:30,29.34,,,,,
37,06/06/2023 15:04:30,29.51,,,,,
38,06/06/2023 15:09:30,29.43,,,,,
39,06/06/2023 15:14:30,29.38,,,,,
40,06/06/2023 15:19:30,29.34,,,,,
41,06/06/2023 15:24:30,29.30,,,,,
42,06/06/2023 15:29:30,29.21,,,,,
43,06/06/2023 15:34:30,29.13,,,,,
44,06/06/2023 15:39:30,29.17,,,,,
45,06/06/2023 15:44:30,29.17,,,,,
46,06/06/2023 15:49:30,29.17,,,,,
47,06/06/2023 15:54:30,29.08,,,,,
48,06/06/2023 15:59:30,29.00,,,,,
49,06/06/2023 16:04:30,28.95,,,,,
50,06/06/2023 16:09:30,28.95,,,,,
51,06/06/2023 16:14:30,28.91,,,,,
52,06/06/2023 16:19:30,29.00,,,,,
53,06/06/2023 16:24:30,28.83,,,,,
54,06/06/2023 16:29:30,28.61,,,,,
55,06/06/2023 16:34:30,28.10,,,,,
56,06/06/2023 16:39:30,27.75,,,,,
57,06/06/2023 16:44:30,27.45,,,,,
58,06/06/2023 16:49:30,27.24,,,,,
59,06/06/2023 16:54:30,27.02,,,,,
60,06/06/2023 16:59:30,26.94,,,,,
61,06/06/2023 17:04:30,26.72,,,,,
62,06/06/2023 17:09:30,26.55,,,,,
63,06/06/2023 17:14:30,26.34,,,,,
64,06/06/2023 17:19:30,25.74,,,,,
65,06/06/2023 17:24:30,25.18,,,,,
66,06/06/2023 17:29:30,24.58,,,,,
67,06/06/2023 17:34:30,24.02,,,,,
68,06/06/2023 17:39:30,23.72,,,,,
69,06/06/2023 17:44:30,23.55,,,,,
70,06/06/2023 17:49:30,23.64,,,,,
71,06/06/2023 17:54:30,23.59,,,,,
72,06/06/2023 17:59:30,23.59,,,,,
73,06/06/2023 18:04:30,23.51,,,,,
74,06/06/2023 18:09:30,23.51,,,,,
75,06/06/2023 18:14:30,23.46,,,,,
76,06/06/2023 18:19:30,23.55,,,,,
77,06/06/2023 18:24:30,23.68,,,,,
78,06/06/2023 18:29:30,23.59,,,,,
79,06/06/2023 18:34:30,23.59,,,,,
80,06/06/2023 18:39:30,23.59,,,,,
81,06/06/2023 18:44:30,23.25,,,,,
82,06/06/2023 18:49:30,22.95,,,,,
83,06/06/2023 18:54:30,22.65,,,,,
84,06/06/2023 18:59:30,22.43,,,,,
85,06/06/2023 19:04:30,22.13,,,,,
86,06/06/2023 19:09:30,21.92,,,,,
87,06/06/2023 19:14:30,21.62,,,,,
88,06/06/2023 19:19:30,21.36,,,,,
89,06/06/2023 19:24:30,21.23,,,,,
90,06/06/2023 19:29:30,21.23,,,,,
91,06/06/2023 19:34:30,21.15,,,,,
92,06/06/2023 19:39:30,20.98,,,,,
93,06/06/2023 19:44:30,20.98,,,,,
94,06/06/2023 19:49:30,20.93,,,,,
95,06/06/2023 19:54:30,20.63,,,,,
96,06/06/2023 19:59:30,20.46,,,,,
97,06/06/2023 20:04:30,20.25,,,,,
98,06/06/2023 20:09:30,20.20,,,,,
99,06/06/2023 20:14:30,20.07,,,,,
100,06/06/2023 20:19:30,19.86,,,,,
101,06/06/2023 20:24:30,19.65,,,,,
102,06/06/2023 20:29:30,19.52,,,,,
103,06/06/2023 20:34:30,19.30,,,,,
104,06/06/2023 20:39:30,19.17,,,,,
105,06/06/2023 20:44:30,19.09,,,,,
106,06/06/2023 20:49:30,19.09,,,,,
107,06/06/2023 20:54:30,19.05,,,,,
108,06/06/2023 20:59:30,18.96,,,,,
109,06/06/2023 21:04:30,19.00,,,,,
110,06/06/2023 21:09:30,18.92,,,,,
111,06/06/2023 21:14:30,18.83,,,,,
112,06/06/2023 21:19:30,18.70,,,,,
113,06/06/2023 21:24:30,18.57,,,,,
114,06/06/2023 21:29:30,18.49,,,,,
115,06/06/2023 21:34:30,18.44,,,,,
116,06/06/2023 21:39:30,18.44,,,,,
117,06/06/2023 21:44:30,18.32,,,,,
118,06/06/2023 21:49:30,18.27,,,,,
119,06/06/2023 21:54:30,18.23,,,,,
120,06/06/2023 21:59:30,18.19,,,,,
121,06/06/2023 22:04:30,18.14,,,,,
122,06/06/2023 22:09:30,18.10,,,,,
123,06/06/2023 22:14:30,18.10,,,,,
124,06/06/2023 22:19:30,18.10,,,,,
125,06/06/2023 22:24:30,18.10,,,,,
126,06/06/2023 22:29:30,17.89,,,,,
127,06/06/2023 22:34:30,17.89,,,,,
128,06/06/2023 22:39:30,17.84,,,,,
129,06/06/2023 22:44:30,17.93,,,,,
130,06/06/2023 22:49:30,17.93,,,,,
131,06/06/2023 22:54:30,17.93,,,,,
