#,Date-Time (PDT),Ch:1 - Temperature   (°C),Button Down,Button Up,Host Connected,Stopped,End of File
1,06/06/2023 12:06:36,27.11,,,,,
2,06/06/2023 12:11:36,28.14,,,,,
3,06/06/2023 12:16:36,27.50,,,,,
4,06/06/2023 12:21:36,26.55,,,,,
5,06/06/2023 12:26:36,26.72,,,,,
6,06/06/2023 12:31:36,27.15,,,,,
7,06/06/2023 12:36:36,26.68,,,,,
8,06/06/2023 12:41:36,26.94,,,,,
9,06/06/2023 12:46:36,27.41,,,,,
10,06/06/2023 12:51:36,27.54,,,,,
11,06/06/2023 12:56:36,27.71,,,,,
12,06/06/2023 13:01:36,28.31,,,,,
13,06/06/2023 13:06:36,27.63,,,,,
14,06/06/2023 13:11:36,28.18,,,,,
15,06/06/2023 13:16:36,28.10,,,,,
16,06/06/2023 13:21:36,28.35,,,,,
17,06/06/2023 13:26:36,28.40,,,,,
18,06/06/2023 13:31:36,28.35,,,,,
19,06/06/2023 13:36:36,28.65,,,,,
20,06/06/2023 13:41:36,28.61,,,,,
21,06/06/2023 13:46:36,28.57,,,,,
22,06/06/2023 13:51:36,28.40,,,,,
23,06/06/2023 13:56:36,28.65,,,,,
24,06/06/2023 14:01:36,29.17,,,,,
25,06/06/2023 14:06:36,29.56,,,,,
26,06/06/2023 14:11:36,29.34,,,,,
27,06/06/2023 14:16:36,29.77,,,,,
28,06/06/2023 14:21:36,29.73,,,,,
29,06/06/2023 14:26:36,29.94,,,,,
30,06/06/2023 14:31:36,29.17,,,,,
31,06/06/2023 14:36:36,29.47,,,,,
32,06/06/2023 14:41:36,28.91,,,,,
33,06/06/2023 14:46:36,27.58,,,,,
34,06/06/2023 14:51:36,27.54,,,,,
35,06/06/2023 14:56:36,28.35,,,,,
36,06/06/2023 15:01:36,27.63,,,,,
37,06/06/2023 15:06:36,27.11,,,,,
38,06/06/2023 15:11:36,26.94,,,,,
39,06/06/2023 15:16:36,27.15,,,,,
40,06/06/2023 15:21:36,27.24,,,,,
41,06/06/2023 15:26:36,27.24,,,,,
42,06/06/2023 15:31:36,27.02,,,,,
43,06/06/2023 15:36:36,26.60,,,,,
44,06/06/2023 15:41:36,26.21,,,,,
45,06/06/2023 15:46:36,25.99,,,,,
46,06/06/2023 15:51:36,25.65,,,,,
47,06/06/2023 15:56:36,25.44,,,,,
48,06/06/2023 16:01:36,25.22,,,,,
49,06/06/2023 16:06:36,26.25,,,,,
50,06/06/2023 16:11:36,27.07,,,,,
51,06/06/2023 16:16:36,26.68,,,,,
52,06/06/2023 16:21:36,25.65,,,,,
53,06/06/2023 16:26:36,24.49,,,,,
54,06/06/2023 16:31:36,23.85,,,,,
55,06/06/2023 16:36:36,23.59,,,,,
56,06/06/2023 16:41:36,23.55,,,,,
57,06/06/2023 16:46:36,23.59,,,,,
58,06/06/2023 16:51:36,23.72,,,,,
59,06/06/2023 16:56:36,23.55,,,,,
60,06/06/2023 17:01:36,23.55,,,,,
61,06/06/2023 17:06:36,23.55,,,,,
62,06/06/2023 17:11:36,23.51,,,,,
63,06/06/2023 17:16:36,23.51,,,,,
64,06/06/2023 17:21:36,23.34,,,,,
65,06/06/2023 17:26:36,22.95,,,,,
66,06/06/2023 17:31:36,22.52,,,,,
67,06/06/2023 17:36:36,22.52,,,,,
68,06/06/2023 17:41:36,22.73,,,,,
69,06/06/2023 17:46:36,23.16,,,,,
70,06/06/2023 17:51:36,22.95,,,,,
71,06/06/2023 17:56:36,22.78,,,,,
72,06/06/2023 18:01:36,22.39,,,,,
73,06/06/2023 18:06:36,22.22,,,,,
74,06/06/2023 18:11:36,22.22,,,,,
75,06/06/2023 18:16:36,22.01,,,,,
76,06/06/2023 18:21:36,21.88,,,,,
77,06/06/2023 18:26:36,21.83,,,,,
78,06/06/2023 18:31:36,21.58,,,,,
79,06/06/2023 18:36:36,21.53,,,,,
80,06/06/2023 18:41:36,21.45,,,,,
81,06/06/2023 18:46:36,21.23,,,,,
82,06/06/2023 18:51:36,21.02,,,,,
83,06/06/2023 18:56:36,20.89,,,,,
84,06/06/2023 19:01:36,20.72,,,,,
85,06/06/2023 19:06:36,20.59,,,,,
86,06/06/2023 19:11:36,20.29,,,,,
87,06/06/2023 19:16:36,20.16,,,,,
88,06/06/2023 19:21:36,20.12,,,,,
89,06/06/2023 19:26:36,19.95,,,,,
90,06/06/2023 19:31:36,19.86,,,,,
91,06/06/2023 19:36:36,19.82,,,,,
92,06/06/2023 19:41:36,19.69,,,,,
93,06/06/2023 19:46:36,19.52,,,,,
94,06/06/2023 19:51:36,19.39,,,,,
95,06/06/2023 19:56:36,19.30,,,,,
