#,Date-Time (PST),Ch: 1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,07/01/2021 09:13:18,27.02,,,,
2,07/01/2021 09:18:18,28.10,,,,
3,07/01/2021 09:23:18,28.65,,,,
4,07/01/2021 09:28:18,28.70,,,,
5,07/01/2021 09:33:18,28.83,,,,
6,07/01/2021 09:38:18,29.00,,,,
7,07/01/2021 09:43:18,29.21,,,,
8,07/01/2021 09:48:18,29.47,,,,
9,07/01/2021 09:53:18,29.30,,,,
10,07/01/2021 09:58:18,29.60,,,,
11,07/01/2021 10:03:18,29.64,,,,
12,07/01/2021 10:08:18,29.43,,,,
13,07/01/2021 10:13:18,29.56,,,,
14,07/01/2021 10:18:18,29.98,,,,
15,07/01/2021 10:23:18,30.24,,,,
16,07/01/2021 10:28:18,30.20,,,,
17,07/01/2021 10:33:18,30.11,,,,
18,07/01/2021 10:38:18,29.60,,,,
19,07/01/2021 10:43:18,28.87,,,,
20,07/01/2021 10:48:18,28.70,,,,
21,07/01/2021 10:53:18,28.48,,,,
22,07/01/2021 10:58:18,28.40,,,,
23,07/01/2021 11:03:18,28.35,,,,
24,07/01/2021 11:08:18,28.35,,,,
25,07/01/2021 11:13:18,28.44,,,,
26,07/01/2021 11:18:18,28.48,,,,
27,07/01/2021 11:23:18,28.61,,,,
28,07/01/2021 11:28:18,28.61,,,,
29,07/01/2021 11:33:18,28.74,,,,
30,07/01/2021 11:38:18,28.70,,,,
31,07/01/2021 11:43:18,28.95,,,,
32,07/01/2021 11:48:18,28.95,,,,
33,07/01/2021 11:53:18,29.08,,,,
34,07/01/2021 11:58:18,29.04,,,,
35,07/01/2021 12:03:18,29.13,,,,
36,07/01/2021 12:08:18,29.04,,,,
37,07/01/2021 12:13:18,29.00,,,,
38,07/01/2021 12:18:18,28.91,,,,
39,07/01/2021 12:23:18,29.00,,,,
40,07/01/2021 12:28:18,29.00,,,,
41,07/01/2021 12:33:18,29.04,,,,
42,07/01/2021 12:38:18,29.21,,,,
43,07/01/2021 12:43:18,29.34,,,,
44,07/01/2021 12:48:18,29.47,,,,
45,07/01/2021 12:53:18,29.64,,,,
46,07/01/2021 12:58:18,29.90,,,,
47,07/01/2021 13:03:18,30.03,,,,
48,07/01/2021 13:08:18,30.20,,,,
49,07/01/2021 13:13:18,30.24,,,,
50,07/01/2021 13:18:18,30.33,,,,
51,07/01/2021 13:23:18,30.50,,,,
52,07/01/2021 13:28:18,30.54,,,,
53,07/01/2021 13:33:18,30.54,,,,
54,07/01/2021 13:38:18,30.54,,,,
55,07/01/2021 13:43:18,30.84,,,,
56,07/01/2021 13:48:18,31.01,,,,
57,07/01/2021 13:53:18,31.23,,,,
58,07/01/2021 13:58:18,31.36,,,,
59,07/01/2021 14:03:18,31.31,,,,
60,07/01/2021 14:08:18,31.36,,,,
61,07/01/2021 14:13:18,31.31,,,,
62,07/01/2021 14:18:18,31.53,,,,
63,07/01/2021 14:23:18,31.66,,,,
64,07/01/2021 14:28:18,31.83,,,,
65,07/01/2021 14:33:18,31.87,,,,
66,07/01/2021 14:38:18,32.00,,,,
67,07/01/2021 14:43:18,32.13,,,,
68,07/01/2021 14:48:18,32.22,,,,
69,07/01/2021 14:53:18,32.47,,,,
70,07/01/2021 14:58:18,32.64,,,,
71,07/01/2021 15:03:18,32.69,,,,
72,07/01/2021 15:08:18,32.69,,,,
73,07/01/2021 15:13:18,32.60,,,,
