#,Date-Time (PDT),Ch: 1 - Temperature   (°C),Button Down,Button Up,Host Connected,Stopped,End of File
1,06/02/2022 09:23:00,30.37,,,,,
2,06/02/2022 09:28:00,30.46,,,,,
3,06/02/2022 09:33:00,31.01,,,,,
4,06/02/2022 09:38:00,31.53,,,,,
5,06/02/2022 09:43:00,32.39,,,,,
6,06/02/2022 09:48:00,32.73,,,,,
7,06/02/2022 09:53:00,33.25,,,,,
8,06/02/2022 09:58:00,33.50,,,,,
9,06/02/2022 10:03:00,33.59,,,,,
10,06/02/2022 10:08:00,33.55,,,,,
11,06/02/2022 10:13:00,33.80,,,,,
12,06/02/2022 10:18:00,33.97,,,,,
13,06/02/2022 10:23:00,34.10,,,,,
14,06/02/2022 10:28:00,33.85,,,,,
15,06/02/2022 10:33:00,33.89,,,,,
16,06/02/2022 10:38:00,33.55,,,,,
17,06/02/2022 10:43:00,33.42,,,,,
18,06/02/2022 10:48:00,33.29,,,,,
19,06/02/2022 10:53:00,32.99,,,,,
20,06/02/2022 10:58:00,32.64,,,,,
21,06/02/2022 11:03:00,32.22,,,,,
22,06/02/2022 11:08:00,32.00,,,,,
23,06/02/2022 11:13:00,31.92,,,,,
24,06/02/2022 11:18:00,31.87,,,,,
25,06/02/2022 11:23:00,31.83,,,,,
26,06/02/2022 11:28:00,31.79,,,,,
27,06/02/2022 11:33:00,31.70,,,,,
28,06/02/2022 11:38:00,31.66,,,,,
29,06/02/2022 11:43:00,31.44,,,,,
30,06/02/2022 11:48:00,31.23,,,,,
31,06/02/2022 11:53:00,31.27,,,,,
32,06/02/2022 11:58:00,31.01,,,,,
33,06/02/2022 12:03:00,30.71,,,,,
34,06/02/2022 12:08:00,30.67,,,,,
35,06/02/2022 12:13:00,30.71,,,,,
36,06/02/2022 12:18:00,31.01,,,,,
37,06/02/2022 12:23:00,31.27,,,,,
38,06/02/2022 12:28:00,31.40,,,,,
39,06/02/2022 12:33:00,31.36,,,,,
40,06/02/2022 12:38:00,31.36,,,,,
41,06/02/2022 12:43:00,31.36,,,,,
42,06/02/2022 12:48:00,31.36,,,,,
43,06/02/2022 12:53:00,31.31,,,,,
44,06/02/2022 12:58:00,31.10,,,,,
45,06/02/2022 13:03:00,31.19,,,,,
46,06/02/2022 13:08:00,31.36,,,,,
47,06/02/2022 13:13:00,31.44,,,,,
48,06/02/2022 13:18:00,31.57,,,,,
49,06/02/2022 13:23:00,31.70,,,,,
50,06/02/2022 13:28:00,31.66,,,,,
51,06/02/2022 13:33:00,31.79,,,,,
52,06/02/2022 13:38:00,31.87,,,,,
53,06/02/2022 13:43:00,31.83,,,,,
54,06/02/2022 13:48:00,31.83,,,,,
55,06/02/2022 13:53:00,31.79,,,,,
56,06/02/2022 13:58:00,31.83,,,,,
57,06/02/2022 14:03:00,31.96,,,,,
58,06/02/2022 14:08:00,31.96,,,,,
59,06/02/2022 14:13:00,31.96,,,,,
60,06/02/2022 14:18:00,31.87,,,,,
61,06/02/2022 14:23:00,31.74,,,,,
62,06/02/2022 14:28:00,31.92,,,,,
63,06/02/2022 14:33:00,32.17,,,,,
64,06/02/2022 14:38:00,32.34,,,,,
65,06/02/2022 14:43:00,32.43,,,,,
66,06/02/2022 14:48:00,32.56,,,,,
67,06/02/2022 14:53:00,32.64,,,,,
68,06/02/2022 14:58:00,32.56,,,,,
69,06/02/2022 15:03:00,32.39,,,,,
70,06/02/2022 15:08:00,32.30,,,,,
71,06/02/2022 15:13:00,32.30,,,,,
72,06/02/2022 15:18:00,32.22,,,,,
73,06/02/2022 15:23:00,32.13,,,,,
74,06/02/2022 15:28:00,32.17,,,,,
75,06/02/2022 15:33:00,32.30,,,,,
76,06/02/2022 15:38:00,32.56,,,,,
77,06/02/2022 15:43:00,32.86,,,,,
78,06/02/2022 15:48:00,33.20,,,,,
79,06/02/2022 15:53:00,33.55,,,,,
80,06/02/2022 15:58:00,33.89,,,,,
81,06/02/2022 16:03:00,34.02,,,,,
82,06/02/2022 16:08:00,34.27,,,,,
83,06/02/2022 16:13:00,34.53,,,,,
84,06/02/2022 16:18:00,34.62,,,,,
85,06/02/2022 16:23:00,34.62,,,,,
86,06/02/2022 16:28:00,34.53,,,,,
87,06/02/2022 16:33:00,34.49,,,,,
88,06/02/2022 16:38:00,34.57,,,,,
89,06/02/2022 16:43:00,34.62,,,,,
90,06/02/2022 16:48:00,34.53,,,,,
91,06/02/2022 16:53:00,34.45,,,,,
92,06/02/2022 16:58:00,34.45,,,,,
93,06/02/2022 17:03:00,34.49,,,,,
