#,Date-Time (PST),Ch: 1 - Temperature   (°C),Host Connected,End of File
1,07/01/2021 09:14:15,27.58,,
2,07/01/2021 09:19:15,29.51,,
3,07/01/2021 09:24:15,28.87,,
4,07/01/2021 09:29:15,27.97,,
5,07/01/2021 09:34:15,28.65,,
6,07/01/2021 09:39:15,29.47,,
7,07/01/2021 09:44:15,30.20,,
8,07/01/2021 09:49:15,30.63,,
9,07/01/2021 09:54:15,30.41,,
10,07/01/2021 09:59:15,30.33,,
11,07/01/2021 10:04:15,30.67,,
12,07/01/2021 10:09:15,31.10,,
13,07/01/2021 10:14:15,31.36,,
14,07/01/2021 10:19:15,32.00,,
15,07/01/2021 10:24:15,32.17,,
16,07/01/2021 10:29:15,32.30,,
17,07/01/2021 10:34:15,32.17,,
18,07/01/2021 10:39:15,32.13,,
19,07/01/2021 10:44:15,32.52,,
20,07/01/2021 10:49:15,32.52,,
21,07/01/2021 10:54:15,32.09,,
22,07/01/2021 10:59:15,32.00,,
23,07/01/2021 11:04:15,32.34,,
24,07/01/2021 11:09:15,32.77,,
25,07/01/2021 11:14:15,32.77,,
26,07/01/2021 11:19:15,32.64,,
27,07/01/2021 11:24:15,32.64,,
28,07/01/2021 11:29:15,33.16,,
29,07/01/2021 11:34:15,33.59,,
30,07/01/2021 11:39:15,33.93,,
31,07/01/2021 11:44:15,34.06,,
32,07/01/2021 11:49:15,34.10,,
33,07/01/2021 11:54:15,34.53,,
34,07/01/2021 11:59:15,34.36,,
35,07/01/2021 12:04:15,34.79,,
36,07/01/2021 12:09:15,34.49,,
37,07/01/2021 12:14:15,34.27,,
38,07/01/2021 12:19:15,34.57,,
39,07/01/2021 12:24:15,34.62,,
40,07/01/2021 12:29:15,34.92,,
41,07/01/2021 12:34:15,35.35,,
42,07/01/2021 12:39:15,35.56,,
43,07/01/2021 12:44:15,35.52,,
44,07/01/2021 12:49:15,35.48,,
45,07/01/2021 12:54:15,35.86,,
46,07/01/2021 12:59:15,36.25,,
47,07/01/2021 13:04:15,36.76,,
48,07/01/2021 13:09:15,36.72,,
49,07/01/2021 13:14:15,36.63,,
50,07/01/2021 13:19:15,36.85,,
51,07/01/2021 13:24:15,37.19,,
52,07/01/2021 13:29:15,37.15,,
53,07/01/2021 13:34:15,37.36,,
54,07/01/2021 13:39:15,37.58,,
55,07/01/2021 13:44:15,38.09,,
56,07/01/2021 13:49:15,38.35,,
57,07/01/2021 13:54:15,38.18,,
58,07/01/2021 13:59:15,38.18,,
59,07/01/2021 14:04:15,37.75,,
60,07/01/2021 14:09:15,37.96,,
61,07/01/2021 14:14:15,38.39,,
62,07/01/2021 14:19:15,38.48,,
63,07/01/2021 14:24:15,38.65,,
64,07/01/2021 14:29:15,38.86,,
65,07/01/2021 14:34:15,38.78,,
66,07/01/2021 14:39:15,38.65,,
67,07/01/2021 14:44:15,39.08,,
68,07/01/2021 14:49:15,39.08,,
69,07/01/2021 14:54:15,38.91,,
70,07/01/2021 14:59:15,38.82,,
71,07/01/2021 15:04:15,38.69,,
72,07/01/2021 15:09:15,38.69,,
73,07/01/2021 15:14:15,38.74,,
74,07/01/2021 15:19:15,38.52,,
75,07/01/2021 15:24:15,38.39,,
76,07/01/2021 15:29:15,38.61,,
77,07/01/2021 15:34:15,38.86,,
78,07/01/2021 15:39:15,39.04,,
79,07/01/2021 15:44:15,38.78,,
80,07/01/2021 15:49:15,39.12,,
81,07/01/2021 15:54:15,38.86,,
82,07/01/2021 15:59:15,38.52,,
83,07/01/2021 16:04:15,38.44,,
84,07/01/2021 16:09:15,38.14,,
85,07/01/2021 16:14:15,38.01,,
86,07/01/2021 16:19:15,37.84,,
87,07/01/2021 16:24:15,38.14,,
88,07/01/2021 16:29:15,37.96,,
89,07/01/2021 16:34:15,37.66,,
90,07/01/2021 16:39:15,37.75,,
91,07/01/2021 16:44:15,37.49,,
92,07/01/2021 16:49:15,37.45,,
93,07/01/2021 16:54:15,37.11,,
94,07/01/2021 16:59:15,36.85,,
95,07/01/2021 17:04:15,36.63,,
96,07/01/2021 17:09:15,36.55,,
