#,Date-Time (PDT),Ch: 1 - Temperature   (°C),Host Connected,Stopped,End of File
1,06/02/2022 09:23:58,30.67,,,
2,06/02/2022 09:28:58,28.44,,,
3,06/02/2022 09:33:58,28.35,,,
4,06/02/2022 09:38:58,28.74,,,
5,06/02/2022 09:43:58,29.08,,,
6,06/02/2022 09:48:58,29.77,,,
7,06/02/2022 09:53:58,29.98,,,
8,06/02/2022 09:58:58,29.90,,,
9,06/02/2022 10:03:58,30.16,,,
10,06/02/2022 10:08:58,31.01,,,
11,06/02/2022 10:13:58,30.33,,,
12,06/02/2022 10:18:58,30.63,,,
13,06/02/2022 10:23:58,29.98,,,
14,06/02/2022 10:28:58,30.37,,,
15,06/02/2022 10:33:58,30.41,,,
16,06/02/2022 10:38:58,30.46,,,
17,06/02/2022 10:43:58,30.33,,,
18,06/02/2022 10:48:58,30.33,,,
19,06/02/2022 10:53:58,29.34,,,
20,06/02/2022 10:58:58,29.38,,,
21,06/02/2022 11:03:58,29.98,,,
22,06/02/2022 11:08:58,30.33,,,
23,06/02/2022 11:13:58,30.89,,,
24,06/02/2022 11:18:58,30.59,,,
25,06/02/2022 11:23:58,31.01,,,
26,06/02/2022 11:28:58,30.46,,,
27,06/02/2022 11:33:58,30.28,,,
28,06/02/2022 11:38:58,29.94,,,
29,06/02/2022 11:43:58,30.20,,,
30,06/02/2022 11:48:58,29.98,,,
31,06/02/2022 11:53:58,30.46,,,
32,06/02/2022 11:58:58,30.03,,,
33,06/02/2022 12:03:58,29.64,,,
34,06/02/2022 12:08:58,31.31,,,
35,06/02/2022 12:13:58,31.92,,,
36,06/02/2022 12:18:58,32.52,,,
37,06/02/2022 12:23:58,31.61,,,
38,06/02/2022 12:28:58,31.36,,,
39,06/02/2022 12:33:58,31.66,,,
40,06/02/2022 12:38:58,31.44,,,
41,06/02/2022 12:43:58,31.36,,,
42,06/02/2022 12:48:58,31.87,,,
43,06/02/2022 12:53:58,31.79,,,
44,06/02/2022 12:58:58,32.09,,,
45,06/02/2022 13:03:58,32.86,,,
46,06/02/2022 13:08:58,32.39,,,
47,06/02/2022 13:13:58,32.52,,,
48,06/02/2022 13:18:58,33.29,,,
49,06/02/2022 13:23:58,33.03,,,
50,06/02/2022 13:28:58,32.22,,,
51,06/02/2022 13:33:58,32.56,,,
52,06/02/2022 13:38:58,32.13,,,
53,06/02/2022 13:43:58,32.22,,,
54,06/02/2022 13:48:58,32.34,,,
55,06/02/2022 13:53:58,32.52,,,
56,06/02/2022 13:58:58,32.86,,,
57,06/02/2022 14:03:58,33.76,,,
58,06/02/2022 14:08:58,33.93,,,
59,06/02/2022 14:13:58,33.85,,,
60,06/02/2022 14:18:58,33.63,,,
61,06/02/2022 14:23:58,34.27,,,
62,06/02/2022 14:28:58,34.45,,,
63,06/02/2022 14:33:58,34.15,,,
64,06/02/2022 14:38:58,34.53,,,
65,06/02/2022 14:43:58,34.27,,,
66,06/02/2022 14:48:58,34.19,,,
67,06/02/2022 14:53:58,32.69,,,
68,06/02/2022 14:58:58,31.74,,,
69,06/02/2022 15:03:58,31.92,,,
70,06/02/2022 15:08:58,33.20,,,
71,06/02/2022 15:13:58,32.47,,,
72,06/02/2022 15:18:58,32.00,,,
73,06/02/2022 15:23:58,32.60,,,
74,06/02/2022 15:28:58,33.97,,,
75,06/02/2022 15:33:58,35.30,,,
76,06/02/2022 15:38:58,35.60,,,
77,06/02/2022 15:43:58,36.03,,,
78,06/02/2022 15:48:58,36.21,,,
79,06/02/2022 15:53:58,36.51,,,
80,06/02/2022 15:58:58,36.12,,,
81,06/02/2022 16:03:58,36.72,,,
82,06/02/2022 16:08:58,36.76,,,
83,06/02/2022 16:13:58,36.29,,,
84,06/02/2022 16:18:58,35.90,,,
85,06/02/2022 16:23:58,35.56,,,
86,06/02/2022 16:28:58,35.73,,,
87,06/02/2022 16:33:58,36.25,,,
88,06/02/2022 16:38:58,36.03,,,
89,06/02/2022 16:43:58,35.78,,,
90,06/02/2022 16:48:58,35.56,,,
91,06/02/2022 16:53:58,35.73,,,
92,06/02/2022 16:58:58,35.48,,,
93,06/02/2022 17:03:58,35.48,,,
94,06/02/2022 17:08:58,35.48,,,
95,06/02/2022 17:13:58,35.00,,,
96,06/02/2022 17:18:58,35.26,,,
97,06/02/2022 17:23:58,35.09,,,
98,06/02/2022 17:28:58,34.83,,,
99,06/02/2022 17:33:58,34.62,,,
100,06/02/2022 17:38:58,34.66,,,
101,06/02/2022 17:43:58,34.53,,,
102,06/02/2022 17:48:58,34.15,,,
103,06/02/2022 17:53:58,34.02,,,
104,06/02/2022 17:58:58,34.02,,,
105,06/02/2022 18:03:58,33.89,,,
106,06/02/2022 18:08:58,33.85,,,
107,06/02/2022 18:13:58,33.50,,,
108,06/02/2022 18:18:58,33.25,,,
109,06/02/2022 18:23:58,33.07,,,
110,06/02/2022 18:28:58,32.99,,,
111,06/02/2022 18:33:58,32.90,,,
112,06/02/2022 18:38:58,32.73,,,
113,06/02/2022 18:43:58,32.34,,,
114,06/02/2022 18:48:58,32.30,,,
115,06/02/2022 18:53:58,32.09,,,
116,06/02/2022 18:58:58,31.79,,,
117,06/02/2022 19:03:58,31.57,,,
118,06/02/2022 19:08:58,31.31,,,
119,06/02/2022 19:13:58,31.14,,,
120,06/02/2022 19:18:58,30.97,,,
121,06/02/2022 19:23:58,30.71,,,
122,06/02/2022 19:28:58,30.59,,,
123,06/02/2022 19:33:58,30.37,,,
124,06/02/2022 19:38:58,30.11,,,
125,06/02/2022 19:43:58,29.86,,,
126,06/02/2022 19:48:58,29.47,,,
127,06/02/2022 19:53:58,29.21,,,
128,06/02/2022 19:58:58,29.17,,,
129,06/02/2022 20:03:58,28.83,,,
130,06/02/2022 20:08:58,28.35,,,
131,06/02/2022 20:13:58,27.75,,,
132,06/02/2022 20:18:58,27.37,,,
133,06/02/2022 20:23:58,27.15,,,
134,06/02/2022 20:28:58,26.98,,,
135,06/02/2022 20:33:58,25.91,,,
136,06/02/2022 20:38:58,24.62,,,
137,06/02/2022 20:43:58,23.68,,,
138,06/02/2022 20:48:58,23.38,,,
139,06/02/2022 20:53:58,23.08,,,
140,06/02/2022 20:58:58,22.86,,,
141,06/02/2022 21:03:58,22.65,,,
142,06/02/2022 21:08:58,22.69,,,
143,06/02/2022 21:13:58,22.91,,,
144,06/02/2022 21:18:58,24.06,,,
145,06/02/2022 21:23:58,23.85,,,
146,06/02/2022 21:28:58,23.38,,,
147,06/02/2022 21:33:58,22.65,,,
148,06/02/2022 21:38:58,22.01,,,
149,06/02/2022 21:43:58,21.40,,,
150,06/02/2022 21:48:58,20.85,,,
151,06/02/2022 21:53:58,20.12,,,
152,06/02/2022 21:58:58,19.60,,,
153,06/02/2022 22:03:58,19.30,,,
154,06/02/2022 22:08:58,19.13,,,
155,06/02/2022 22:13:58,19.09,,,
156,06/02/2022 22:18:58,19.09,,,
157,06/02/2022 22:23:58,19.09,,,
158,06/02/2022 22:28:58,19.05,,,
159,06/02/2022 22:33:58,18.96,,,
160,06/02/2022 22:38:58,18.79,,,
161,06/02/2022 22:43:58,18.74,,,
162,06/02/2022 22:48:58,18.70,,,
163,06/02/2022 22:53:58,18.32,,,
164,06/02/2022 22:58:58,18.10,,,
165,06/02/2022 23:03:58,17.97,,,
166,06/02/2022 23:08:58,17.89,,,
167,06/02/2022 23:13:58,17.97,,,
168,06/02/2022 23:18:58,18.02,,,
169,06/02/2022 23:23:58,17.84,,,
170,06/02/2022 23:28:58,17.84,,,
171,06/02/2022 23:33:58,17.67,,,
172,06/02/2022 23:38:58,17.59,,,
173,06/02/2022 23:43:58,17.50,,,
174,06/02/2022 23:48:58,17.37,,,
175,06/02/2022 23:53:58,17.29,,,
176,06/02/2022 23:58:58,17.24,,,
177,06/03/2022 00:03:58,17.16,,,
178,06/03/2022 00:08:58,17.03,,,
179,06/03/2022 00:13:58,16.81,,,
180,06/03/2022 00:18:58,16.77,,,
181,06/03/2022 00:23:58,16.60,,,
182,06/03/2022 00:28:58,16.43,,,
183,06/03/2022 00:33:58,16.17,,,
184,06/03/2022 00:38:58,16.04,,,
185,06/03/2022 00:43:58,15.91,,,
186,06/03/2022 00:48:58,15.87,,,
187,06/03/2022 00:53:58,15.74,,,
188,06/03/2022 00:58:58,15.70,,,
189,06/03/2022 01:03:58,15.61,,,
190,06/03/2022 01:08:58,15.48,,,
191,06/03/2022 01:13:58,15.31,,,
192,06/03/2022 01:18:58,15.27,,,
193,06/03/2022 01:23:58,15.27,,,
194,06/03/2022 01:28:58,15.27,,,
195,06/03/2022 01:33:58,15.27,,,
196,06/03/2022 01:38:58,15.36,,,
197,06/03/2022 01:43:58,15.48,,,
198,06/03/2022 01:48:58,15.61,,,
199,06/03/2022 01:53:58,15.70,,,
200,06/03/2022 01:58:58,15.53,,,
201,06/03/2022 02:03:58,15.40,,,
202,06/03/2022 02:08:58,15.18,,,
203,06/03/2022 02:13:58,15.23,,,
204,06/03/2022 02:18:58,15.18,,,
205,06/03/2022 02:23:58,15.14,,,
206,06/03/2022 02:28:58,15.23,,,
207,06/03/2022 02:33:58,15.01,,,
208,06/03/2022 02:38:58,15.01,,,
209,06/03/2022 02:43:58,15.01,,,
210,06/03/2022 02:48:58,14.97,,,
211,06/03/2022 02:53:58,14.93,,,
212,06/03/2022 02:58:58,14.75,,,
213,06/03/2022 03:03:58,14.67,,,
214,06/03/2022 03:08:58,14.58,,,
215,06/03/2022 03:13:58,14.33,,,
216,06/03/2022 03:18:58,14.28,,,
217,06/03/2022 03:23:58,14.33,,,
