#,Date-Time (PDT),Ch:1 - Temperature   (°C),Host Connected,End of File
1,04/19/2022 08:38:37,16.00,,
2,04/19/2022 08:43:37,14.88,,
3,04/19/2022 08:48:37,14.28,,
4,04/19/2022 08:53:37,14.07,,
5,04/19/2022 08:58:37,14.03,,
6,04/19/2022 09:03:37,14.03,,
7,04/19/2022 09:08:37,14.15,,
8,04/19/2022 09:13:37,14.24,,
9,04/19/2022 09:18:37,14.45,,
10,04/19/2022 09:23:37,14.54,,
11,04/19/2022 09:28:37,14.80,,
12,04/19/2022 09:33:37,14.84,,
13,04/19/2022 09:38:37,15.01,,
14,04/19/2022 09:43:37,15.18,,
15,04/19/2022 09:48:37,15.36,,
16,04/19/2022 09:53:37,15.48,,
17,04/19/2022 09:58:37,15.61,,
18,04/19/2022 10:03:37,15.78,,
19,04/19/2022 10:08:37,16.08,,
20,04/19/2022 10:13:37,16.34,,
21,04/19/2022 10:18:37,16.64,,
22,04/19/2022 10:23:37,16.86,,
23,04/19/2022 10:28:37,16.90,,
24,04/19/2022 10:33:37,16.94,,
25,04/19/2022 10:38:37,16.99,,
26,04/19/2022 10:43:37,17.11,,
27,04/19/2022 10:48:37,17.16,,
28,04/19/2022 10:53:37,17.20,,
29,04/19/2022 10:58:37,17.24,,
30,04/19/2022 11:03:37,17.33,,
31,04/19/2022 11:08:37,17.37,,
32,04/19/2022 11:13:37,17.37,,
33,04/19/2022 11:18:37,17.29,,
34,04/19/2022 11:23:37,17.24,,
35,04/19/2022 11:28:37,17.24,,
36,04/19/2022 11:33:37,17.24,,
37,04/19/2022 11:38:37,17.33,,
38,04/19/2022 11:43:37,17.37,,
39,04/19/2022 11:48:37,17.29,,
40,04/19/2022 11:53:37,17.46,,
41,04/19/2022 11:58:37,17.76,,
42,04/19/2022 12:03:37,18.06,,
43,04/19/2022 12:08:37,18.19,,
44,04/19/2022 12:13:37,18.19,,
45,04/19/2022 12:18:37,18.23,,
46,04/19/2022 12:23:37,18.32,,
47,04/19/2022 12:28:37,18.32,,
48,04/19/2022 12:33:37,18.53,,
49,04/19/2022 12:38:37,18.70,,
50,04/19/2022 12:43:37,18.87,,
51,04/19/2022 12:48:37,18.57,,
52,04/19/2022 12:53:37,18.53,,
53,04/19/2022 12:58:37,18.49,,
54,04/19/2022 13:03:37,18.53,,
55,04/19/2022 13:08:37,18.66,,
56,04/19/2022 13:13:37,18.79,,
57,04/19/2022 13:18:37,18.96,,
58,04/19/2022 13:23:37,19.13,,
59,04/19/2022 13:28:37,19.35,,
60,04/19/2022 13:33:37,19.52,,
61,04/19/2022 13:38:37,19.69,,
62,04/19/2022 13:43:37,19.82,,
63,04/19/2022 13:48:37,19.82,,
64,04/19/2022 13:53:37,19.95,,
65,04/19/2022 13:58:37,19.95,,
66,04/19/2022 14:03:37,19.95,,
67,04/19/2022 14:08:37,20.16,,
68,04/19/2022 14:13:37,20.29,,
69,04/19/2022 14:18:37,20.42,,
70,04/19/2022 14:23:37,20.42,,
71,04/19/2022 14:28:37,20.46,,
72,04/19/2022 14:33:37,20.63,,
73,04/19/2022 14:38:37,20.63,,
74,04/19/2022 14:43:37,20.72,,
75,04/19/2022 14:48:37,20.89,,
76,04/19/2022 14:53:37,21.02,,
77,04/19/2022 14:58:37,21.10,,
78,04/19/2022 15:03:37,21.02,,
79,04/19/2022 15:08:37,21.06,,
80,04/19/2022 15:13:37,21.02,,
81,04/19/2022 15:18:37,20.93,,
82,04/19/2022 15:23:37,21.02,,
83,04/19/2022 15:28:37,20.89,,
84,04/19/2022 15:33:37,20.85,,
85,04/19/2022 15:38:37,20.98,,
86,04/19/2022 15:43:37,20.89,,
87,04/19/2022 15:48:37,20.89,,
88,04/19/2022 15:53:37,21.06,,
89,04/19/2022 15:58:37,21.06,,
90,04/19/2022 16:03:37,21.15,,
91,04/19/2022 16:08:37,21.32,,
92,04/19/2022 16:13:37,21.62,,
93,04/19/2022 16:18:37,21.53,,
94,04/19/2022 16:23:37,21.49,,
95,04/19/2022 16:28:37,21.45,,
96,04/19/2022 16:33:37,21.53,,
97,04/19/2022 16:38:37,21.49,,
98,04/19/2022 16:43:37,21.58,,
99,04/19/2022 16:48:37,21.70,,
100,04/19/2022 16:53:37,21.70,,
101,04/19/2022 16:58:37,21.83,,
102,04/19/2022 17:03:37,21.83,,
103,04/19/2022 17:08:37,21.75,,
104,04/19/2022 17:13:37,21.70,,
105,04/19/2022 17:18:37,21.75,,
106,04/19/2022 17:23:37,21.66,,
107,04/19/2022 17:28:37,21.53,,
108,04/19/2022 17:33:37,21.36,,
109,04/19/2022 17:38:37,21.23,,
110,04/19/2022 17:43:37,21.19,,
111,04/19/2022 17:48:37,21.19,,
112,04/19/2022 17:53:37,21.15,,
113,04/19/2022 17:58:37,21.15,,
114,04/19/2022 18:03:37,21.15,,
115,04/19/2022 18:08:37,20.98,,
116,04/19/2022 18:13:37,20.80,,
117,04/19/2022 18:18:37,20.80,,
118,04/19/2022 18:23:37,20.76,,
119,04/19/2022 18:28:37,20.68,,
120,04/19/2022 18:33:37,20.55,,
121,04/19/2022 18:38:37,20.37,,
122,04/19/2022 18:43:37,20.16,,
123,04/19/2022 18:48:37,19.90,,
124,04/19/2022 18:53:37,19.77,,
125,04/19/2022 18:58:37,19.56,,
126,04/19/2022 19:03:37,19.47,,
127,04/19/2022 19:08:37,19.35,,
128,04/19/2022 19:13:37,19.26,,
129,04/19/2022 19:18:37,19.09,,
130,04/19/2022 19:23:37,18.92,,
131,04/19/2022 19:28:37,18.70,,
132,04/19/2022 19:33:37,18.44,,
133,04/19/2022 19:38:37,18.19,,
134,04/19/2022 19:43:37,17.93,,
135,04/19/2022 19:48:37,17.63,,
136,04/19/2022 19:53:37,17.37,,
137,04/19/2022 19:58:37,17.03,,
138,04/19/2022 20:03:37,16.69,,
139,04/19/2022 20:08:37,16.39,,
140,04/19/2022 20:13:37,16.13,,
141,04/19/2022 20:18:37,15.91,,
142,04/19/2022 20:23:37,15.70,,
143,04/19/2022 20:28:37,15.53,,
144,04/19/2022 20:33:37,15.36,,
145,04/19/2022 20:38:37,15.23,,
146,04/19/2022 20:43:37,15.06,,
147,04/19/2022 20:48:37,14.88,,
148,04/19/2022 20:53:37,14.75,,
149,04/19/2022 20:58:37,14.63,,
150,04/19/2022 21:03:37,14.54,,
151,04/19/2022 21:08:37,14.41,,
152,04/19/2022 21:13:37,14.24,,
153,04/19/2022 21:18:37,14.15,,
154,04/19/2022 21:23:37,14.03,,
155,04/19/2022 21:28:37,13.94,,
156,04/19/2022 21:33:37,13.81,,
157,04/19/2022 21:38:37,13.73,,
158,04/19/2022 21:43:37,13.60,,
159,04/19/2022 21:48:37,13.47,,
160,04/19/2022 21:53:37,13.30,,
161,04/19/2022 21:58:37,13.17,,
