#,Date-Time (PST),Ch: 1 - Temperature   (°C),Host Connected,End of File
1,05/07/2021 10:13:20,22.13,,
2,05/07/2021 10:18:20,20.93,,
3,05/07/2021 10:23:20,20.50,,
4,05/07/2021 10:28:20,20.37,,
5,05/07/2021 10:33:20,20.42,,
6,05/07/2021 10:38:20,20.50,,
7,05/07/2021 10:43:20,20.42,,
8,05/07/2021 10:48:20,20.37,,
9,05/07/2021 10:53:20,20.42,,
10,05/07/2021 10:58:20,20.59,,
11,05/07/2021 11:03:20,20.80,,
12,05/07/2021 11:08:20,20.93,,
13,05/07/2021 11:13:20,21.06,,
14,05/07/2021 11:18:20,21.23,,
15,05/07/2021 11:23:20,21.40,,
16,05/07/2021 11:28:20,21.75,,
17,05/07/2021 11:33:20,22.05,,
18,05/07/2021 11:38:20,22.31,,
19,05/07/2021 11:43:20,22.39,,
20,05/07/2021 11:48:20,22.65,,
21,05/07/2021 11:53:20,22.69,,
22,05/07/2021 11:58:20,22.86,,
23,05/07/2021 12:03:20,23.03,,
24,05/07/2021 12:08:20,23.21,,
25,05/07/2021 12:13:20,23.38,,
26,05/07/2021 12:18:20,23.59,,
27,05/07/2021 12:23:20,23.76,,
28,05/07/2021 12:28:20,23.98,,
29,05/07/2021 12:33:20,24.19,,
30,05/07/2021 12:38:20,24.28,,
31,05/07/2021 12:43:20,24.58,,
32,05/07/2021 12:48:20,24.71,,
33,05/07/2021 12:53:20,24.84,,
34,05/07/2021 12:58:20,24.97,,
35,05/07/2021 13:03:20,25.22,,
36,05/07/2021 13:08:20,25.31,,
37,05/07/2021 13:13:20,25.39,,
38,05/07/2021 13:18:20,25.65,,
39,05/07/2021 13:23:20,25.78,,
40,05/07/2021 13:28:20,25.87,,
41,05/07/2021 13:33:20,25.95,,
42,05/07/2021 13:38:20,26.04,,
43,05/07/2021 13:43:20,26.12,,
44,05/07/2021 13:48:20,26.30,,
45,05/07/2021 13:53:20,26.30,,
46,05/07/2021 13:58:20,26.38,,
47,05/07/2021 14:03:20,26.47,,
48,05/07/2021 14:08:20,26.51,,
49,05/07/2021 14:13:20,26.51,,
50,05/07/2021 14:18:20,26.55,,
51,05/07/2021 14:23:20,26.68,,
52,05/07/2021 14:28:20,26.81,,
53,05/07/2021 14:33:20,26.98,,
54,05/07/2021 14:38:20,27.07,,
55,05/07/2021 14:43:20,27.07,,
56,05/07/2021 14:48:20,27.24,,
57,05/07/2021 14:53:20,27.24,,
58,05/07/2021 14:58:20,27.37,,
59,05/07/2021 15:03:20,27.58,,
60,05/07/2021 15:08:20,27.80,,
61,05/07/2021 15:13:20,27.97,,
62,05/07/2021 15:18:20,28.01,,
63,05/07/2021 15:23:20,27.97,,
64,05/07/2021 15:28:20,28.14,,
65,05/07/2021 15:33:20,28.31,,
66,05/07/2021 15:38:20,28.53,,
67,05/07/2021 15:43:20,28.65,,
68,05/07/2021 15:48:20,28.65,,
69,05/07/2021 15:53:20,28.65,,
70,05/07/2021 15:58:20,28.70,,
71,05/07/2021 16:03:20,28.70,,
72,05/07/2021 16:08:20,28.65,,
73,05/07/2021 16:13:20,28.65,,
74,05/07/2021 16:18:20,28.74,,
75,05/07/2021 16:23:20,28.78,,
76,05/07/2021 16:28:20,28.83,,
77,05/07/2021 16:33:20,29.00,,
78,05/07/2021 16:38:20,28.95,,
79,05/07/2021 16:43:20,29.00,,
80,05/07/2021 16:48:20,29.00,,
81,05/07/2021 16:53:20,28.91,,
82,05/07/2021 16:58:20,28.95,,
83,05/07/2021 17:03:20,29.04,,
84,05/07/2021 17:08:20,29.08,,
85,05/07/2021 17:13:20,29.26,,
86,05/07/2021 17:18:20,29.30,,
87,05/07/2021 17:23:20,29.26,,
88,05/07/2021 17:28:20,29.26,,
89,05/07/2021 17:33:20,29.21,,
90,05/07/2021 17:38:20,29.13,,
91,05/07/2021 17:43:20,29.08,,
92,05/07/2021 17:48:20,29.13,,
93,05/07/2021 17:53:20,29.13,,
94,05/07/2021 17:58:20,29.00,,
95,05/07/2021 18:03:20,28.95,,
96,05/07/2021 18:08:20,28.87,,
97,05/07/2021 18:13:20,28.87,,
98,05/07/2021 18:18:20,28.83,,
99,05/07/2021 18:23:20,28.74,,
100,05/07/2021 18:28:20,28.57,,
101,05/07/2021 18:33:20,28.57,,
102,05/07/2021 18:38:20,28.44,,
103,05/07/2021 18:43:20,28.27,,
104,05/07/2021 18:48:20,28.14,,
105,05/07/2021 18:53:20,28.01,,
106,05/07/2021 18:58:20,27.93,,
107,05/07/2021 19:03:20,27.75,,
